Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Adam Jay,Saskatchewan Rush,D,18,0,7,7,14,0,0,0,67,8,21,9,2,0/1,-
Bobby Kidd III,Saskatchewan Rush,D,18,1,4,5,20,0,0,0,82,8,16,12,4,29/143,20%
Cameron Wengreniuk,Saskatchewan Rush,F,5,3,2,5,4,0,0,0,20,16,2,1,16,0/0,-
Clark Walter,Saskatchewan Rush,F,18,20,28,48,4,4,4,2,60,26,1,3,84,0/0,-
Connor McClelland,Saskatchewan Rush,D,18,1,3,4,8,0,0,0,50,8,22,6,6,0/0,-
Frank Scigliano,Saskatchewan Rush,G,18,0,7,7,0,0,1,0,4,1,1,0,0,0/0,-
Holden Garlent,Saskatchewan Rush,D,15,1,9,10,16,0,0,0,92,2,15,8,4,1/6,17%
Isaac Ngyou,Saskatchewan Rush,D,18,2,6,8,6,0,0,1,75,5,11,4,7,0/0,-
Jake Boudreau,Saskatchewan Rush,T,18,9,18,27,4,0,0,1,133,13,25,10,25,0/2,-
Jerrett Smith,Saskatchewan Rush,T,18,4,9,13,4,0,1,0,65,11,9,6,8,0/0,-
Keegan Bell,Saskatchewan Rush,F,12,4,6,10,2,0,0,0,21,7,1,3,11,0/5,-
Laine Hruska,Saskatchewan Rush,G,10,0,0,0,0,0,0,0,1,0,0,0,0,0/0,-
Mike Mallory,Saskatchewan Rush,F,10,0,3,3,10,0,0,0,12,2,4,2,1,0/0,-
Mike Messenger,Saskatchewan Rush,T,18,12,15,27,35,0,0,1,148,24,35,16,30,132/315,42%
Mike Triolo,Saskatchewan Rush,F,16,18,19,37,4,1,1,0,59,30,5,0,87,12/27,44%
Nathaniel Kozevnikov,Saskatchewan Rush,F,16,14,8,22,6,1,0,0,11,11,2,0,37,0/0,-
Patrick Dodds,Saskatchewan Rush,F,17,10,31,41,2,0,6,0,48,27,3,1,74,0/0,-
Robert Church,Saskatchewan Rush,F,18,45,55,100,2,17,10,0,74,65,4,1,197,0/0,-
Ryan Barnable,Saskatchewan Rush,D,17,3,14,17,8,0,0,1,79,10,21,7,15,0/0,-
Ryan Keenan,Saskatchewan Rush,F,18,33,57,90,4,7,15,2,67,54,5,0,145,0/0,-
Thomas Kiazyk,Saskatchewan Rush,G,8,0,1,1,0,0,0,0,0,0,0,0,0,0/0,-
Zach Manns,Saskatchewan Rush,F,18,37,47,84,2,5,19,2,73,58,3,2,129,0/0,-
