Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Brandon Goodwin,Panther City Lacrosse Club,T,17,9,7,16,16,0,0,0,51,8,10,4,17,21/80,26%
Brent Mitchell,Panther City Lacrosse Club,D,16,0,0,0,44,0,0,0,17,1,8,2,0,0/0,-
Callum Crawford,Panther City Lacrosse Club,F,16,42,52,94,4,14,16,1,61,57,4,0,179,0/0,-
Cam MacLeod,Panther City Lacrosse Club,G,18,0,1,1,0,0,0,0,3,1,1,0,0,0/0,-
Connor Sellars,Panther City Lacrosse Club,D,18,0,8,8,0,0,0,0,80,12,11,15,3,0/0,-
Dylan Hutchison,Panther City Lacrosse Club,D,18,2,6,8,8,0,0,0,60,4,7,14,2,0/0,-
Elijah Gash,Panther City Lacrosse Club,D,4,0,0,0,13,0,0,0,11,2,3,1,1,0/0,-
Evan Messenger,Panther City Lacrosse Club,F,18,1,4,5,10,1,0,0,31,4,6,4,7,5/31,16%
Jason Knox,Panther City Lacrosse Club,F,17,23,27,50,2,7,11,0,46,24,5,0,106,0/0,-
John Lintz,Panther City Lacrosse Club,D,3,0,0,0,2,0,0,0,6,0,0,1,0,0/0,-
Jonathan Donville,Panther City Lacrosse Club,F,18,27,52,79,0,4,12,1,62,43,4,1,146,0/1,-
Josh Medeiros,Panther City Lacrosse Club,D,18,4,4,8,22,0,0,1,78,9,13,14,27,0/0,-
Liam Patten,Panther City Lacrosse Club,D,18,3,7,10,25,0,0,0,76,7,8,11,10,9/40,22%
Mathieu Gautier,Panther City Lacrosse Club,F,16,7,25,32,4,2,1,0,59,21,3,0,63,0/0,-
Matt Hossack,Panther City Lacrosse Club,D,16,0,10,10,6,0,0,0,103,10,25,12,9,1/5,20%
Nick Damude,Panther City Lacrosse Club,G,18,1,4,5,0,0,0,0,12,3,2,0,1,0/0,-
Patrick Foley,Panther City Lacrosse Club,D,14,2,3,5,0,0,0,0,57,5,12,2,4,2/4,50%
Phil Caputo,Panther City Lacrosse Club,F,18,24,16,40,4,6,1,0,67,26,0,1,104,0/0,-
Ronin Pusch,Panther City Lacrosse Club,D,5,0,2,2,2,0,0,0,51,5,3,2,2,65/147,44%
Ryan Sheridan,Panther City Lacrosse Club,F,14,13,6,19,14,0,0,0,29,23,2,0,51,0/0,-
Tony Malcom,Panther City Lacrosse Club,T,15,7,12,19,4,0,1,0,98,10,15,2,31,0/0,-
Ty Thompson,Panther City Lacrosse Club,F,4,3,3,6,0,0,0,0,10,1,0,0,7,0/0,-
Tyler Burton,Panther City Lacrosse Club,T,7,0,1,1,6,0,0,0,41,10,8,1,4,61/168,36%
Will Malcom,Panther City Lacrosse Club,F,18,37,68,105,0,6,20,1,94,61,8,0,160,0/0,-
