Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Alex Simmons,Oshawa Fire Wolves,F,18,38,58,96,4,5,15,1,85,50,4,0,233,0/0,-
Andrew Kidd,Oshawa Fire Wolves,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0/0,-
Anthony Joaquim,Oshawa Fire Wolves,D,17,1,1,2,9,0,0,0,35,6,8,8,1,0/0,-
Colton Watkinson,Oshawa Fire Wolves,T,17,6,12,18,15,0,0,2,66,3,15,3,14,0/0,-
Doug Jamieson,Oshawa Fire Wolves,G,17,1,8,9,0,0,0,0,5,4,0,0,2,0/0,-
Ethan Walker,Oshawa Fire Wolves,F,18,32,52,84,4,6,12,0,89,49,1,0,145,0/0,-
Jackson Nishimura,Oshawa Fire Wolves,D,17,5,11,16,4,0,0,1,92,11,8,9,18,0/0,-
Jackson Reid,Oshawa Fire Wolves,D,9,0,4,4,8,0,0,0,39,1,8,1,11,0/0,-
Jeff Trainor,Oshawa Fire Wolves,F,2,0,0,0,0,0,0,0,10,2,1,0,1,0/0,-
Joe Nardella,Oshawa Fire Wolves,D,18,2,3,5,21,0,0,0,167,13,16,5,8,311/458,68%
John Piatelli,Oshawa Fire Wolves,F,4,4,2,6,0,0,0,0,9,3,1,0,20,0/0,-
Justin Geddie,Oshawa Fire Wolves,G,18,0,0,0,0,0,0,0,0,3,0,0,0,0/0,-
Leo Stouros,Oshawa Fire Wolves,D,15,1,0,1,15,0,0,0,30,2,3,13,3,1/1,100%
Marshall Powless,Oshawa Fire Wolves,F,16,13,31,44,2,3,6,0,54,34,2,1,67,0/0,-
Mike Byrne,Oshawa Fire Wolves,D,18,1,3,4,14,0,0,0,84,8,19,9,4,4/9,44%
Nathan Grenon,Oshawa Fire Wolves,F,15,12,19,31,16,0,1,0,35,25,1,0,72,0/0,-
Nicholas Volkov,Oshawa Fire Wolves,D,13,0,2,2,2,0,0,0,30,5,9,2,3,0/0,-
Nick Chaykowsky,Oshawa Fire Wolves,D,18,5,8,13,8,0,0,1,127,21,10,12,16,0/0,-
Patrick Kaschalk,Oshawa Fire Wolves,T,18,8,6,14,10,0,0,1,113,5,11,13,24,0/0,-
Sam Firth,Oshawa Fire Wolves,F,18,20,27,47,2,4,1,1,23,19,1,0,64,0/0,-
Travis Longboat,Oshawa Fire Wolves,F,18,25,32,57,4,3,1,1,68,25,3,2,104,0/0,-
Tye Kurtz,Oshawa Fire Wolves,F,18,32,46,78,4,5,9,2,112,42,4,0,156,0/0,-
Zachary Young,Oshawa Fire Wolves,T,16,0,1,1,30,0,0,0,51,6,10,2,1,0/0,-
