Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Adrian Sorichetti,Las Vegas Desert Dogs,D,18,1,4,5,29,0,0,0,38,7,4,11,8,0/0,-
Blake Gibson-McDonald,Las Vegas Desert Dogs,T,9,0,1,1,2,0,0,0,18,1,4,3,2,0/0,-
Cam Badour,Las Vegas Desert Dogs,T,2,0,1,1,0,0,0,0,0,1,0,0,0,0/0,-
Casey Jackson,Las Vegas Desert Dogs,F,18,41,29,70,10,12,5,0,64,48,1,0,171,0/0,-
Charlie Bertrand,Las Vegas Desert Dogs,F,11,7,6,13,9,0,0,0,24,25,1,2,34,0/0,-
Connor Kirst,Las Vegas Desert Dogs,T,18,12,4,16,15,0,0,3,146,18,32,6,31,68/176,39%
Dylan Watson,Las Vegas Desert Dogs,F,18,19,16,35,8,2,5,1,42,28,2,1,98,0/0,-
Erik Turner,Las Vegas Desert Dogs,T,2,0,0,0,0,0,0,0,6,1,0,2,1,0/0,-
Griffin Hall,Las Vegas Desert Dogs,D,16,0,2,2,4,0,0,0,11,3,5,7,0,0/0,-
Jack Hannah,Las Vegas Desert Dogs,F,18,29,47,76,4,5,16,1,71,44,3,1,151,0/0,-
Jacob Ruest,Las Vegas Desert Dogs,F,16,3,18,21,2,0,0,0,56,6,3,2,20,0/0,-
Jake Saunders,Las Vegas Desert Dogs,D,13,0,6,6,15,0,0,0,53,7,16,7,5,0/0,-
James Barclay,Las Vegas Desert Dogs,D,17,1,5,6,10,0,0,0,105,15,17,26,6,0/0,-
Joel Watson,Las Vegas Desert Dogs,G,18,0,0,0,0,0,0,0,0,0,0,0,0,0/0,-
John Wagner,Las Vegas Desert Dogs,D,14,4,8,12,19,0,0,1,102,13,27,17,17,0/0,-
Jonathan Gagliardi,Las Vegas Desert Dogs,T,17,2,3,5,46,0,0,0,50,7,6,9,6,23/47,49%
Josh Jackson,Las Vegas Desert Dogs,D,10,0,2,2,6,0,0,0,32,8,8,3,4,0/0,-
Landon Kells,Las Vegas Desert Dogs,G,18,0,7,7,6,0,0,0,13,10,0,0,0,0/0,-
Marshal King,Las Vegas Desert Dogs,F,6,2,5,7,2,1,0,0,13,6,1,0,21,0/0,-
Reid Reinholdt,Las Vegas Desert Dogs,F,7,0,4,4,9,0,0,0,24,3,1,3,1,0/0,-
Rob Hellyer,Las Vegas Desert Dogs,F,18,22,55,77,2,3,11,2,69,51,3,2,133,0/0,-
Sean Westley,Las Vegas Desert Dogs,F,14,10,13,23,2,1,2,0,32,6,3,0,37,0/0,-
Spencer Milne,Las Vegas Desert Dogs,D,2,0,0,0,0,0,0,0,2,1,0,2,0,0/0,-
Thomas Vaesen,Las Vegas Desert Dogs,F,3,1,2,3,0,0,0,0,3,4,2,0,10,0/0,-
Tor Reinholdt,Las Vegas Desert Dogs,D,18,1,10,11,41,0,0,0,105,11,13,17,4,0/0,-
Zach Cole,Las Vegas Desert Dogs,T,11,0,1,1,2,0,0,0,39,7,5,0,3,128/250,51%
Zack Greer,Las Vegas Desert Dogs,F,15,21,31,52,12,6,9,1,42,32,3,0,105,0/0,-
