Name,Year,Rk,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
Rob Brown,2002,33,CHI,34,F,59,15,48,63,83,-6,7,0,2.0,0.254,0.814,1.068,147,10.2%
Roman Lyashenko,2002,49,HFD,23,F,71,23,35,58,44,25,4,0,0.0,0.324,0.493,0.817,179,12.9%
Sergei Varlamov,2002,38,WOR,24,F,72,23,38,61,79,15,10,0,4.0,0.319,0.528,0.847,249,9.2%
Simon Gamache,2002,5,CHI,21,F,76,35,42,77,37,15,16,0,5.0,0.461,0.553,1.013,198,17.7%
Stacy Roest,2002,14,GR,28,F,70,24,48,72,28,18,7,3,5.0,0.343,0.686,1.029,186,12.9%
Steve Kariya,2002,45,TOT,25,F,69,26,33,59,38,-13,11,2,5.0,0.377,0.478,0.855,211,12.3%
Steve Kelly,2002,32,MCH,26,F,54,19,44,63,144,9,8,1,2.0,0.352,0.815,1.167,125,15.2%
Steve Maltais,2002,1,CHI,33,F,79,30,56,86,86,2,14,0,5.0,0.38,0.709,1.089,238,12.6%
Toby Petersen,2002,21,WBS,24,F,80,31,35,66,24,-18,12,0,3.0,0.388,0.438,0.825,221,14.0%
Tom Kostopoulos,2002,31,WBS,23,F,71,21,42,63,131,-4,9,0,3.0,0.296,0.592,0.887,190,11.1%
Trent Hunter,2002,15,BRI,22,F,70,30,41,71,39,0,13,1,6.0,0.429,0.586,1.014,264,11.4%
Trent Whitfield,2002,37,POR,25,F,64,27,34,61,42,3,7,5,4.0,0.422,0.531,0.953,200,13.5%
Andre Savage,2001,25,MTB,26,F,76,35,26,61,115,14,12,0,4.0,0.461,0.342,0.803,182,19.2%
Bob Wren,2001,9,SJS,27,F,69,24,49,73,83,-7,10,1,3.0,0.348,0.71,1.058,203,11.8%
Bobby House,2001,43,SJS,28,F,71,36,20,56,40,-15,14,2,5.0,0.507,0.282,0.789,246,14.6%
Brad Smyth,2001,4,HFD,28,F,79,34,48,82,90,8,10,0,6.0,0.43,0.608,1.038,314,10.8%
Brian Swanson,2001,8,HAM,25,F,65,34,39,73,26,28,8,2,4.0,0.523,0.6,1.123,192,17.7%
Byron Ritchie,2001,48,LOW,24,F,43,25,30,55,38,13,8,4,1.0,0.581,0.698,1.279,163,15.3%
Chris Taylor,2001,16,ROC,29,F,77,21,45,66,66,-1,7,1,2.0,0.273,0.584,0.857,205,10.2%
Cory Larose,2001,19,HOU,26,F,78,32,32,64,73,23,6,2,2.0,0.41,0.41,0.821,217,14.8%
Craig Darby,2001,12,QUE,29,F,66,16,55,71,18,21,4,0,3.0,0.242,0.833,1.076,143,11.2%
David Ling,2001,33,SYR,26,F,71,19,41,60,240,-8,9,0,1.0,0.268,0.577,0.845,228,8.3%
Derrick Walser,2001,26,SYR,23,D,73,23,38,61,70,-4,13,0,4.0,0.315,0.521,0.836,267,8.6%
Donald MacLean,2001,1,SJS,24,F,75,33,54,87,49,15,14,2,6.0,0.44,0.72,1.16,217,15.2%
Eric Boguniecki,2001,2,WOR,26,F,63,38,46,84,181,22,9,3,4.0,0.603,0.73,1.333,181,21.0%
Eric Healey,2001,39,MCH,26,F,65,24,34,58,45,-2,6,0,3.0,0.369,0.523,0.892,146,16.4%
Eric Landry,2001,7,QUE,26,F,63,32,43,75,125,13,6,2,4.0,0.508,0.683,1.19,200,16.0%
Fernando Pisani,2001,30,HAM,25,F,79,26,34,60,60,24,11,0,4.0,0.329,0.43,0.759,172,15.1%
Greg Hawgood,2001,27,UTA,33,D,67,18,43,61,83,-5,9,2,3.0,0.269,0.642,0.91,210,8.6%
Jame Pollock,2001,15,WOR,22,D,71,23,43,66,89,-4,12,0,2.0,0.324,0.606,0.93,279,8.2%
Jamie Lundmark,2001,35,HFD,20,F,79,27,32,59,56,-17,10,1,3.0,0.342,0.405,0.747,226,12.0%
Jarrod Skalde,2001,34,TOT,30,F,80,19,41,60,94,-8,4,1,1.0,0.238,0.513,0.75,190,10.0%
Jason Chimera,2001,5,HAM,22,F,77,26,51,77,158,28,7,3,8.0,0.338,0.662,1.0,247,10.5%
Jason Dawe,2001,18,HFD,28,F,79,28,37,65,46,5,7,0,4.0,0.354,0.468,0.823,194,14.4%
Jason Krog,2001,23,BRI,26,F,64,26,36,62,13,-8,9,0,4.0,0.406,0.563,0.969,207,12.6%
Jason Ward,2001,41,QUE,22,F,78,24,33,57,128,0,4,1,1.0,0.308,0.423,0.731,201,11.9%
Jean-Guy Trudel,2001,14,SPR,26,F,76,22,48,70,83,-11,11,0,3.0,0.289,0.632,0.921,264,8.3%
Jeff Heerema,2001,13,LOW,21,F,76,33,37,70,90,20,11,0,6.0,0.434,0.487,0.921,211,15.6%
Jim Montgomery,2001,11,UTA,32,F,71,28,43,71,90,7,8,2,2.0,0.394,0.606,1.0,155,18.1%
John Slaney,2001,37,PHI,29,D,64,20,39,59,26,12,9,1,6.0,0.313,0.609,0.922,185,10.8%
Justin Papineau,2001,6,WOR,21,F,75,38,38,76,86,6,14,3,6.0,0.507,0.507,1.013,236,16.1%
Kevin Brown,2001,20,HAM,27,F,70,28,36,64,154,-4,12,0,7.0,0.4,0.514,0.914,151,18.5%
Kip Miller,2001,46,GR,32,F,41,21,35,56,27,13,5,3,5.0,0.512,0.854,1.366,97,21.7%
Marc Brown,2001,47,WOR,22,F,74,30,25,55,42,14,14,0,5.0,0.405,0.338,0.743,295,10.2%
Mark Greig,2001,36,PHI,31,F,66,22,37,59,105,-2,7,2,3.0,0.333,0.561,0.894,219,10.1%
Mark Murphy,2001,42,POR,25,F,77,20,37,57,56,9,6,0,6.0,0.26,0.481,0.74,205,9.8%
Mike Craig,2001,29,CLE,30,F,69,35,25,60,87,-5,12,1,4.0,0.507,0.362,0.87,222,15.8%
Nathan Dempsey,2001,28,SJS,27,D,75,13,48,61,66,4,6,1,2.0,0.173,0.64,0.813,238,5.5%
Paul Healey,2001,44,SJS,26,F,58,27,29,56,30,20,6,2,6.0,0.466,0.5,0.966,183,14.8%
Peter Ferraro,2001,40,POR,28,F,67,21,37,58,119,3,8,0,2.0,0.313,0.552,0.866,274,7.7%
Rico Fata,2001,10,HFD,21,F,61,35,36,71,36,27,8,2,5.0,0.574,0.59,1.164,223,15.7%
Rob Brown,2001,3,CHI,33,F,80,29,54,83,103,-11,13,0,7.0,0.363,0.675,1.038,187,15.5%
Ryan Kraft,2001,32,CLE,26,F,63,19,41,60,42,-23,9,3,3.0,0.302,0.651,0.952,141,13.5%
Ryan Ready,2001,50,MTB,23,F,72,23,32,55,73,0,9,0,1.0,0.319,0.444,0.764,182,12.6%
Steve Brule,2001,22,CIN,26,F,77,21,42,63,50,-9,6,0,3.0,0.273,0.545,0.818,250,8.4%
Steve Guolla,2001,31,ALB,28,F,68,25,35,60,27,-16,6,2,3.0,0.368,0.515,0.882,166,15.1%
Steve Kariya,2001,24,MTB,24,F,67,25,37,62,48,0,9,0,1.0,0.373,0.552,0.925,179,14.0%
Steve Maltais,2001,21,CHI,32,F,67,31,32,63,62,-12,15,0,5.0,0.463,0.478,0.94,207,15.0%
Tony Virta,2001,38,HOU,29,F,67,25,33,58,29,3,5,1,5.0,0.373,0.493,0.866,176,14.2%
Trent Hunter,2001,17,BRI,21,F,80,30,35,65,30,27,8,0,5.0,0.375,0.438,0.813,247,12.2%
Tyler Arnason,2001,45,NOR,22,F,60,26,30,56,42,-2,11,0,3.0,0.433,0.5,0.933,184,14.1%
Wyatt Smith,2001,49,SPR,24,F,69,23,32,55,69,-5,9,0,1.0,0.333,0.464,0.797,180,12.8%
