Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Aaron Bold,San Jose Stealth,G,16,0,1,1,0,0,0,0,2,0,0,0,0,0/0,-
Aaron Wilson,Toronto Rock,F,16,28,22,50,4,0,0,0,90,0,0,0,0,0/0,-
Adam Bysouth,Portland Lumber Jax,T,2,1,1,2,2,0,0,0,7,0,0,0,0,0/0,-
AJ Shannon,Edmonton Rush,F,16,22,18,40,2,0,0,0,55,0,0,0,0,0/0,-
Alex Coutts,Calgary Roughnecks,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0/0,-
Andrew Biers,Minnesota Swarm,D,2,1,2,3,0,0,0,0,8,0,0,0,0,0/2,-
Andrew Burkholder,Chicago Shamrox,T,2,0,2,2,2,0,0,0,6,0,0,0,0,0/0,-
Andrew Guindon,San Jose Stealth,D,14,0,9,9,39,0,0,0,42,0,0,0,0,0/1,-
Andrew Lazore,Chicago Shamrox,F,4,3,3,6,0,0,0,0,8,0,0,0,0,0/0,-
Andrew Martin,Edmonton Rush,D,4,0,0,0,4,0,0,0,9,0,0,0,0,0/0,-
Andrew McBride,Calgary Roughnecks,D,15,3,6,9,46,0,0,0,84,0,0,0,0,0/0,-
Andrew Potter,Rochester Knighthawks,F,2,1,0,1,0,0,0,0,9,0,0,0,0,0/0,-
Andy Secore,Minnesota Swarm,F,14,28,48,76,4,0,0,0,59,0,0,0,0,0/0,-
Anthony Cosmo,San Jose Stealth,G,16,0,4,4,7,0,0,0,15,0,0,0,0,0/0,-
Anthony Kelly,New York Titans,D,2,0,0,0,0,0,0,0,5,0,0,0,0,7/13,54%
Athan Iannucci,Philadelphia Wings,F,16,71,29,100,35,0,0,0,138,0,0,0,0,0/0,-
Ben Prepchuk,Edmonton Rush,F,8,5,14,19,2,0,0,0,21,0,0,0,0,0/0,-
Bill Greer,Rochester Knighthawks,D,14,9,5,14,4,0,0,0,69,0,0,0,0,0/0,-
Bill McGlone,Chicago Shamrox,F,15,10,11,21,6,0,0,0,60,0,0,0,0,0/0,-
Billy Dee Smith,Buffalo Bandits,D,14,7,2,9,58,0,0,0,57,0,0,0,0,0/1,-
Blaine Manning,Toronto Rock,F,16,30,44,74,4,0,0,0,90,0,0,0,0,34/71,48%
Bob Watson,Toronto Rock,G,15,0,6,6,0,0,0,0,14,0,0,0,0,0/0,-
Bobby McBride,Chicago Shamrox,T,13,8,13,21,5,0,0,0,73,0,0,0,0,0/0,-
Brad MacDonald,Portland Lumber Jax,D,12,1,0,1,24,0,0,0,17,0,0,0,0,0/0,-
Brad Self,Chicago Shamrox,F,5,8,8,16,4,0,0,0,25,0,0,0,0,0/0,-
Brandon Francis,Buffalo Bandits,F,3,0,0,0,0,0,0,0,9,0,0,0,0,31/83,37%
Brandon Miller,Chicago Shamrox,G,16,0,4,4,12,0,0,0,6,0,0,0,0,0/0,-
Brandon Swamp,Buffalo Bandits,F,8,2,4,6,11,0,0,0,27,0,0,0,0,0/0,-
Brendan Mundorf,New York Titans,F,13,23,23,46,8,0,0,0,39,0,0,0,0,0/0,-
Brenden Thenhaus,Edmonton Rush,F,10,3,7,10,4,0,0,0,41,0,0,0,0,0/1,-
Brett Bucktooth,Buffalo Bandits,F,4,4,3,7,4,0,0,0,8,0,0,0,0,0/0,-
Brett Moyer,Philadelphia Wings,F,10,1,1,2,6,0,0,0,26,0,0,0,0,0/0,-
Brian Beisel,Philadelphia Wings,D,5,0,1,1,2,0,0,0,14,0,0,0,0,0/0,-
Brian Langtry,Colorado Mammoth,F,14,30,33,63,21,0,0,0,58,0,0,0,0,0/0,-
Brian Tower,New York Titans,F,4,2,0,2,0,0,0,0,5,0,0,0,0,0/0,-
