Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Aki Berg,LA,D,11,5,3,8,-2.0,8,0:00,0,1,26,19.2,,,,,,0,0,0.0
Barry Potomski,LA,LW,18,4,2,6,-2.0,15,0:00,0,0,50,8.0,,,,,,0,0,0.0
Brad Smyth RW *,LA,,55,5,12,17,-13.0,144,0:00,2,4,68,7.4,,,,,,0,0,0.0
Brent Grieve,LA,C,30,3,3,6,-13.0,25,0:00,1,0,32,9.4,,,,,,0,0,0.0
Chris Marinucci,LA,C,9,0,0,0,1.0,37,0:00,0,0,6,0.0,,,,,,0,0,0.0
Craig Johnson,LA,LW,41,2,6,8,-9.0,24,0:00,2,0,65,3.1,,,,,,0,0,0.0
Dan Bylsma,LA,RW,29,4,5,9,-7.0,60,0:00,1,0,54,7.4,,,,,,0,0,0.0
Doug Zmolek,LA,D,19,0,4,4,-9.0,0,0:00,0,2,17,0.0,,,,,,0,0,0.0
Ed Olczyk RW *,LA,,81,25,21,46,-22.0,112,0:00,11,6,152,16.4,,,,,,0,0,0.0
Glen Murray RW *,LA,,33,4,5,9,3.0,22,0:00,0,1,44,9.1,,,,,,0,0,0.0
Ian Laperriere,LA,RW,41,11,14,25,0.0,20,0:00,1,3,98,11.2,,,,,,0,0,0.0
Jan Vopat,LA,D,79,3,6,9,-15.0,32,0:00,0,1,86,3.5,,,,,,0,0,0.0
Jaroslav Modry,LA,D,31,4,3,7,-7.0,26,0:00,1,0,30,13.3,,,,,,0,0,0.0
Jason Morgan,LA,C,6,1,0,1,-2.0,6,0:00,0,0,10,10.0,,,,,,0,0,0.0
Jeff Shevalier,LA,LW,32,3,11,14,-10.0,4,0:00,1,3,60,5.0,,,,,,0,0,0.0
John Slaney,LA,D,44,8,8,16,-7.0,74,0:00,0,2,74,10.8,,,,,,0,0,0.0
Kai Nurminen,LA,LW,62,8,23,31,-28.0,82,0:00,4,9,169,4.7,,,,,,0,0,0.0
Kevin Stevens,LA,LW,67,16,23,39,8.0,12,0:00,1,5,118,13.6,,,,,,0,0,0.0
Matt Johnson,LA,LW,54,2,3,5,-8.0,84,0:00,0,0,35,5.7,,,,,,0,0,0.0
Mattias Norstrom,LA,D,62,8,15,23,-25.0,102,0:00,0,1,84,9.5,,,,,,0,0,0.0
Nathan Lafayette,LA,C,8,0,4,4,-7.0,2,0:00,0,4,12,0.0,,,,,,0,0,0.0
Neal Broten C *,LA,,15,1,3,4,-8.0,8,0:00,0,0,26,3.8,,,,,,0,0,0.0
Paul Dipietro,LA,C,57,1,0,1,-22.0,116,0:00,0,0,28,3.6,,,,,,0,0,0.0
Petr Klima LW *,LA,,52,1,3,4,-4.0,194,0:00,0,0,20,5.0,,,,,,0,0,0.0
Philippe Boucher,LA,D,67,16,11,27,-3.0,22,0:00,4,4,112,14.3,,,,,,0,0,0.0
Ray Ferraro,LA,C,75,19,37,56,8.0,38,0:00,3,6,135,14.1,,,,,,0,0,0.0
Rob Blake,LA,D,65,10,22,32,-9.0,10,0:00,2,3,97,10.3,,,,,,0,0,0.0
Roman Vopat,LA,LW,26,4,9,13,-6.0,6,0:00,1,3,42,9.5,,,,,,0,0,0.0
Sean O'Donnell,LA,D,80,1,21,22,-4.0,84,0:00,0,5,106,0.9,,,,,,0,0,0.0
Steve McKenna,LA,LW,3,0,0,0,-3.0,0,0:00,0,0,4,0.0,,,,,,0,0,0.0
Steven Finn,LA,D,26,3,2,5,-8.0,93,0:00,0,0,18,16.7,,,,,,0,0,0.0
Total,LA,,1,0,0,0,-2.0,0,0:00,0,0,1,0.0,,,,,,0,0,0.0
Vitali Yachmenev,LA,LW,69,14,20,34,-27.0,96,0:00,4,2,175,8.0,,,,,,0,0,0.0
Vladimir Tsyplakov,LA,F,67,21,23,44,-22.0,45,0:00,5,11,166,12.7,,,,,,0,0,0.0
Yanic Perreault,LA,C,60,7,18,25,0.0,25,0:00,2,7,159,4.4,,,,,,0,0,0.0
