Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Sebastian Aho,C,61,23,36,59,1,42,20:16,3,15,166,13.9,1365,7,532,425,55.6,2,0,0.0
Matthew Tkachuk,LW,52,22,35,57,-3,54,18:13,11,12,156,14.1,1161,2,1,4,20.0,1,0,0.0
Wyatt Johnston,C,61,22,35,57,7,12,19:07,7,13,165,13.3,1404,2,345,349,49.7,2,1,50.0
Aleksander Barkov,C,52,16,40,56,1,12,20:24,7,15,115,13.9,1297,3,476,331,59.0,3,2,66.7
Filip Forsberg,LW,61,22,33,55,-16,36,18:45,7,11,215,10.2,1375,2,1,9,10.0,0,0,0.0
Gabriel Vilardi,C,62,26,29,55,7,12,18:07,11,11,116,22.4,1235,5,72,71,50.4,1,0,0.0
Cole Caufield,RW,61,30,25,55,-2,14,17:50,10,5,179,16.8,1178,5,4,5,44.4,4,2,50.0
Matt Boldy,LW,62,21,32,53,4,39,19:58,6,10,215,9.8,1198,8,45,57,44.1,4,2,50.0
Rickard Rakell,RW,63,29,24,53,-23,10,19:20,6,7,165,17.6,1489,1,12,11,52.2,5,2,40.0
Dylan Larkin,C,61,24,29,53,-6,38,19:56,13,9,193,12.4,1435,2,670,535,55.6,2,2,100.0
Tage Thompson,C,54,30,23,53,4,17,18:40,4,8,169,17.8,1264,2,232,319,42.1,3,0,0.0
Alex DeBrincat,RW,61,29,24,53,-14,14,17:42,11,13,170,17.1,1245,4,23,24,48.9,0,0,0.0
John Tavares,C,54,24,28,52,8,32,18:27,9,4,146,16.4,1165,7,545,404,57.4,1,0,0.0
Mikael Granlund,C,62,15,37,52,-5,26,20:14,5,11,138,10.9,1379,1,339,356,48.8,3,2,66.7
Nikolaj Ehlers,LW,53,19,33,52,16,8,15:55,5,14,138,13.8,1016,3,5,12,29.4,0,0,0.0
Kirill Kaprizov,LW,37,23,29,52,19,14,22:24,3,9,128,18.0,758,4,0,2,0.0,1,0,0.0
Auston Matthews,C,46,22,30,52,4,20,20:38,5,10,185,11.9,1132,1,490,378,56.5,1,0,0.0
Pierre-Luc Dubois,C,61,15,37,52,22,44,17:18,2,8,104,14.4,1330,3,439,443,49.8,4,1,25.0
Mark Stone,RW,46,16,35,51,17,8,19:44,5,17,94,17.0,986,3,4,6,40.0,0,0,0.0
Aliaksei Protas,C,61,23,28,51,30,18,16:30,0,1,115,20.0,1310,5,6,16,27.3,1,0,0.0
Marco Rossi,C,62,21,30,51,14,24,18:19,6,6,103,20.4,1137,2,357,397,47.3,1,0,0.0
Robert Thomas,C,50,16,34,50,9,18,19:53,1,8,115,13.9,1213,3,546,423,56.3,2,0,0.0
Victor Hedman,D,59,11,39,50,14,24,23:26,3,18,141,7.8,1552,1,0,0,0.0,1,0,0.0
Adrian Kempe,RW,59,26,24,50,13,26,19:29,4,5,175,14.9,1346,3,8,10,44.4,3,2,66.7
Roope Hintz,C,57,25,25,50,11,18,16:54,6,9,132,18.9,1305,6,306,253,54.7,0,0,0.0
J.T. Miller,C,51,16,33,49,-1,37,17:56,4,15,102,15.7,1254,2,482,344,58.4,2,1,50.0
Josh Morrissey,D,61,9,40,49,10,22,24:07,2,18,133,6.8,1644,1,0,0,0.0,0,0,0.0
Jordan Kyrou,C,62,24,25,49,12,18,17:47,6,7,174,13.8,1318,4,4,9,30.8,2,0,0.0
Nico Hischier,C,57,26,23,49,16,16,20:19,10,11,151,17.2,1389,2,763,612,55.5,0,0,0.0
Rasmus Dahlin,D,52,10,39,49,7,40,24:24,4,12,135,7.4,1525,1,0,0,0.0,0,0,0.0
JJ Peterka,RW,58,18,31,49,0,24,18:05,4,7,131,13.7,1279,3,2,5,28.6,3,2,66.7
Connor Bedard,C,61,16,33,49,-29,34,20:16,7,16,141,11.3,1265,4,180,322,35.9,3,1,33.3
Lane Hutson,D,61,4,44,48,-15,32,22:22,1,20,70,5.7,1407,0,0,0,0.0,1,0,0.0
Alex Ovechkin,LW,45,31,17,48,17,14,17:49,8,6,171,18.1,893,6,0,1,0.0,1,0,0.0
Anze Kopitar,C,59,14,34,48,5,2,19:13,3,12,78,17.9,1302,5,652,498,56.7,0,0,0.0
Teuvo Teravainen,C,61,14,34,48,-12,8,16:50,6,13,92,15.2,1181,0,32,44,42.1,3,3,100.0
Shea Theodore,D,55,7,41,48,10,20,22:02,2,17,111,6.3,1381,2,0,0,0.0,1,0,0.0
Adam Fox,D,58,5,43,48,5,28,23:13,1,15,100,5.0,1498,2,0,0,0.0,0,0,0.0
Brad Marchand,LW,61,21,26,47,-8,62,18:26,5,8,175,12.0,1411,5,5,7,41.7,0,0,0.0
Bryan Rust,RW,53,21,26,47,-24,16,19:36,3,9,133,15.8,1323,4,8,4,66.7,4,1,25.0
Tom Wilson,RW,60,27,20,47,16,59,18:46,11,5,136,19.9,1368,3,4,12,25.0,0,0,0.0
Alex Tuch,RW,60,23,24,47,12,33,19:21,1,5,145,15.9,1533,2,62,83,42.8,3,2,66.7
Nick Schmaltz,C,61,12,35,47,-10,8,18:51,5,14,131,9.2,1398,1,122,137,47.1,3,1,33.3
Drake Batherson,RW,60,16,31,47,-13,16,18:30,9,15,132,12.1,1430,2,9,10,47.4,2,0,0.0
Evan Bouchard,D,61,10,37,47,13,22,23:32,1,18,180,5.6,1411,1,0,0,0.0,0,0,0.0
Connor McMichael,C,61,22,25,47,22,28,17:10,4,6,137,16.1,1309,4,30,38,44.1,0,0,0.0
Logan Cooley,C,54,17,30,47,7,30,17:43,7,9,116,14.7,1191,1,241,298,44.7,0,0,0.0
Brady Tkachuk,LW,58,23,23,46,-3,110,18:40,13,7,242,9.5,1430,4,144,146,49.7,0,0,0.0
Seth Jarvis,C,55,23,23,46,2,12,19:25,6,7,142,16.2,1224,1,41,79,34.2,1,0,0.0
Dylan Holloway,LW,62,20,26,46,12,10,16:38,4,6,145,13.8,1260,5,59,80,42.4,2,0,0.0
William Eklund,LW,58,13,33,46,-2,22,19:31,6,8,104,12.5,1240,2,9,20,31.0,2,1,50.0
Nazem Kadri,C,61,22,24,46,-16,63,18:57,5,11,206,10.7,1401,2,514,574,47.2,0,0,0.0
Jonathan Huberdeau,C,61,22,24,46,-5,32,19:06,7,9,113,19.5,1456,5,8,20,28.6,0,0,0.0
Jonathan Marchessault,RW,61,19,27,46,-19,33,18:11,4,13,180,10.6,1299,4,14,42,25.0,0,0,0.0
Tomas Hertl,C,60,23,23,46,-12,18,17:13,11,8,147,15.6,1167,3,433,329,56.8,0,0,0.0
Erik Karlsson,D,64,8,37,45,-23,18,23:17,1,11,157,5.1,1664,0,0,0,0.0,0,0,0.0
Ryan Donato,C,59,22,23,45,-7,30,15:25,3,8,133,16.5,1034,2,175,222,44.1,2,1,50.0
Anthony Cirelli,C,59,20,25,45,23,20,18:53,3,2,119,16.8,1372,1,484,481,50.2,0,0,0.0
Troy Terry,RW,55,17,28,45,6,16,18:57,4,6,130,13.1,1180,3,8,18,30.8,4,1,25.0
Matvei Michkov,RW,60,19,26,45,-11,38,16:05,7,8,140,13.6,1161,3,19,22,46.3,5,2,40.0
Macklin Celebrini,C,51,19,26,45,-22,22,19:41,6,10,171,11.1,1027,4,359,392,47.8,4,0,0.0
Dylan Guenther,RW,49,22,22,44,4,20,16:47,10,11,133,16.5,1002,7,7,10,41.2,0,0,0.0
Mika Zibanejad,C,61,13,31,44,-18,20,18:29,4,12,136,9.6,1403,0,437,400,52.2,0,0,0.0
Jason Zucker,LW,54,18,26,44,4,53,16:02,9,7,99,18.2,1100,3,31,44,41.3,0,0,0.0
Carter Verhaeghe,C,62,16,28,44,-13,36,18:07,5,11,186,8.6,1350,5,10,23,30.3,0,0,0.0
Jared McCann,LW,62,15,29,44,5,14,17:20,2,8,146,10.3,1318,2,33,40,45.2,0,0,0.0
Anders Lee,LW,61,23,20,43,15,27,17:15,4,2,171,13.5,1269,2,7,11,38.9,0,0,0.0
Brock Nelson,C,61,20,23,43,2,14,19:21,1,3,162,12.3,1424,6,491,439,52.8,1,0,0.0
Bo Horvat,C,60,20,23,43,7,8,20:00,3,3,175,11.4,1380,5,561,379,59.7,3,1,33.3
Andrei Svechnikov,RW,61,18,25,43,-7,47,17:34,9,8,164,11.0,1225,2,1,3,25.0,2,1,50.0
Kent Johnson,C,47,20,23,43,0,10,17:22,3,9,92,21.7,949,4,0,5,0.0,4,3,75.0
Tyler Toffoli,C,60,24,18,42,-16,12,16:34,5,8,171,14.0,1171,1,9,8,52.9,1,1,100.0
Pavel Buchnevich,LW,60,13,29,42,5,21,18:54,2,7,115,11.3,1343,1,81,139,36.8,2,0,0.0
Evgeni Malkin,C,54,12,29,41,-23,28,17:52,2,9,92,13.0,1160,3,192,262,42.3,1,1,100.0
Kyle Palmieri,C,61,20,21,41,-7,14,18:12,4,4,118,16.9,1378,2,12,17,41.4,3,1,33.3
Sean Monahan,C,41,14,27,41,17,14,19:26,4,5,106,13.2,964,2,456,430,51.5,2,1,50.0
Chandler Stephenson,C,61,10,31,41,-12,22,19:36,1,16,59,16.9,1376,1,610,557,52.3,0,0,0.0
Timo Meier,RW,62,17,24,41,13,52,17:26,4,5,179,9.5,1310,3,7,15,31.8,1,1,100.0
Matthew Knies,LW,57,24,17,41,2,26,18:26,4,5,100,24.0,1302,3,0,1,0.0,0,0,0.0
Jake Sanderson,D,59,6,34,40,-17,10,24:31,4,20,139,4.3,1713,1,0,0,0.0,0,0,0.0
Anton Lundell,C,61,14,26,40,15,26,16:45,2,4,118,11.9,1406,1,423,397,51.6,3,2,66.7
Dmitri Voronkov,LW,52,20,20,40,16,41,17:25,8,3,113,17.7,1041,1,23,30,43.4,0,0,0.0
Mats Zuccarello,RW,49,14,26,40,6,16,19:24,2,9,102,13.7,889,4,12,14,46.2,2,1,50.0
Dougie Hamilton,D,63,9,31,40,9,28,19:47,5,10,182,4.9,1481,3,0,0,0.0,1,1,100.0
Claude Giroux,RW,60,12,27,39,-3,16,18:51,3,9,116,10.3,1591,2,475,291,62.0,2,0,0.0
John Carlson,D,61,4,35,39,18,18,23:48,1,11,128,3.1,1509,0,0,0,0.0,2,0,0.0
Ryan O'Reilly,C,58,16,23,39,-18,11,18:53,6,6,114,14.0,1355,3,553,423,56.7,1,1,100.0
Vincent Trocheck,C,61,17,22,39,-2,38,21:14,4,6,158,10.8,1473,3,696,468,59.8,1,1,100.0
Sam Bennett,C,60,19,20,39,-9,69,17:09,4,3,195,9.7,1345,2,377,422,47.2,0,0,0.0
Kevin Fiala,LW,58,24,15,39,-11,34,18:46,8,7,177,13.6,1162,4,13,18,41.9,2,1,50.0
Ivan Barbashev,C,50,18,21,39,18,8,16:53,2,0,84,21.4,953,3,7,13,35.0,0,0,0.0
Mikhail Sergachev,D,56,11,28,39,-11,20,25:32,3,13,96,11.5,1729,3,0,0,0.0,0,0,0.0
Jakob Chychrun,D,56,17,22,39,21,36,21:05,5,9,132,12.9,1204,5,0,0,0.0,1,0,0.0
Patrick Kane,RW,51,15,23,38,-14,10,17:40,8,12,115,13.0,1014,6,3,5,37.5,2,1,50.0
Jamie Benn,LW,61,15,23,38,4,60,15:36,1,6,107,14.0,1291,4,234,183,56.1,0,0,0.0
Brayden Schenn,C,62,12,26,38,-2,48,17:32,2,4,110,10.9,1376,4,456,449,50.4,4,2,50.0
Roman Josi,D,53,9,29,38,-26,18,25:01,2,15,150,6.0,1441,1,0,0,0.0,0,0,0.0
Jaden Schwartz,C,62,19,19,38,-3,20,18:09,3,3,143,13.3,1271,5,23,26,46.9,0,0,0.0
Pavel Zacha,C,63,12,26,38,0,19,19:21,2,4,107,11.2,1528,4,300,268,52.8,1,0,0.0
Adam Fantilli,C,61,18,20,38,0,14,17:42,2,2,137,13.1,1213,1,323,451,41.7,5,1,20.0
Thomas Harley,D,59,11,26,37,28,12,23:00,1,9,124,8.9,1494,2,0,0,0.0,0,0,0.0
Pavel Dorofeyev,LW,60,24,13,37,-10,20,16:24,10,3,177,13.6,1121,4,3,13,18.8,3,0,0.0
Cole Perfetti,C,62,12,25,37,17,14,15:04,5,8,104,11.5,1146,2,15,40,27.3,0,0,0.0
Shane Wright,C,59,14,23,37,5,16,13:37,7,5,61,23.0,1021,2,265,313,45.8,1,0,0.0
Ryan Nugent-Hopkins,C,60,16,21,37,2,22,18:55,6,10,117,13.7,1265,4,170,176,49.1,1,0,0.0
Artturi Lehkonen,LW,50,26,11,37,26,24,21:08,1,2,113,23.0,1189,4,5,8,38.5,0,0,0.0
Oliver Bjorkstrand,RW,61,16,21,37,-1,14,15:28,4,4,124,12.9,1091,1,2,5,28.6,2,1,50.0
Conor Garland,RW,60,16,21,37,-6,31,18:50,6,6,130,12.3,1387,3,4,8,33.3,1,0,0.0
Neal Pionk,D,62,9,28,37,18,44,22:12,4,7,111,8.1,1730,2,0,0,0.0,0,0,0.0
Steven Stamkos,C,61,18,18,36,-21,38,17:56,9,5,131,13.7,1283,5,317,302,51.2,1,1,100.0
Ryan Strome,C,60,10,26,36,0,40,17:04,0,5,108,9.3,1270,3,386,532,42.0,0,0,0.0
Frank Vatrano,RW,59,18,18,36,0,44,17:54,3,2,190,9.5,1309,1,10,14,41.7,0,0,0.0
Brock Boeser,RW,53,18,18,36,-19,16,17:49,7,7,104,17.3,1169,2,8,23,25.8,1,0,0.0
Moritz Seider,D,61,5,31,36,-4,30,25:12,1,17,121,4.1,1693,0,0,0,0.0,0,0,0.0
Owen Tippett,RW,57,18,17,35,-8,14,16:30,0,6,144,12.5,1231,2,5,9,35.7,4,2,50.0
Kaapo Kakko,RW,59,10,25,35,3,30,15:24,3,3,92,10.9,1126,1,43,48,47.3,2,0,0.0
Fabian Zetterlund,LW,63,16,19,35,9,10,16:56,3,2,134,11.9,1210,0,28,18,60.9,1,1,100.0
Juraj Slafkovsky,LW,58,11,24,35,-7,25,16:53,3,5,86,12.8,1053,1,5,10,33.3,1,0,0.0
MacKenzie Weegar,D,61,7,28,35,12,29,23:45,4,13,140,5.0,1921,0,0,1,0.0,0,0,0.0
Jake DeBrusk,LW,60,21,14,35,-9,14,16:34,9,4,120,17.5,1317,3,6,13,31.6,2,1,50.0
Elias Pettersson,C,54,11,24,35,-9,14,18:46,5,7,94,11.7,1209,1,368,433,45.9,1,0,0.0
Zach Hyman,LW,56,20,14,34,8,24,19:12,6,5,154,13.0,1120,6,1,3,25.0,0,0,0.0
Shayne Gostisbehere,D,54,7,27,34,-5,24,18:21,4,16,99,7.1,1086,0,0,0,0.0,0,0,0.0
Colton Parayko,D,61,15,19,34,8,8,23:51,1,0,122,12.3,1713,4,0,0,0.0,0,0,0.0
Casey Mittelstadt,C,62,11,23,34,-12,20,17:04,2,9,81,13.6,1238,3,336,466,41.9,1,0,0.0
Barrett Hayton,C,61,16,18,34,3,25,15:55,4,3,114,14.0,1323,5,425,359,54.2,0,0,0.0
Alexis Lafreniere,LW,61,14,20,34,-16,24,17:29,2,2,129,10.9,1250,3,12,19,38.7,0,0,0.0
Quinton Byfield,RW,59,11,23,34,6,30,18:34,1,2,113,9.7,1324,2,282,355,44.3,0,0,0.0
Morgan Geekie,C,58,20,13,33,3,20,16:23,3,3,114,17.5,1196,4,126,144,46.7,0,0,0.0
Jackson LaCombe,D,53,11,22,33,9,18,21:18,1,4,111,9.9,1355,1,0,0,0.0,0,0,0.0
Will Cuylle,LW,61,17,16,33,11,30,14:55,2,1,113,15.0,1226,3,8,23,25.8,0,0,0.0
Matty Beniers,C,62,14,19,33,4,12,18:32,3,3,110,12.7,1298,1,440,489,47.4,2,0,0.0
Mason McTavish,C,54,16,17,33,0,28,16:35,4,4,115,13.9,1078,0,328,344,48.8,3,1,33.3
Evgenii Dadonov,RW,61,16,17,33,11,6,13:59,4,2,102,15.7,1132,2,0,0,0.0,0,0,0.0
Tyler Bertuzzi,LW,61,17,16,33,-32,43,16:18,8,5,103,16.5,1064,0,18,21,46.2,1,0,0.0
Nick Paul,LW,55,18,15,33,8,30,16:26,2,3,97,18.6,1155,3,317,311,50.5,0,0,0.0
Stefan Noesen,RW,61,19,13,32,-4,48,15:44,10,4,132,14.4,1265,5,38,38,50.0,0,0,0.0
Morgan Rielly,D,61,7,25,32,-15,19,21:34,1,11,99,7.1,1710,2,0,0,0.0,0,0,0.0
Elias Lindholm,C,63,11,21,32,-6,14,18:21,2,10,116,9.5,1562,2,583,488,54.4,0,0,0.0
Warren Foegele,LW,59,17,15,32,22,14,16:08,0,0,146,11.6,1247,5,18,20,47.4,0,0,0.0
Jake Walman,D,50,6,26,32,-1,36,23:10,0,7,125,4.8,1311,1,0,0,0.0,0,0,0.0
Simon Holmstrom,RW,54,14,18,32,7,6,16:32,1,2,69,20.3,1164,2,1,2,33.3,1,1,100.0
Matt Coronato,RW,56,16,16,32,5,21,17:03,3,9,129,12.4,1160,2,45,56,44.6,1,0,0.0
Josh Norris,C,52,19,12,31,-6,34,18:23,6,5,93,20.4,1384,5,381,329,53.7,1,0,0.0
Mason Marchment,LW,43,15,16,31,10,39,15:30,2,5,98,15.3,829,3,5,10,33.3,0,0,0.0
Ryan McLeod,C,57,14,17,31,9,12,15:55,0,0,60,23.3,1263,1,419,392,51.7,0,0,0.0
Dylan Cozens,C,60,11,20,31,-14,62,17:13,2,2,138,8.0,1353,1,443,434,50.5,0,0,0.0
Alex Laferriere,RW,55,15,16,31,11,14,16:53,2,2,132,11.4,1070,4,18,30,37.5,1,0,0.0
Owen Power,D,60,6,25,31,-9,12,22:02,1,1,114,5.3,1646,0,0,0,0.0,0,0,0.0
Jordan Staal,C,62,12,19,31,14,14,15:27,0,0,89,13.5,1343,3,611,518,54.1,0,0,0.0
Phillip Danault,C,58,5,26,31,9,12,17:52,0,0,92,5.4,1273,1,473,410,53.6,0,0,0.0
Aaron Ekblad,D,54,3,28,31,10,51,23:31,0,10,105,2.9,1552,2,0,0,0.0,0,0,0.0
Brandon Montour,D,61,12,19,31,-11,37,23:09,4,4,178,6.7,1370,2,0,0,0.0,0,0,0.0
Sean Couturier,C,59,10,20,30,4,29,16:35,0,1,106,9.4,1229,1,489,387,55.8,2,0,0.0
Vladislav Namestnikov,C,58,10,20,30,19,32,15:04,2,8,72,13.9,1148,1,260,316,45.1,0,0,0.0
Jean-Gabriel Pageau,C,58,11,19,30,8,23,16:52,2,1,98,11.2,1287,1,382,259,59.6,1,0,0.0
Matt Grzelcyk,D,64,1,29,30,-12,8,20:09,0,10,77,1.3,1603,0,0,0,0.0,0,0,0.0
Thomas Chabot,D,59,5,25,30,13,22,23:12,0,5,140,3.6,1680,1,0,0,0.0,0,0,0.0
Morgan Frost,C,60,13,17,30,-14,22,15:22,1,8,107,12.2,1174,2,381,362,51.3,2,1,50.0
Jake Neighbours,LW,62,15,15,30,-3,37,16:03,5,4,102,14.7,1254,1,5,13,27.8,3,2,66.7
Will Smith,C,55,11,19,30,-9,10,14:53,3,4,84,13.1,968,1,51,94,35.2,4,0,0.0
Bowen Byram,D,60,7,22,29,5,26,23:06,0,2,72,9.7,1734,2,0,0,0.0,0,0,0.0
Bobby Brink,RW,59,8,21,29,-9,14,14:18,2,2,83,9.6,1161,2,9,25,26.5,1,0,0.0
Tyson Foerster,RW,61,16,13,29,-4,39,16:08,4,1,94,17.0,1305,1,0,2,0.0,1,0,0.0
Cole Sillinger,C,54,9,20,29,-15,35,17:18,2,1,114,7.9,1132,2,254,293,46.4,0,0,0.0
Logan Stankoven,C,58,9,20,29,2,6,15:08,1,5,147,6.1,1099,4,83,96,46.4,0,0,0.0
James van Riemsdyk,LW,54,14,15,29,-2,14,12:26,1,1,66,21.2,884,2,5,13,27.8,0,0,0.0
Nino Niederreiter,RW,62,14,15,29,15,20,14:45,2,6,116,12.1,1187,2,17,24,41.5,0,0,0.0
Reilly Smith,RW,58,10,19,29,-1,22,15:35,1,3,89,11.2,1226,2,1,2,33.3,1,0,0.0
Blake Coleman,C,61,12,17,29,-10,28,17:42,3,1,146,8.2,1378,3,37,33,52.9,0,0,0.0
Jordan Martinook,LW,62,11,18,29,17,10,15:23,0,0,93,11.8,1294,2,30,33,47.6,0,0,0.0
Devon Toews,D,58,7,22,29,21,18,24:47,0,1,111,6.3,1606,3,0,0,0.0,0,0,0.0
Michael Bunting,LW,58,14,15,29,-18,48,15:15,9,6,110,12.7,1119,1,5,6,45.5,0,0,0.0
Frederick Gaudreau,C,62,14,15,29,5,6,15:18,3,0,87,16.1,1125,2,393,390,50.2,2,1,50.0
Jack Roslovic,C,61,19,10,29,-10,4,13:39,1,1,107,17.8,1041,2,99,79,55.6,0,0,0.0
Brett Howden,C,59,16,13,29,9,24,14:57,0,0,103,15.5,1132,3,149,139,51.7,0,0,0.0
Mike Matheson,D,59,5,23,28,-7,43,24:46,1,9,109,4.6,1486,1,0,0,0.0,1,0,0.0
Alex Wennberg,C,58,8,20,28,-13,8,18:16,3,6,62,12.9,1218,2,366,397,48.0,1,0,0.0
Noah Hanifin,D,60,7,21,28,-1,14,21:18,2,3,115,6.1,1516,1,0,0,0.0,0,0,0.0
Ivan Provorov,D,61,7,21,28,7,18,23:28,1,2,74,9.5,1509,0,0,0,0.0,0,0,0.0
Vince Dunn,D,42,11,17,28,-6,23,22:11,2,6,97,11.3,956,3,0,0,0.0,0,0,0.0
Eeli Tolvanen,RW,62,18,10,28,2,14,13:47,1,3,104,17.3,1069,3,4,4,50.0,0,0,0.0
Pius Suter,C,59,16,12,28,1,10,16:33,2,2,90,17.8,1351,3,229,301,43.2,0,0,0.0
Jake Evans,C,61,12,16,28,1,10,15:34,0,0,59,20.3,1184,5,433,387,52.8,0,0,0.0
Noah Cates,LW,58,14,14,28,7,10,15:18,1,1,84,16.7,1278,2,363,417,46.5,0,0,0.0
Mason Lohrei,D,58,4,24,28,-19,16,19:08,1,12,67,6.0,1361,0,0,0,0.0,0,0,0.0
Luke Hughes,D,54,5,23,28,-2,16,20:33,0,8,85,5.9,1294,1,0,1,0.0,1,0,0.0
Cutter Gauthier,LW,60,12,16,28,1,14,14:12,2,4,128,9.4,1067,2,11,25,30.6,1,0,0.0
Jesperi Kotkaniemi,C,62,11,16,27,7,42,13:56,0,1,93,11.8,1096,1,281,273,50.7,0,0,0.0
Bobby McMann,C,53,17,10,27,5,18,14:39,3,3,122,13.9,970,4,4,17,19.0,0,0,0.0
Leo Carlsson,C,54,14,13,27,3,8,15:58,3,2,70,20.0,1029,5,179,260,40.8,2,1,50.0
Mattias Ekholm,D,60,8,19,27,10,28,22:36,3,3,134,6.0,1533,1,0,0,0.0,0,0,0.0
Scott Laughton,C,59,11,16,27,-16,21,15:05,0,0,102,10.8,1214,1,182,185,49.6,0,0,0.0
Seth Jones,D,43,7,20,27,-18,18,24:28,5,10,84,8.3,1121,2,0,0,0.0,0,0,0.0
Travis Sanheim,D,62,6,21,27,-7,28,24:27,0,2,108,5.6,1916,0,0,0,0.0,0,0,0.0
Evan Rodrigues,C,62,14,13,27,0,30,15:15,3,2,129,10.9,1252,1,82,95,46.3,1,1,100.0
Nick Foligno,LW,58,12,14,26,-13,44,16:14,2,2,78,15.4,1196,1,251,256,49.5,1,0,0.0
Alex Pietrangelo,D,57,3,23,26,7,12,22:37,0,1,104,2.9,1466,1,0,0,0.0,0,0,0.0
Taylor Hall,LW,58,10,16,26,-12,22,14:54,1,2,105,9.5,1032,1,38,45,45.8,0,0,0.0
Adam Lowry,C,54,11,15,26,17,26,15:21,0,0,75,14.7,1184,4,459,423,52.0,0,0,0.0
Trevor Moore,LW,50,11,15,26,4,8,17:04,1,1,103,10.7,1082,1,0,5,0.0,1,1,100.0
Darren Raddysh,D,53,3,23,26,8,12,18:08,1,5,85,3.5,1128,0,0,0,0.0,0,0,0.0
Filip Chytil,C,50,13,13,26,-1,18,15:00,1,4,116,11.2,927,1,244,277,46.8,0,0,0.0
Dawson Mercer,C,63,13,13,26,9,12,17:47,2,1,105,12.4,1406,2,50,65,43.5,0,0,0.0
Maxim Tsyplakov,RW,56,7,19,26,7,33,15:40,0,2,77,9.1,1087,1,9,9,50.0,1,0,0.0
Eric Robinson,LW,62,12,13,25,11,10,12:00,0,0,82,14.6,966,1,7,23,23.3,0,0,0.0
Noah Dobson,D,50,6,19,25,-5,16,23:46,0,7,150,4.0,1465,0,0,0,0.0,1,1,100.0
Shane Pinto,C,48,14,11,25,8,16,17:38,1,1,95,14.7,1253,5,340,334,50.4,0,0,0.0
Brandt Clarke,D,55,4,21,25,7,36,16:17,2,5,98,4.1,1095,0,0,0,0.0,0,0,0.0
Alex Killorn,LW,60,12,13,25,7,26,17:19,0,3,93,12.9,1305,4,7,10,41.2,0,0,0.0
Oliver Ekman-Larsson,D,60,4,21,25,15,40,21:00,2,2,95,4.2,1729,1,0,0,0.0,0,0,0.0
Brendan Gallagher,RW,61,15,10,25,-11,25,13:43,5,1,114,13.2,1079,1,0,5,0.0,0,0,0.0
Jonathan Drouin,LW,29,7,18,25,3,4,19:02,1,3,39,17.9,604,2,5,11,31.3,1,0,0.0
J.T. Compher,LW,55,7,18,25,0,10,16:49,4,4,72,9.7,1188,2,334,392,46.0,0,0,0.0
Miro Heiskanen,D,50,5,20,25,7,10,25:09,0,7,108,4.6,1275,0,0,0,0.0,0,0,0.0
Kris Letang,D,57,8,16,24,-16,38,23:30,4,5,132,6.1,1541,0,0,0,0.0,2,0,0.0
Dmitry Orlov,D,62,4,20,24,15,18,19:42,0,1,93,4.3,1476,1,0,0,0.0,0,0,0.0
Vladimir Tarasenko,RW,59,8,16,24,-11,6,14:55,1,6,105,7.6,1182,0,0,2,0.0,0,0,0.0
Joel Armia,RW,61,10,14,24,-1,16,14:41,0,3,91,11.0,1091,1,3,11,21.4,0,0,0.0
Max Domi,C,53,4,20,24,4,44,14:29,0,6,74,5.4,1009,1,208,210,49.8,0,0,0.0
Joel Eriksson Ek,C,42,9,15,24,5,20,19:37,3,5,123,7.3,861,1,361,409,46.9,1,0,0.0
Keegan Kolesar,RW,60,12,12,24,6,39,13:24,0,0,63,19.0,1055,3,5,8,38.5,0,0,0.0
Patrik Laine,LW,33,14,10,24,-10,10,14:33,11,4,75,18.7,526,4,9,10,47.4,2,1,50.0
Taylor Raddysh,RW,61,5,19,24,0,14,12:25,0,1,63,7.9,1004,1,7,16,30.4,0,0,0.0
Jack Quinn,RW,53,10,14,24,-17,14,15:20,2,8,95,10.5,1052,2,1,4,20.0,1,0,0.0
Connor Zary,C,46,12,12,24,-7,10,16:07,1,8,94,12.8,884,2,83,144,36.6,1,0,0.0
Simon Edvinsson,D,57,7,17,24,9,36,20:54,0,0,58,12.1,1409,3,0,0,0.0,0,0,0.0
Michael Kesselring,D,61,6,17,23,6,65,18:27,1,2,112,5.4,1573,1,0,0,0.0,0,0,0.0
Kiefer Sherwood,LW,56,13,10,23,-2,24,14:35,0,1,101,12.9,1141,3,18,24,42.9,0,0,0.0
Ilya Mikheyev,RW,59,12,11,23,4,14,15:09,0,0,97,12.4,1126,2,1,8,11.1,1,0,0.0
Alex Vlasic,D,61,2,21,23,-10,10,23:41,1,10,82,2.4,1625,0,0,0,0.0,0,0,0.0
Yegor Sharangovich,C,53,12,11,23,-7,6,17:09,5,2,99,12.1,1116,1,125,127,49.6,3,0,0.0
Brock Faber,D,58,6,17,23,4,21,25:06,1,8,76,7.9,1537,1,0,0,0.0,0,0,0.0
Marco Kasper,C,56,10,13,23,-9,20,14:54,2,2,95,10.5,1093,1,171,194,46.8,0,0,0.0
Jared Spurgeon,D,47,7,16,23,9,12,20:19,1,4,78,9.0,1131,3,0,0,0.0,0,0,0.0
Ondrej Palat,LW,61,13,10,23,-1,12,13:54,2,1,80,16.3,1198,3,4,16,20.0,0,0,0.0
