Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Matej Blumel,RW,7,1,0,1,-1,0,8:26,0,0,10,10.0,82,0,0,0,0.0,0,0,0.0
Matt Savoie,C,4,0,1,1,-4,0,12:31,0,0,6,0.0,63,0,4,2,66.7,0,0,0.0
Brad Lambert,C,5,0,1,1,0,2,11:36,0,0,1,0.0,75,0,5,10,33.3,0,0,0.0
Owen Beck,C,10,0,1,1,-1,0,9:57,0,0,10,0.0,131,0,19,14,57.6,0,0,0.0
Arshdeep Bains,LW,13,1,0,1,-5,0,10:30,0,0,8,12.5,206,1,3,1,75.0,0,0,0.0
Georgii Merkulov,C,6,0,1,1,-1,2,13:44,0,0,7,0.0,108,0,0,1,0.0,0,0,0.0
Declan Carlile,D,3,1,0,1,2,0,13:00,0,0,3,33.3,57,0,0,0,0.0,0,0,0.0
Ethan Cardwell,RW,6,1,0,1,-2,2,11:31,0,0,5,20.0,91,0,1,1,50.0,0,0,0.0
Calum Ritchie,C,7,1,0,1,-7,0,12:46,0,0,11,9.1,115,0,3,4,42.9,0,0,0.0
Parker Ford,C,3,1,0,1,1,2,7:50,0,0,2,50.0,36,0,0,0,0.0,0,0,0.0
Dylan Duke,LW,2,1,0,1,0,0,7:51,0,0,1,100.0,26,0,0,0,0.0,0,0,0.0
Arttu Hyry,RW,5,0,1,1,0,0,9:05,0,0,5,0.0,57,0,11,5,68.8,0,0,0.0
Justin Hryckowian,C,5,0,1,1,1,0,7:52,0,0,3,0.0,59,0,3,2,60.0,0,0,0.0
Elias N. Pettersson,D,10,0,1,1,-1,2,12:22,0,0,8,0.0,178,0,0,0,0.0,0,0,0.0
Matt Martin,LW,24,0,1,1,-2,10,7:47,0,0,12,0.0,273,0,4,4,50.0,0,0,0.0
Nicolas Deslauriers,LW,12,0,1,1,0,15,6:10,0,0,6,0.0,115,0,1,0,100.0,0,0,0.0
T.J. Tynan,C,8,0,1,1,-1,4,7:56,0,0,4,0.0,100,0,7,11,38.9,0,0,0.0
Joseph LaBate,C,5,0,1,1,1,5,9:40,0,0,2,0.0,68,0,0,2,0.0,0,0,0.0
Chris Wagner,RW,24,1,0,1,-7,9,6:54,0,0,25,4.0,279,0,43,50,46.2,0,0,0.0
Chad Ruhwedel,D,5,0,1,1,2,0,14:06,0,0,1,0.0,101,0,0,0,0.0,0,0,0.0
Drake Caggiula,LW,7,0,1,1,0,5,7:18,0,0,6,0.0,76,0,1,0,100.0,0,0,0.0
Kevin Gravel,D,6,0,1,1,3,0,17:50,0,0,6,0.0,142,0,0,0,0.0,0,0,0.0
Ryan Graves,D,44,0,1,1,-14,25,15:13,0,0,29,0.0,879,0,0,0,0.0,0,0,0.0
Hudson Fasching,RW,23,0,1,1,-4,2,9:11,0,0,15,0.0,301,0,0,3,0.0,0,0,0.0
Joshua Brown,D,8,0,1,1,-1,9,11:28,0,0,5,0.0,131,0,0,0,0.0,0,0,0.0
Andreas Athanasiou,C,7,1,0,1,-1,0,10:27,0,0,8,12.5,98,0,25,26,49.0,0,0,0.0
Andreas Englund,D,18,1,0,1,-6,31,12:16,0,0,9,11.1,297,0,0,0,0.0,0,0,0.0
Clark Bishop,C,6,1,0,1,-2,0,7:15,0,0,4,25.0,68,0,7,11,38.9,0,0,0.0
Jeremy Lauzon,D,28,0,1,1,-4,37,17:58,0,0,25,0.0,711,0,0,0,0.0,0,0,0.0
Andrew Poturalski,C,3,0,1,1,-1,2,14:27,0,0,5,0.0,50,0,21,22,48.8,0,0,0.0
Callahan Burke,C,7,1,0,1,2,2,10:50,0,0,12,8.3,97,0,1,0,100.0,0,0,0.0
Joey Anderson,RW,18,0,1,1,-2,0,12:23,0,0,17,0.0,298,0,3,2,60.0,0,0,0.0
Nick Leddy,D,12,0,0,0,2,0,19:10,0,0,12,0.0,275,0,0,0,0.0,0,0,0.0
Erik Gudbranson,D,3,0,0,0,0,2,15:46,0,0,1,0.0,58,0,0,0,0.0,0,0,0.0
Alexander Petrovic,D,3,0,0,0,-3,2,11:44,0,0,1,0.0,48,0,0,0,0.0,0,0,0.0
Austin Watson,LW,2,0,0,0,-2,2,7:00,0,0,1,0.0,22,0,0,0,0.0,0,0,0.0
Calle Jarnkrok,C,1,0,0,0,-1,0,8:23,0,0,0,0.0,17,0,0,0,0.0,0,0,0.0
Patrick Brown,C,2,0,0,0,-1,2,11:02,0,0,3,0.0,33,0,2,3,40.0,0,0,0.0
Mike Reilly,D,11,0,0,0,1,2,15:45,0,0,15,0.0,250,0,0,0,0.0,0,0,0.0
Jani Hakanpaa,D,2,0,0,0,-1,0,14:05,0,0,2,0.0,41,0,0,0,0.0,0,0,0.0
Brendan Gaunce,C,7,0,0,0,-4,4,10:00,0,0,5,0.0,86,0,17,21,44.7,0,0,0.0
Kurtis MacDermid,LW,21,0,0,0,-3,23,5:45,0,0,6,0.0,207,0,0,0,0.0,0,0,0.0
Travis Boyd,C,3,0,0,0,0,0,7:48,0,0,0,0.0,32,0,0,0,0.0,0,0,0.0
Robert Hagg,D,2,0,0,0,0,0,11:08,0,0,0,0.0,32,0,0,0,0.0,0,0,0.0
Steven Santini,D,1,0,0,0,0,0,11:37,0,0,1,0.0,18,0,0,0,0.0,0,0,0.0
Scott Sabourin,RW,1,0,0,0,-2,0,10:27,0,0,0,0.0,14,0,0,0,0.0,0,0,0.0
Dakota Mermis,D,1,0,0,0,-2,2,10:47,0,0,2,0.0,18,0,0,0,0.0,0,0,0.0
Matt Benning,D,7,0,0,0,-5,4,13:02,0,0,7,0.0,136,0,0,0,0.0,0,0,0.0
Sonny Milano,LW,3,0,0,0,-3,0,7:12,0,0,4,0.0,34,0,0,0,0.0,0,0,0.0
Conor Sheary,LW,5,0,0,0,-2,4,11:20,0,0,3,0.0,86,0,0,1,0.0,0,0,0.0
William Lagesson,D,2,0,0,0,-2,2,15:57,0,0,2,0.0,46,0,0,0,0.0,0,0,0.0
Mark Friedman,D,5,0,0,0,-4,10,14:03,0,0,4,0.0,119,0,0,0,0.0,0,0,0.0
Ben Hutton,D,5,0,0,0,0,0,11:10,0,0,6,0.0,65,0,0,0,0.0,0,0,0.0
Colin White,C,3,0,0,0,-1,0,7:18,0,0,1,0.0,32,0,3,10,23.1,0,0,0.0
