Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Niclas Wallin,SJS,D,92,4,8,12,2,56,959.0,0,0,0,0,1,110,0.03636,4,12,nan,2010-2011
Nigel Dawes,"ATL,MTL",L,13,0,1,1,-6,0,589.0,0,0,0,0,0,12,0.0,0,1,nan,2010-2011
Nik Antropov,ATL,C,76,16,25,41,-17,42,939.0131,5,11,0,0,2,105,0.15238,11,25,0.48689,2010-2011
Nikita Filatov,CBJ,L,23,0,7,7,3,8,739.0434,0,3,0,0,0,31,0.0,0,4,nan,2010-2011
Nikita Nikitin,STL,D,41,1,8,9,1,10,983.5365,0,4,0,0,0,46,0.02173,1,5,nan,2010-2011
Niklas Hagman,CGY,L,71,11,16,27,-2,24,818.3661,4,3,0,0,0,140,0.07857,7,20,0.12,2010-2011
Niklas Hjalmarsson,CHI,D,87,3,9,12,17,41,1110.7701,0,0,0,0,0,69,0.04347,3,12,nan,2010-2011
Niklas Kronwall,DET,D,88,13,30,43,10,40,1373.6136,6,8,0,2,3,146,0.08904,7,29,nan,2010-2011
Nikolay Kulemin,TOR,L,82,30,27,57,7,26,1039.4512,5,8,1,0,5,173,0.17341,24,43,0.54054,2010-2011
Nikolay Zherdev,PHI,R,64,17,8,25,4,24,764.5312,1,2,0,0,2,156,0.10897,16,22,0.25,2010-2011
Nino Niederreiter,NYI,R,9,1,1,2,-1,8,815.5555,0,0,0,0,0,12,0.08333,1,2,nan,2010-2011
Noah Welch,ATL,D,2,0,0,0,-1,0,1053.0,0,0,0,0,0,1,0.0,0,0,nan,2010-2011
Nolan Yonkman,PHX,D,16,0,1,1,5,39,727.5625,0,0,0,0,0,8,0.0,0,1,nan,2010-2011
Oliver Ekman-Larsson,PHX,D,48,1,10,11,3,24,902.125,0,2,0,0,0,50,0.02,1,9,nan,2010-2011
Olivier Magnan,NJD,D,18,0,0,0,-4,4,942.7222,0,0,0,0,0,8,0.0,0,0,0.0,2010-2011
Olli Jokinen,CGY,C,79,17,37,54,-17,44,1066.6202,5,14,0,0,1,208,0.08173,12,35,0.47381,2010-2011
Oscar Moller,LAK,R,14,1,3,4,0,2,858.5714,0,0,0,0,0,27,0.03703,1,4,0.5,2010-2011
Oskars Bartulis,PHI,D,13,0,0,0,-4,4,781.4615,0,0,0,0,0,7,0.0,0,0,nan,2010-2011
P.K. Subban,MTL,D,84,16,26,42,-10,126,1367.5714,11,10,0,2,3,213,0.07511,5,21,nan,2010-2011
PA Parenteau,NYI,R,81,20,33,53,-8,46,1093.3333,9,11,0,1,2,161,0.12422,11,33,0.36666,2010-2011
Pascal Dupuis,PIT,R,88,18,20,38,14,61,1010.3863,0,0,4,0,3,187,0.09625,14,33,0.2647,2010-2011
Patric Hornqvist,NSH,R,91,23,28,51,9,53,939.901,7,8,0,0,5,308,0.07467,16,36,0.46808,2010-2011
Patrice Bergeron,BOS,C,103,28,49,77,35,54,1084.2427,3,9,4,0,5,278,0.10071,21,60,0.57541,2010-2011
Patrice Cormier,ATL,C,21,1,1,2,-5,4,578.6666,0,0,0,0,0,27,0.03703,1,2,0.58208,2010-2011
Patrick Dwyer,CAR,R,80,8,10,18,-6,12,754.675,0,1,1,0,2,104,0.07692,7,16,0.33613,2010-2011
Patrick Eaves,DET,R,74,16,8,24,-1,20,750.3783,2,0,1,0,1,125,0.128,13,21,0.31818,2010-2011
Patrick Kaleta,BUF,R,57,5,7,12,-5,84,616.1929,0,0,1,0,1,73,0.06849,4,11,0.42857,2010-2011
Patrick Kane,CHI,R,80,28,51,79,6,30,1170.5,6,21,0,0,2,238,0.11764,22,52,0.14285,2010-2011
Patrick Marleau,SJS,C,100,44,42,86,-4,25,1264.27,14,17,2,3,10,338,0.13017,28,52,0.51724,2010-2011
Patrick O'Sullivan,"CAR,MIN",C,31,2,6,8,-2,4,731.2258,0,3,0,0,0,50,0.04,2,5,0.39215,2010-2011
Patrick Rissmiller,"ATL,FLA",L,10,0,1,1,-1,0,621.9,0,0,0,0,0,14,0.0,0,1,0.5,2010-2011
Patrick Sharp,CHI,L,81,37,39,76,0,40,1162.1975,15,14,2,1,6,299,0.12374,20,44,0.4929,2010-2011
Patrick Wiercioch,OTT,D,8,0,2,2,0,4,834.125,0,1,0,0,0,3,0.0,0,1,nan,2010-2011
Patrik Berglund,STL,C,81,22,30,52,-3,26,1031.432,8,9,0,0,1,175,0.12571,14,34,0.46201,2010-2011
Patrik Elias,NJD,C,81,21,41,62,-4,16,1118.3086,7,13,1,0,5,204,0.10294,13,41,0.44979,2010-2011
Paul Bissonnette,PHX,L,49,1,0,1,6,71,313.8571,0,0,0,0,0,19,0.05263,1,1,0.5,2010-2011
Paul Byron,BUF,L,8,1,1,2,0,2,657.25,0,0,0,0,0,5,0.2,1,2,0.40845,2010-2011
Paul Gaustad,BUF,C,88,12,21,33,1,114,928.0454,1,1,0,0,3,131,0.0916,11,30,0.59256,2010-2011
Paul Mara,MTL,D,1,0,0,0,0,0,791.0,0,0,0,0,0,0,nan,0,0,nan,2010-2011
Paul Mara,"ANA,MTL",D,53,1,5,6,1,88,1096.7924,0,0,0,0,1,50,0.02,1,6,nan,2010-2011
Paul Martin,PIT,D,84,3,23,26,10,18,1408.6666,2,8,0,0,1,114,0.02631,1,15,nan,2010-2011
Paul Postma,ATL,D,1,0,0,0,0,0,595.0,0,0,0,0,0,1,0.0,0,0,nan,2010-2011
Paul Stastny,COL,C,74,22,35,57,-7,56,1184.1756,4,15,1,1,3,181,0.12154,17,37,0.53149,2010-2011
Pavel Datsyuk,DET,C,67,27,47,74,21,23,1177.388,8,15,1,1,5,175,0.15428,18,50,0.54741,2010-2011
Pavel Kubina,TBL,D,87,6,20,26,4,72,1131.839,3,4,0,0,2,85,0.07058,3,19,nan,2010-2011
Peter Forsberg,COL,C,2,0,0,0,-4,4,1055.0,0,0,0,0,0,3,0.0,0,0,nan,2010-2011
Peter Harrold,LAK,D,19,1,3,4,3,4,735.421,0,0,0,0,0,12,0.08333,1,4,nan,2010-2011
Peter Regin,OTT,C,55,3,14,17,-4,12,803.0909,0,2,0,0,1,87,0.03448,3,15,0.41772,2010-2011
Peter Schaefer,VAN,L,16,1,1,2,-3,2,580.5625,0,0,0,0,0,10,0.1,1,2,0.39393,2010-2011
Petr Prucha,PHX,R,11,0,1,1,0,4,687.5454,0,0,0,0,0,10,0.0,0,1,0.6,2010-2011
Phil Kessel,TOR,R,82,32,32,64,-20,24,1178.7804,12,11,1,1,6,325,0.09846,19,40,0.40677,2010-2011
Philip Larsen,DAL,D,6,0,2,2,1,0,806.0,0,0,0,0,0,11,0.0,0,2,nan,2010-2011
Philip McRae,STL,C,15,1,2,3,-10,2,542.2,0,0,0,0,0,13,0.07692,1,3,0.53125,2010-2011
Philippe Dupuis,COL,C,74,6,11,17,-4,40,546.7837,0,0,1,0,0,101,0.0594,5,15,0.46223,2010-2011
Pierre-Luc Letourneau-Leblond,NJD,R,2,0,0,0,-2,21,207.5,0,0,0,0,0,0,nan,0,0,nan,2010-2011
Pierre-Marc Bouchard,MIN,C,59,12,26,38,-3,14,942.8135,0,10,0,1,2,98,0.12244,12,28,0.39534,2010-2011
R.J. Umberger,CBJ,C,82,25,32,57,3,38,1152.8048,8,5,3,1,3,220,0.11363,14,41,0.50454,2010-2011
Radek Dvorak,"FLA,ATL",R,66,7,15,22,2,24,964.6212,0,0,1,0,3,109,0.06422,6,21,0.36842,2010-2011
Radek Martinek,NYI,D,64,3,13,16,-5,35,1250.7343,1,0,0,0,0,97,0.03092,2,15,nan,2010-2011
Radim Vrbata,PHX,R,83,21,32,53,0,20,992.3253,11,10,0,1,2,253,0.083,10,32,0.25,2010-2011
Raffi Torres,VAN,L,103,17,19,36,6,106,740.7669,3,1,0,0,5,135,0.12592,14,32,0.34782,2010-2011
Raitis Ivanans,CGY,L,1,0,0,0,-1,5,500.0,0,0,0,0,0,0,nan,0,0,nan,2010-2011
Randy Jones,TBL,D,66,1,13,14,-3,17,977.6363,0,0,0,0,0,53,0.01886,1,14,nan,2010-2011
Ray Macias,COL,D,2,0,0,0,-1,2,906.0,0,0,0,0,0,0,nan,0,0,nan,2010-2011
Ray Whitney,PHX,L,79,18,42,60,0,26,1024.7468,4,24,0,0,1,167,0.10778,14,32,0.46078,2010-2011
Raymond Sawada,DAL,R,1,0,0,0,-1,0,350.0,0,0,0,0,0,1,0.0,0,0,nan,2010-2011
Rene Bourque,CGY,R,80,27,23,50,-17,42,1065.2125,6,9,1,1,6,218,0.12385,20,32,0.29166,2010-2011
Rhett Rakhshani,NYI,R,2,0,0,0,-1,0,702.5,0,0,0,0,0,2,0.0,0,0,nan,2010-2011
Rich Peverley,BOS,C,25,4,8,12,6,17,971.0,0,0,0,0,2,42,0.09523,4,12,0.53529,2010-2011
Rich Peverley,"ATL,BOS",C,82,18,23,41,-17,37,1095.3292,6,6,2,0,3,201,0.08955,10,26,0.55867,2010-2011
Richard Petiot,EDM,D,2,0,0,0,1,2,785.0,0,0,0,0,0,1,0.0,0,0,nan,2010-2011
Rick Nash,CBJ,L,75,32,34,66,2,34,1135.6,6,8,0,0,7,305,0.10491,26,52,0.29166,2010-2011
Rick Rypien,VAN,C,9,0,1,1,-5,31,307.2222,0,0,0,0,0,6,0.0,0,1,0.64285,2010-2011
Rob Klinkhammer,CHI,L,1,0,0,0,1,0,696.0,0,0,0,0,0,1,0.0,0,0,nan,2010-2011
Rob Niedermayer,BUF,C,78,6,17,23,-7,24,772.782,0,0,0,0,1,88,0.06818,6,23,0.47164,2010-2011
Rob Schremp,"NYI,ATL",C,63,13,13,26,-20,16,842.4603,4,3,0,0,3,83,0.15662,9,19,0.4609,2010-2011
Rob Scuderi,LAK,D,88,2,15,17,0,16,1219.5568,0,0,0,0,1,49,0.04081,2,17,nan,2010-2011
Robbie Earl,MIN,L,6,0,0,0,-3,0,525.8333,0,0,0,0,0,6,0.0,0,0,0.0,2010-2011
Robyn Regehr,CGY,D,79,2,15,17,2,58,1289.0506,1,1,0,0,0,72,0.02777,1,14,nan,2010-2011
Rod Pelley,NJD,C,74,3,7,10,-9,27,708.4864,1,0,0,0,0,88,0.03409,2,9,0.52812,2010-2011
Roman Hamrlik,MTL,D,86,5,32,37,5,87,1341.9186,2,14,0,0,0,133,0.03759,3,21,nan,2010-2011
Roman Polak,STL,D,55,3,9,12,-4,33,1197.4,0,0,0,0,1,54,0.05555,3,12,0.0,2010-2011
Roman Wick,OTT,R,7,0,0,0,-4,0,517.5714,0,0,0,0,0,4,0.0,0,0,0.33333,2010-2011
Ron Hainsey,ATL,D,82,3,16,19,3,24,1085.0975,0,1,0,2,2,83,0.03614,3,17,nan,2010-2011
