Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Andrew Biers,San Jose Stealth,,16,5,15,20,6,0,0,0,46,0,0,0,0,10/27,37%
Brandon Miller,San Jose Stealth,G,14,1,1,2,0,0,0,0,30,0,0,0,0,0/0,-
Brennan Day,San Jose Stealth,,11,3,6,9,39,0,0,0,29,0,0,0,0,0/0,-
Brian Beisel,San Jose Stealth,,14,5,11,16,6,0,0,0,41,0,0,0,0,0/0,-
Cam Woods,San Jose Stealth,,16,6,13,19,48,0,0,0,111,0,0,0,0,0/0,-
Chris Cercy,San Jose Stealth,,15,1,3,4,0,0,0,0,12,0,0,0,0,193/390,49%
Chris White,San Jose Stealth,,16,3,3,6,43,0,0,0,47,0,0,0,0,0/0,-
Dan Teat,San Jose Stealth,,16,34,18,52,7,0,0,0,39,0,0,0,0,0/0,-
Darren Reisig,San Jose Stealth,,13,4,5,9,16,0,0,0,52,0,0,0,0,12/36,33%
Derek Lowe,San Jose Stealth,,2,0,1,1,0,0,0,0,0,0,0,0,0,0/0,-
Gary Rosyski,San Jose Stealth,,16,35,33,68,26,0,0,0,71,0,0,0,0,0/0,-
Jim Moss,San Jose Stealth,,16,11,5,16,44,0,0,0,82,0,0,0,0,21/32,66%
Josh Sanderson,San Jose Stealth,,16,28,61,89,10,0,0,0,60,0,0,0,0,0/0,-
Kelly Hall,San Jose Stealth,,6,1,9,10,11,0,0,0,8,0,0,0,0,0/0,-
Kitan Gbadebo,San Jose Stealth,,1,0,0,0,0,0,0,0,0,0,0,0,0,0/0,-
Matt Bontaites,San Jose Stealth,,3,0,0,0,19,0,0,0,10,0,0,0,0,1/1,100%
Matt Ogelsby,San Jose Stealth,,15,10,15,25,12,0,0,0,120,0,0,0,0,0/0,-
Mike Regan,San Jose Stealth,,16,44,29,73,10,0,0,0,64,0,0,0,0,0/0,-
Phil Sanderson,San Jose Stealth,,15,1,4,5,14,0,0,0,66,0,0,0,0,1/3,33%
Rob Blasdell,San Jose Stealth,G,16,0,5,5,2,0,0,0,40,0,0,0,0,0/0,-
Ross Johnson,San Jose Stealth,,6,2,0,2,6,0,0,0,10,0,0,0,0,0/0,-
Rusty Kruger,San Jose Stealth,,15,10,10,20,34,0,0,0,51,0,0,0,0,0/0,-
Scott Ranger,San Jose Stealth,,4,1,2,3,0,0,0,0,5,0,0,0,0,0/0,-
Shaydon Santos,San Jose Stealth,,14,2,6,8,28,0,0,0,39,0,0,0,0,2/5,40%
Tim Fry,San Jose Stealth,,5,0,0,0,7,0,0,0,9,0,0,0,0,1/3,33%
