Rk,Team,Season Leaders_Regular Season,Season Leaders_Playoffs,Unnamed: 4_level_0_ATT.,Age_AA,Age_WAA,Player Stats_GP,Player Stats_G,Player Stats_A,Player Stats_P,Player Stats_PIM,per Game_G/GP,per Game_A/GP,per Game_A/G,per Game_P/GP,per Game_PIM/GP,Shots_SOG,Shots_S/GP,Shots_SH%,Saves_SV,Saves_SV/GP,Saves_SV%,Power-Play_PPO,Power-Play_PPG,Power-Play_PP%,Penalty-Kill_PKO,Penalty-Kill_PPG-A,Penalty-Kill_PK%
19,Albany River Rats,Regular Season,Playoffs,3940,24.183,24.335,80,208,365,573,1413,2.6,4.563,1.755,7.163,17:40,2349,29.363,8.9%,2277,28.463,0.925,425,62,14.6%,350,62,82.3%
18,Binghamton Senators,Regular Season,,4069,24.096,24.76,80,218,357,575,1612,2.725,4.463,1.638,7.188,20:09,2423,30.288,9.0%,2457,30.713,0.914,354,63,17.8%,442,78,82.4%
17,Bridgeport Sound Tigers,Regular Season,,4196,24.84,24.614,80,218,363,581,1666,2.725,4.538,1.665,7.263,20:50,2353,29.413,9.3%,2298,28.725,0.91,411,69,16.8%,397,66,83.4%
1,Chicago Wolves,Regular Season,Playoffs,7473,25.026,25.971,80,298,515,813,1799,3.725,6.438,1.728,10.163,22:29,2343,29.288,12.7%,2260,28.25,0.913,514,107,20.8%,507,79,84.4%
25,Grand Rapids Griffins,Regular Season,,6897,25.021,24.794,80,206,335,541,1297,2.575,4.188,1.626,6.763,16:13,2602,32.525,7.9%,2093,26.163,0.9,427,70,16.4%,424,74,82.5%
23,Hamilton Bulldogs,Regular Season,,4574,24.144,24.57,80,205,352,557,1204,2.563,4.4,1.717,6.963,15:03,2301,28.763,8.9%,2200,27.5,0.907,394,57,14.5%,391,65,83.4%
2,Hartford Wolf Pack,Regular Season,Playoffs,4405,24.092,23.33,80,263,459,722,1544,3.288,5.738,1.745,9.025,19:18,2558,31.975,10.3%,2012,25.15,0.915,376,79,21.0%,374,61,83.7%
4,Hershey Bears,Regular Season,Playoffs,8770,25.091,25.522,80,252,436,688,1712,3.15,5.45,1.73,8.6,21:24,2437,30.463,10.3%,2286,28.575,0.907,397,79,19.9%,453,88,80.6%
26,Houston Aeros,Regular Season,Playoffs,6279,24.276,24.294,80,198,332,530,1422,2.475,4.15,1.677,6.625,17:46,2098,26.225,9.4%,2008,25.1,0.92,449,61,13.6%,407,53,87.0%
20,Iowa Stars,Regular Season,,3789,24.318,24.449,80,212,357,569,1182,2.65,4.463,1.684,7.113,14:47,2345,29.313,9.0%,2145,26.813,0.898,418,55,13.2%,369,72,80.5%
22,Lake Erie Monsters,Regular Season,,5974,24.52,24.508,80,204,355,559,1511,2.55,4.438,1.74,6.988,18:53,2145,26.813,9.5%,2523,31.538,0.905,421,73,17.3%,394,78,80.2%
29,Lowell Devils,Regular Season,,2102,24.875,25.141,80,180,318,498,1058,2.25,3.975,1.767,6.225,13:14,2204,27.55,8.2%,2271,28.388,0.898,350,64,18.3%,337,73,78.3%
10,Manchester Monarchs,Regular Season,Playoffs,6706,24.286,23.924,80,235,403,638,1398,2.938,5.038,1.715,7.975,17:29,2496,31.2,9.4%,2120,26.5,0.906,366,87,23.8%,401,82,79.6%
14,Manitoba Moose,Regular Season,Playoffs,7807,24.515,24.718,80,233,382,615,1371,2.913,4.775,1.639,7.688,17:08,2200,27.5,10.6%,2090,26.125,0.919,388,69,17.8%,372,61,83.6%
13,Milwaukee Admirals,Regular Season,Playoffs,5517,24.609,24.175,80,226,394,620,1157,2.825,4.925,1.743,7.75,14:28,2185,27.313,10.3%,1991,24.888,0.908,429,74,17.2%,392,61,84.4%
