Rk,Team,Season Leaders_Regular Season,Season Leaders_Playoffs,Unnamed: 4_level_0_ATT.,Age_AA,Age_WAA,Player Stats_GP,Player Stats_G,Player Stats_A,Player Stats_P,Player Stats_PIM,per Game_G/GP,per Game_A/GP,per Game_A/G,per Game_P/GP,per Game_PIM/GP,Shots_SOG,Shots_S/GP,Shots_SH%,Saves_SV,Saves_SV/GP,Saves_SV%,Power-Play_PPO,Power-Play_PPG,Power-Play_PP%,Penalty-Kill_PKO,Penalty-Kill_PPG-A,Penalty-Kill_PK%
27,Albany River Rats,Regular Season,,3726,25.339,25.224,80,197,328,525,1509,2.463,4.1,1.665,6.563,18:52,2176,27.2,9.1%,2175,27.188,0.905,402,70,17.4%,353,67,81.0%
11,Binghamton Senators,Regular Season,Playoffs,4038,24.945,24.844,80,239,394,633,1761,2.988,4.925,1.649,7.913,22:01,2411,30.138,9.9%,2246,28.075,0.918,429,72,16.8%,433,67,84.5%
18,Bridgeport Sound Tigers,Regular Season,Playoffs,4561,24.342,24.705,80,219,358,577,1322,2.738,4.475,1.635,7.213,16:31,2344,29.3,9.3%,2171,27.138,0.918,402,65,16.2%,378,48,87.3%
2,Chicago Wolves,Regular Season,Playoffs,8113,25.372,25.56,80,276,452,728,1849,3.45,5.65,1.638,9.1,23:07,2529,31.613,10.9%,2209,27.613,0.905,498,98,19.7%,502,93,81.5%
24,Cincinnati Mighty Ducks,Regular Season,,5188,24.741,24.603,80,202,333,535,1540,2.525,4.163,1.649,6.688,19:15,2307,28.838,8.8%,2336,29.2,0.907,406,48,11.8%,439,65,85.2%
20,Cleveland Barons,Regular Season,,3561,25.096,24.503,80,203,349,552,1573,2.538,4.363,1.719,6.9,19:40,2166,27.075,9.4%,2427,30.338,0.898,399,74,18.5%,440,92,79.1%
8,Grand Rapids Griffins,Regular Season,Playoffs,7215,25.601,26.29,80,240,405,645,1263,3.0,5.063,1.688,8.063,15:47,2287,28.588,10.5%,2031,25.388,0.921,446,67,15.0%,362,59,83.7%
1,Hamilton Bulldogs,Regular Season,Playoffs,4724,24.487,23.53,80,279,465,744,1295,3.488,5.813,1.667,9.3,16:11,2565,32.063,10.9%,2196,27.45,0.922,456,83,18.2%,414,53,87.2%
6,Hartford Wolf Pack,Regular Season,Playoffs,5845,25.596,25.561,80,255,410,665,2130,3.188,5.125,1.608,8.313,26:38,2486,31.075,10.3%,2178,27.225,0.906,366,62,16.9%,502,76,84.9%
19,Hershey Bears,Regular Season,Playoffs,7822,24.341,24.866,80,217,347,564,1279,2.713,4.338,1.599,7.05,15:59,2669,33.363,8.1%,2152,26.9,0.915,389,60,15.4%,382,49,87.2%
4,Houston Aeros,Regular Season,Playoffs,5124,25.061,24.939,80,266,431,697,1690,3.325,5.388,1.62,8.713,21:08,2752,34.4,9.7%,1930,24.125,0.899,514,87,16.9%,445,75,83.1%
28,Lowell Lock Monsters,Regular Season,,4123,24.416,24.346,80,175,294,469,1340,2.188,3.675,1.68,5.863,16:45,2213,27.663,7.9%,2574,32.175,0.908,398,55,13.8%,405,85,79.0%
5,Manchester Monarchs,Regular Season,Playoffs,8986,25.438,25.256,80,254,440,694,1539,3.175,5.5,1.732,8.675,19:14,2427,30.338,10.5%,2281,28.513,0.919,419,79,18.9%,402,55,86.3%
13,Manitoba Moose,Regular Season,Playoffs,7037,25.192,25.065,80,229,394,623,1383,2.863,4.925,1.721,7.788,17:17,2466,30.825,9.3%,2174,27.175,0.907,447,75,16.8%,388,72,81.4%
9,Milwaukee Admirals,Regular Season,Playoffs,5073,24.685,24.505,80,247,397,644,1717,3.088,4.963,1.607,8.05,21:28,2478,30.975,10.0%,2104,26.3,0.896,413,70,16.9%,458,84,81.7%
23,Norfolk Admirals,Regular Season,Playoffs,4632,25.804,25.177,80,201,338,539,1597,2.513,4.225,1.682,6.738,19:58,2408,30.1,8.4%,1980,24.75,0.915,455,75,16.5%,427,60,85.9%
22,Philadelphia Phantoms,Regular Season,,7488,25.887,26.27,80,198,346,544,1961,2.475,4.325,1.747,6.8,24:31,2376,29.7,8.3%,1949,24.363,0.905,448,66,14.7%,480,77,84.0%
16,Portland Pirates,Regular Season,Playoffs,4423,24.743,25.293,80,221,389,610,1784,2.763,4.863,1.76,7.625,22:18,2463,30.788,9.0%,2482,31.025,0.93,361,62,17.2%,424,57,86.6%
