Rk,Team,Season Leaders_Regular Season,Season Leaders_Playoffs,Unnamed: 4_level_0_ATT.,Age_AA,Age_WAA,Player Stats_GP,Player Stats_G,Player Stats_A,Player Stats_P,Player Stats_PIM,per Game_G/GP,per Game_A/GP,per Game_A/G,per Game_P/GP,per Game_PIM/GP,Shots_SOG,Shots_S/GP,Shots_SH%,Saves_SV,Saves_SV/GP,Saves_SV%,Power-Play_PPO,Power-Play_PPG,Power-Play_PP%,Penalty-Kill_PKO,Penalty-Kill_PPG-A,Penalty-Kill_PK%
24,Albany River Rats,Regular Season,,4025,25.002,24.409,80,204,342,546,1946,2.55,4.275,1.676,6.825,24:20,2511,31.388,8.1%,2507,31.338,0.903,480,71,14.8%,530,106,80.0%
11,Binghamton Senators,Regular Season,,4045,24.232,25.073,80,254,444,698,2178,3.175,5.55,1.748,8.725,27:14,2638,32.975,9.6%,2455,30.688,0.896,497,98,19.7%,589,121,79.5%
12,Bridgeport Sound Tigers,Regular Season,Playoffs,3695,25.294,24.559,80,244,436,680,1291,3.05,5.45,1.787,8.5,16:08,2195,27.438,11.1%,2490,31.125,0.913,527,94,17.8%,467,80,82.9%
5,Chicago Wolves,Regular Season,,7932,26.149,25.827,80,275,456,731,1942,3.438,5.7,1.658,9.138,24:16,2531,31.638,10.9%,1991,24.888,0.883,553,92,16.6%,577,106,81.6%
23,Cleveland Barons,Regular Season,,3547,24.328,23.67,80,208,362,570,1658,2.6,4.525,1.74,7.125,20:44,2290,28.625,9.1%,2157,26.963,0.882,527,80,15.2%,468,100,78.6%
1,Grand Rapids Griffins,Regular Season,Playoffs,6547,25.397,24.905,80,317,550,867,1862,3.963,6.875,1.735,10.838,23:16,2719,33.988,11.7%,2111,26.388,0.901,550,120,21.8%,562,95,83.1%
21,Hamilton Bulldogs,Regular Season,,5119,23.883,23.524,80,220,367,587,2074,2.75,4.588,1.668,7.338,25:56,2402,30.025,9.2%,2214,27.675,0.902,541,87,16.1%,530,102,80.8%
3,Hartford Wolf Pack,Regular Season,Playoffs,5044,23.393,23.274,80,288,490,778,1898,3.6,6.125,1.701,9.725,23:44,2877,35.963,10.0%,2090,26.125,0.901,495,95,19.2%,512,86,83.2%
9,Hershey Bears,Regular Season,Playoffs,7702,25.028,25.016,80,258,446,704,2028,3.225,5.575,1.729,8.8,25:21,2738,34.225,9.4%,2081,26.013,0.903,572,111,19.4%,533,78,85.4%
4,Houston Aeros,Regular Season,Playoffs,5800,24.459,24.718,80,279,482,761,1765,3.488,6.025,1.728,9.513,22:04,2497,31.213,11.2%,2371,29.638,0.909,546,109,20.0%,519,86,83.4%
18,Iowa Stars,Regular Season,Playoffs,5156,24.059,23.86,80,230,390,620,1383,2.875,4.875,1.696,7.75,17:17,2433,30.413,9.5%,2270,28.375,0.915,525,78,14.9%,440,87,80.2%
22,Lowell Lock Monsters,Regular Season,,3634,24.399,24.546,80,218,365,583,1449,2.725,4.563,1.674,7.288,18:07,2519,31.488,8.7%,2393,29.913,0.908,499,84,16.8%,445,67,84.9%
19,Manchester Monarchs,Regular Season,Playoffs,8612,24.4,24.38,80,225,387,612,1242,2.813,4.838,1.72,7.65,15:32,2343,29.288,9.6%,2401,30.013,0.918,449,63,14.0%,470,78,83.4%
