Rk,Team,Season Leaders_Regular Season,Season Leaders_Playoffs,Unnamed: 4_level_0_ATT.,Age_AA,Age_WAA,Player Stats_GP,Player Stats_G,Player Stats_A,Player Stats_P,Player Stats_PIM,per Game_G/GP,per Game_A/GP,per Game_A/G,per Game_P/GP,per Game_PIM/GP,Shots_SOG,Shots_S/GP,Shots_SH%,Saves_SV,Saves_SV/GP,Saves_SV%,Power-Play_PPO,Power-Play_PPG,Power-Play_PP%,Penalty-Kill_PKO,Penalty-Kill_PPG-A,Penalty-Kill_PK%
8,Albany River Rats,Regular Season,Playoffs,3966,24.172,24.194,80,242,416,658,1554,3.025,5.2,1.719,8.225,19:26,2378,29.725,10.2%,2192,27.4,0.898,432,75,17.4%,339,67,80.2%
21,Binghamton Senators,Regular Season,,3887,24.852,25.228,80,221,354,575,1641,2.763,4.425,1.602,7.188,20:31,2576,32.2,8.6%,2506,31.325,0.891,397,64,16.1%,487,117,76.0%
14,Bridgeport Sound Tigers,Regular Season,,4385,24.547,24.587,80,222,390,612,1305,2.775,4.875,1.757,7.65,16:19,2345,29.313,9.5%,2558,31.975,0.909,440,64,14.5%,447,64,85.7%
1,Chicago Wolves,Regular Season,Playoffs,7830,25.383,25.411,80,329,562,891,1654,4.113,7.025,1.708,11.138,20:41,2646,33.075,12.4%,2095,26.188,0.9,548,112,20.4%,481,87,81.9%
20,Grand Rapids Griffins,Regular Season,Playoffs,6866,25.464,25.741,80,218,359,577,1418,2.725,4.488,1.647,7.213,17:44,2398,29.975,9.1%,2167,27.088,0.904,441,55,12.5%,505,85,83.2%
11,Hamilton Bulldogs,Regular Season,Playoffs,4887,23.853,24.001,80,235,402,637,1438,2.938,5.025,1.711,7.963,17:59,2328,29.1,10.1%,2180,27.25,0.917,490,76,15.5%,436,78,82.1%
12,Hartford Wolf Pack,Regular Season,Playoffs,4562,23.965,23.697,80,225,388,613,1874,2.813,4.85,1.724,7.663,23:26,2732,34.15,8.2%,1941,24.263,0.913,453,73,16.1%,447,66,85.2%
2,Hershey Bears,Regular Season,Playoffs,8671,24.757,24.898,80,307,515,822,1914,3.838,6.438,1.678,10.275,23:56,2706,33.825,11.4%,2189,27.363,0.913,476,85,17.9%,487,70,85.6%
26,Houston Aeros,Regular Season,,6421,25.276,24.816,80,198,335,533,1580,2.475,4.188,1.692,6.663,19:45,2326,29.075,8.5%,2432,30.4,0.905,428,59,13.8%,496,86,82.7%
23,Iowa Stars,Regular Season,Playoffs,4818,24.1,23.776,80,217,355,572,1188,2.713,4.438,1.636,7.15,14:51,2347,29.338,9.3%,1932,24.15,0.897,488,71,14.5%,413,65,84.3%
22,Lowell Devils,Regular Season,,2801,25.267,25.343,80,210,364,574,1030,2.625,4.55,1.733,7.175,12:53,2391,29.888,8.8%,2281,28.513,0.916,369,66,17.9%,340,66,80.6%
10,Manchester Monarchs,Regular Season,Playoffs,7593,24.752,24.914,80,239,406,645,1534,2.988,5.075,1.699,8.063,19:11,2290,28.625,10.4%,2431,30.388,0.933,419,85,20.3%,430,67,84.4%
13,Manitoba Moose,Regular Season,Playoffs,7769,25.055,25.598,80,228,385,613,1471,2.85,4.813,1.689,7.663,18:23,2262,28.275,10.1%,2042,25.525,0.916,473,76,16.1%,406,42,89.7%
15,Milwaukee Admirals,Regular Season,Playoffs,5700,24.732,24.782,80,221,382,603,1389,2.763,4.775,1.729,7.538,17:22,2261,28.263,9.8%,2145,26.813,0.909,409,72,17.6%,417,58,86.1%
3,Norfolk Admirals,Regular Season,Playoffs,4684,24.342,23.941,80,297,507,804,1989,3.713,6.338,1.707,10.05,24:52,2606,32.575,11.4%,2287,28.588,0.903,460,97,21.1%,462,86,81.4%
25,Omaha Ak-Sar-Ben Knights,Regular Season,Playoffs,3543,23.692,23.523,80,206,328,534,1548,2.575,4.1,1.592,6.675,19:21,2194,27.425,9.4%,1902,23.775,0.913,446,67,15.0%,437,57,87.0%
16,Peoria Rivermen,Regular Season,,4254,25.028,25.122,80,218,382,600,1557,2.725,4.775,1.752,7.5,19:28,2459,30.738,8.9%,1926,24.075,0.896,435,77,17.7%,446,70,84.3%
18,Philadelphia Phantoms,Regular Season,,6697,24.752,25.243,80,219,378,597,1634,2.738,4.725,1.726,7.463,20:26,2271,28.388,9.6%,2315,28.938,0.9,403,71,17.6%,464,81,82.5%
17,Portland Pirates,Regular Season,,5260,25.045,24.845,80,219,380,599,1612,2.738,4.75,1.735,7.488,20:09,2507,31.338,8.7%,1961,24.513,0.898,398,62,15.6%,429,75,82.5%
6,Providence Bruins,Regular Season,Playoffs,6634,24.527,24.464,80,246,439,685,1441,3.075,5.488,1.785,8.563,18:01,2449,30.613,10.0%,1950,24.375,0.904,398,73,18.3%,382,65,83.0%
