Rk,Team,Season Leaders_Regular Season,Season Leaders_Playoffs,Unnamed: 4_level_0_ATT.,Age_AA,Age_WAA,Player Stats_GP,Player Stats_G,Player Stats_A,Player Stats_P,Player Stats_PIM,per Game_G/GP,per Game_A/GP,per Game_A/G,per Game_P/GP,per Game_PIM/GP,Shots_SOG,Shots_S/GP,Shots_SH%,Saves_SV,Saves_SV/GP,Saves_SV%,Power-Play_PPO,Power-Play_PPG,Power-Play_PP%,Penalty-Kill_PKO,Penalty-Kill_PPG-A,Penalty-Kill_PK%
18,Albany River Rats,Regular Season,Playoffs,4503,23.574,24.029,80,225,358,583,1604,2.813,4.475,1.591,7.288,20:03,2672,33.4,8.4%,2398,29.975,0.909,304,45,14.8%,333,59,82.3%
15,Cincinnati Mighty Ducks,Regular Season,,5386,23.372,23.236,80,227,387,614,1716,2.838,4.838,1.705,7.675,21:27,2621,32.763,8.7%,2366,29.575,0.909,398,64,16.1%,366,62,83.1%
13,Hamilton Bulldogs,Regular Season,Playoffs,4845,23.744,23.556,80,225,398,623,1535,2.813,4.975,1.769,7.788,19:11,2516,31.45,8.9%,2466,30.825,0.907,391,74,18.9%,347,70,79.8%
9,Hartford Wolf Pack,Regular Season,Playoffs,6243,24.455,25.134,80,249,414,663,2045,3.113,5.175,1.663,8.288,25:34,2754,34.425,9.0%,2371,29.638,0.925,382,66,17.3%,397,63,84.1%
1,Hershey Bears,Regular Season,Playoffs,6352,23.964,23.563,80,297,501,798,1764,3.713,6.263,1.687,9.975,22:03,2732,34.15,10.9%,2392,29.9,0.903,449,105,23.4%,393,68,82.7%
7,Kentucky Thoroughblades,Regular Season,Playoffs,5535,24.252,24.276,80,250,436,686,2545,3.125,5.45,1.744,8.575,31:49,2513,31.413,10.0%,2410,30.125,0.922,397,71,17.9%,487,61,87.5%
4,Louisville Panthers,Regular Season,Playoffs,5395,24.717,23.999,80,278,459,737,2198,3.475,5.738,1.651,9.213,27:29,2539,31.738,11.0%,2487,31.088,0.909,404,62,15.3%,399,79,80.2%
17,Lowell Lock Monsters,Regular Season,Playoffs,3533,24.624,24.098,80,228,377,605,1552,2.85,4.713,1.654,7.563,19:24,2456,30.7,9.3%,2367,29.588,0.909,367,66,18.0%,347,68,80.4%
3,Philadelphia Phantoms,Regular Season,Playoffs,10038,24.201,24.696,80,281,473,754,2551,3.513,5.913,1.683,9.425,31:53,2672,33.4,10.5%,2248,28.1,0.908,427,81,19.0%,485,78,83.9%
8,Portland Pirates,Regular Season,Playoffs,4740,24.524,25.145,80,256,408,664,1358,3.2,5.1,1.594,8.3,16:59,2902,36.275,8.8%,2234,27.925,0.92,375,73,19.5%,376,54,85.6%
14,Providence Bruins,Regular Season,Playoffs,7626,25.745,25.345,80,231,384,615,2006,2.888,4.8,1.662,7.688,25:04,2802,35.025,8.2%,2399,29.988,0.903,431,72,16.7%,398,78,80.4%
16,Quebec Citadelles,Regular Season,Playoffs,3918,24.874,24.76,80,227,385,612,1727,2.838,4.813,1.696,7.65,21:35,2286,28.575,9.9%,2239,27.988,0.908,391,61,15.6%,376,65,82.7%
10,Rochester Americans,Regular Season,Playoffs,8429,24.955,24.897,80,247,411,658,1680,3.088,5.138,1.664,8.225,21:00,2426,30.325,10.2%,2077,25.963,0.915,435,80,18.4%,380,60,84.2%
6,Saint John Flames,Regular Season,Playoffs,4116,24.221,23.097,80,267,436,703,2197,3.338,5.45,1.633,8.788,27:28,2757,34.463,9.7%,2349,29.363,0.894,404,86,21.3%,432,97,77.5%
5,Springfield Falcons,Regular Season,Playoffs,5075,24.488,24.684,80,272,459,731,2277,3.4,5.738,1.688,9.138,28:28,2529,31.613,10.8%,2411,30.138,0.908,397,82,20.7%,407,65,84.0%
19,St. John's Maple Leafs,Regular Season,,3169,24.426,24.27,80,202,346,548,2164,2.525,4.325,1.713,6.85,27:03,2523,31.538,8.0%,2611,32.638,0.907,343,46,13.4%,405,83,79.5%
2,Syracuse Crunch,Regular Season,Playoffs,5049,23.62,23.452,80,290,468,758,2026,3.625,5.85,1.614,9.475,25:20,2728,34.1,10.6%,2479,30.988,0.896,378,71,18.8%,401,84,79.1%
12,Wilkes-Barre / Scranton Penguins,Regular Season,,7639,23.827,23.217,80,236,391,627,1670,2.95,4.888,1.657,7.838,20:53,2517,31.463,9.4%,2312,28.9,0.887,388,61,15.7%,343,79,77.0%
11,Worcester IceCats,Regular Season,Playoffs,6182,24.081,23.467,80,249,408,657,1642,3.113,5.1,1.639,8.213,20:31,2716,33.95,9.2%,2325,29.063,0.905,410,68,16.6%,399,61,84.7%
