Rk,Team,Season Leaders_Regular Season,Season Leaders_Playoffs,Unnamed: 4_level_0_ATT.,Age_AA,Age_WAA,Player Stats_GP,Player Stats_G,Player Stats_A,Player Stats_P,Player Stats_PIM,per Game_G/GP,per Game_A/GP,per Game_A/G,per Game_P/GP,per Game_PIM/GP,Shots_SOG,Shots_S/GP,Shots_SH%,Saves_SV,Saves_SV/GP,Saves_SV%,Power-Play_PPO,Power-Play_PPG,Power-Play_PP%,Penalty-Kill_PKO,Penalty-Kill_PPG-A,Penalty-Kill_PK%
10,Abbotsford Canucks,Regular Season,Playoffs,4898,25.023,24.783,72,228,397,625,959,3.167,5.514,1.741,8.681,13:19,2239,31.097,10.2%,1797,24.958,0.906,288,52,18.1%,268,54,79.9%
25,Bakersfield Condors,Regular Season,Playoffs,4606,25.434,25.651,72,212,348,560,975,2.944,4.833,1.642,7.778,13:33,2136,29.667,9.9%,2020,28.056,0.909,260,45,17.3%,294,51,82.7%
9,Belleville Senators,Regular Season,,2491,24.96,24.845,72,229,398,627,1158,3.181,5.528,1.738,8.708,16:05,2115,29.375,10.8%,2060,28.611,0.894,347,72,20.7%,336,76,77.4%
6,Bridgeport Islanders,Regular Season,,3121,25.848,26.648,72,236,403,639,967,3.278,5.597,1.708,8.875,13:26,2161,30.014,10.9%,2111,29.319,0.9,240,55,22.9%,282,55,80.5%
4,Calgary Wranglers,Regular Season,Playoffs,3924,24.672,25.075,72,253,433,686,1051,3.514,6.014,1.711,9.528,14:36,2332,32.389,10.9%,2013,27.958,0.925,328,69,21.0%,296,44,85.1%
14,Charlotte Checkers,Regular Season,Playoffs,6594,25.221,25.874,72,231,376,607,931,3.208,5.222,1.628,8.431,12:56,2272,31.556,10.2%,1792,24.889,0.899,275,58,21.1%,287,51,82.2%
13,Chicago Wolves,Regular Season,,8606,24.913,24.537,72,226,384,610,799,3.139,5.333,1.699,8.472,11:06,2029,28.181,11.1%,1856,25.778,0.891,250,46,18.4%,266,42,84.2%
21,Cleveland Monsters,Regular Season,,9520,24.571,24.566,72,215,371,586,826,2.986,5.153,1.726,8.139,11:28,2128,29.556,10.1%,1945,27.014,0.891,300,62,20.7%,287,63,78.0%
3,Coachella Valley Firebirds,Regular Season,Playoffs,7478,25.959,26.057,72,253,437,690,1086,3.514,6.069,1.727,9.583,15:05,2236,31.056,11.3%,1895,26.319,0.912,286,58,20.3%,311,54,82.6%
24,Colorado Eagles,Regular Season,Playoffs,5089,25.4,25.137,72,208,354,562,970,2.889,4.917,1.702,7.806,13:28,2268,31.5,9.2%,1980,27.5,0.918,277,50,18.1%,289,55,81.0%
30,Grand Rapids Griffins,Regular Season,,7609,25.498,26.023,72,191,333,524,728,2.653,4.625,1.743,7.278,10:07,2056,28.556,9.3%,1987,27.597,0.895,292,52,17.8%,268,64,76.1%
17,Hartford Wolf Pack,Regular Season,Playoffs,4646,25.078,25.488,72,225,373,598,831,3.125,5.181,1.658,8.306,11:33,2183,30.319,10.3%,1843,25.597,0.904,252,41,16.3%,252,49,80.6%
29,Henderson Silver Knights,Regular Season,,4720,24.975,25.05,72,198,336,534,912,2.75,4.667,1.697,7.417,12:40,2140,29.722,9.3%,2025,28.125,0.909,280,52,18.6%,247,49,80.2%
20,Hershey Bears,Regular Season,Playoffs,8860,25.789,26.125,72,213,374,587,753,2.958,5.194,1.756,8.153,10:28,2071,28.764,10.3%,1702,23.639,0.91,254,47,18.5%,249,45,81.9%
28,Iowa Wild,Regular Season,Playoffs,6295,25.189,25.046,72,207,333,540,922,2.875,4.625,1.609,7.5,12:48,2088,29.0,9.9%,1866,25.917,0.904,282,51,18.1%,271,65,76.0%
5,Laval Rocket,Regular Season,Playoffs,7646,24.676,24.956,72,257,425,682,934,3.569,5.903,1.654,9.472,12:58,2466,34.25,10.4%,2037,28.292,0.899,302,68,22.5%,279,68,75.6%
16,Lehigh Valley Phantoms,Regular Season,Playoffs,6739,25.721,25.908,72,217,382,599,941,3.014,5.306,1.76,8.319,13:04,2082,28.917,10.4%,1828,25.389,0.896,233,49,21.0%,266,70,73.7%
18,Manitoba Moose,Regular Season,Playoffs,3847,24.371,24.541,72,225,373,598,917,3.125,5.181,1.658,8.306,12:44,2163,30.042,10.4%,1943,26.986,0.904,233,53,22.7%,275,49,82.2%
8,Milwaukee Admirals,Regular Season,Playoffs,5407,24.962,25.325,72,230,398,628,798,3.194,5.528,1.73,8.722,11:05,2155,29.931,10.7%,2030,28.194,0.91,228,56,24.6%,230,36,84.3%
26,Ontario Reign,Regular Season,Playoffs,7235,24.71,24.748,72,202,356,558,780,2.806,4.944,1.762,7.75,10:50,2122,29.472,9.5%,1939,26.931,0.907,284,63,22.2%,243,38,84.4%
19,Providence Bruins,Regular Season,Playoffs,7697,25.178,25.452,72,216,374,590,978,3.0,5.194,1.731,8.194,13:35,2237,31.069,9.7%,2059,28.597,0.914,292,51,17.5%,269,48,82.2%
7,Rochester Americans,Regular Season,Playoffs,5366,25.876,25.653,72,232,407,639,770,3.222,5.653,1.754,8.875,10:42,2088,29.0,11.1%,1967,27.319,0.903,262,54,20.6%,237,43,81.9%
23,Rockford IceHogs,Regular Season,Playoffs,4033,24.944,24.869,72,208,358,566,923,2.889,4.972,1.721,7.861,12:49,2244,31.167,9.3%,2011,27.931,0.903,301,49,16.3%,272,57,79.0%
32,San Diego Gulls,Regular Season,,6953,25.135,24.819,72,179,297,476,1093,2.486,4.125,1.659,6.611,15:11,1873,26.014,9.6%,2081,28.903,0.886,279,43,15.4%,323,69,78.6%
27,San Jose Barracuda,Regular Season,,2168,24.848,24.819,72,202,343,545,1204,2.806,4.764,1.698,7.569,16:43,2171,30.153,9.3%,1987,27.597,0.898,296,53,17.9%,315,59,81.3%
11,Springfield Thunderbirds,Regular Season,Playoffs,6161,25.225,24.984,72,227,398,625,887,3.153,5.528,1.753,8.681,12:19,2186,30.361,10.4%,2201,30.569,0.919,289,66,22.8%,280,52,81.4%
2,Syracuse Crunch,Regular Season,Playoffs,5365,24.779,24.92,72,248,443,691,1062,3.444,6.153,1.786,9.597,14:45,2318,32.194,10.7%,1909,26.514,0.897,234,44,18.8%,279,56,79.9%
1,Texas Stars,Regular Season,Playoffs,5769,25.139,25.68,72,262,466,728,767,3.639,6.472,1.779,10.111,10:39,2329,32.347,11.3%,1839,25.542,0.903,264,48,18.2%,251,41,83.7%
12,Toronto Marlies,Regular Season,Playoffs,5470,24.872,24.949,72,226,385,611,920,3.139,5.347,1.704,8.486,12:47,2170,30.139,10.4%,1988,27.611,0.904,275,65,23.6%,298,55,81.5%
15,Tucson Roadrunners,Regular Season,Playoffs,3625,25.299,25.651,72,216,386,602,1257,3.0,5.361,1.787,8.361,17:27,2227,30.931,9.7%,1946,27.028,0.894,286,46,16.1%,287,56,80.5%
22,Utica Comets,Regular Season,Playoffs,3917,24.828,25.164,72,207,366,573,726,2.875,5.083,1.768,7.958,10:05,2069,28.736,10.0%,1794,24.917,0.9,234,37,15.8%,208,47,77.4%
31,Wilkes-Barre/Scranton Penguins,Regular Season,,4700,24.549,25.193,72,186,330,516,846,2.583,4.583,1.774,7.167,11:45,2130,29.583,8.7%,1943,26.986,0.905,277,55,19.9%,265,49,81.5%
