Rk,Team,Season Leaders_Regular Season,Season Leaders_Playoffs,Unnamed: 4_level_0_ATT.,Age_AA,Age_WAA,Player Stats_GP,Player Stats_G,Player Stats_A,Player Stats_P,Player Stats_PIM,per Game_G/GP,per Game_A/GP,per Game_A/G,per Game_P/GP,per Game_PIM/GP,Shots_SOG,Shots_S/GP,Shots_SH%,Saves_SV,Saves_SV/GP,Saves_SV%,Power-Play_PPO,Power-Play_PPG,Power-Play_PP%,Penalty-Kill_PKO,Penalty-Kill_PPG-A,Penalty-Kill_PK%
18,Albany River Rats,Regular Season,,3615,23.436,23.288,80,216,364,580,1792,2.7,4.55,1.685,7.25,22:24,2591,32.388,8.3%,2552,31.9,0.908,370,55,14.9%,382,70,81.7%
10,Cincinnati Mighty Ducks,Regular Season,Playoffs,5001,23.982,23.82,80,254,412,666,1884,3.175,5.15,1.622,8.325,23:33,2816,35.2,9.0%,2231,27.888,0.905,389,68,17.5%,437,85,80.5%
16,Hamilton Bulldogs,Regular Season,,4969,23.906,23.947,80,227,376,603,1738,2.838,4.7,1.656,7.538,21:44,2386,29.825,9.5%,2560,32.0,0.905,416,73,17.5%,422,91,78.4%
3,Hartford Wolf Pack,Regular Season,Playoffs,7099,24.592,25.285,80,263,450,713,2264,3.288,5.625,1.711,8.913,28:18,2596,32.45,10.1%,2280,28.5,0.904,420,80,19.0%,438,80,81.7%
19,Hershey Bears,Regular Season,Playoffs,6347,24.779,24.333,80,216,357,573,1633,2.7,4.463,1.653,7.163,20:25,2552,31.9,8.5%,2261,28.263,0.91,450,69,15.3%,416,77,81.5%
1,Kentucky Thoroughblades,Regular Season,Playoffs,4461,24.575,24.556,80,273,462,735,1946,3.413,5.775,1.692,9.188,24:20,2551,31.888,10.7%,2284,28.55,0.917,435,80,18.4%,433,66,84.8%
20,Louisville Panthers,Regular Season,,4865,24.444,23.908,80,200,335,535,1928,2.5,4.188,1.675,6.688,24:06,2384,29.8,8.4%,2505,31.313,0.9,383,58,15.1%,412,81,80.3%
17,Lowell Lock Monsters,Regular Season,Playoffs,3483,24.938,24.857,80,225,371,596,1792,2.813,4.638,1.649,7.45,22:24,2422,30.275,9.3%,2222,27.775,0.905,401,69,17.2%,426,80,81.2%
13,Norfolk Admirals,Regular Season,Playoffs,4713,25.352,24.735,80,241,404,645,1983,3.013,5.05,1.676,8.063,24:47,2576,32.2,9.4%,1977,24.713,0.907,404,77,19.1%,404,71,82.4%
12,Philadelphia Phantoms,Regular Season,Playoffs,8571,24.773,25.278,80,246,415,661,2009,3.075,5.188,1.687,8.263,25:07,2338,29.225,10.5%,2299,28.738,0.907,398,77,19.3%,422,79,81.3%
9,Portland Pirates,Regular Season,Playoffs,4610,24.698,25.048,80,250,421,671,1663,3.125,5.263,1.684,8.388,20:47,2446,30.575,10.2%,2375,29.688,0.897,425,89,20.9%,433,81,81.3%
11,Providence Bruins,Regular Season,Playoffs,7700,25.643,25.193,80,245,420,665,1854,3.063,5.25,1.714,8.313,23:11,2626,32.825,9.3%,2265,28.313,0.906,479,98,20.5%,440,68,84.5%
4,Quebec Citadelles,Regular Season,Playoffs,4330,24.527,24.422,80,264,447,711,1624,3.3,5.588,1.693,8.888,20:18,2387,29.838,11.1%,2644,33.05,0.916,424,86,20.3%,359,64,82.2%
15,Rochester Americans,Regular Season,Playoffs,8529,25.438,25.722,80,224,385,609,1517,2.8,4.813,1.719,7.613,18:58,2395,29.938,9.4%,1880,23.5,0.91,428,69,16.1%,369,67,81.8%
5,Saint John Flames,Regular Season,Playoffs,3763,23.859,23.638,80,269,440,709,1879,3.363,5.5,1.636,8.863,23:29,2994,37.425,9.0%,1820,22.75,0.899,444,80,18.0%,418,80,80.9%
7,Springfield Falcons,Regular Season,,4427,24.752,24.441,80,253,431,684,1608,3.163,5.388,1.704,8.55,20:06,2476,30.95,10.2%,2259,28.238,0.892,430,73,17.0%,412,77,81.3%
8,St. John's Maple Leafs,Regular Season,Playoffs,3293,23.45,23.817,80,247,433,680,1532,3.088,5.413,1.753,8.5,19:09,2785,34.813,8.9%,2319,28.988,0.908,381,68,17.8%,421,75,82.2%
14,Syracuse Crunch,Regular Season,Playoffs,5169,24.383,24.829,80,235,386,621,1899,2.938,4.825,1.643,7.763,23:44,2227,27.838,10.6%,2743,34.288,0.918,407,87,21.4%,441,83,81.2%
6,Wilkes-Barre / Scranton Penguins,Regular Season,Playoffs,8253,24.326,24.015,80,252,433,685,2277,3.15,5.413,1.718,8.563,28:28,2646,33.075,9.5%,2235,27.938,0.903,411,78,19.0%,456,82,82.0%
2,Worcester IceCats,Regular Season,Playoffs,6246,24.223,24.34,80,264,456,720,1784,3.3,5.7,1.727,9.0,22:18,2667,33.338,9.9%,2294,28.675,0.921,498,89,17.9%,452,66,85.4%
