Rk,Team,Season Leaders_Regular Season,Season Leaders_Playoffs,Unnamed: 4_level_0_ATT.,Age_AA,Age_WAA,Player Stats_GP,Player Stats_G,Player Stats_A,Player Stats_P,Player Stats_PIM,per Game_G/GP,per Game_A/GP,per Game_A/G,per Game_P/GP,per Game_PIM/GP,Shots_SOG,Shots_S/GP,Shots_SH%,Saves_SV,Saves_SV/GP,Saves_SV%,Power-Play_PPO,Power-Play_PPG,Power-Play_PP%,Penalty-Kill_PKO,Penalty-Kill_PPG-A,Penalty-Kill_PK%
31,Abbotsford Canucks,Regular Season,,3870,24.837,25.124,62,138,239,377,826,2.226,3.855,1.732,6.081,13:19,1627,26.242,8.5%,1614,26.032,0.894,205,41,20.0%,172,42,75.6%
6,Bakersfield Condors,Regular Season,,4934,25.594,25.582,59,196,326,522,867,3.322,5.525,1.663,8.847,14:42,1605,27.203,12.2%,1664,28.203,0.904,196,44,22.4%,235,44,81.3%
11,Belleville Senators,Regular Season,,2787,24.966,24.796,61,191,319,510,870,3.131,5.23,1.67,8.361,14:16,1598,26.197,12.0%,1657,27.164,0.885,206,41,19.9%,199,40,79.9%
23,Bridgeport Islanders,Regular Season,,4292,26.722,26.218,59,168,291,459,716,2.847,4.932,1.732,7.78,12:08,1658,28.102,10.1%,1359,23.034,0.892,190,31,16.3%,170,32,81.2%
24,Calgary Wranglers,Regular Season,,3581,25.03,25.402,60,164,281,445,830,2.733,4.683,1.713,7.417,13:50,1655,27.583,9.9%,1685,28.083,0.892,184,27,14.7%,209,48,77.0%
15,Charlotte Checkers,Regular Season,,7022,25.552,25.238,60,195,304,499,693,3.25,5.067,1.559,8.317,11:33,1801,30.017,10.8%,1356,22.6,0.897,187,27,14.4%,214,34,84.1%
14,Chicago Wolves,Regular Season,,9339,24.466,24.399,58,179,320,499,750,3.086,5.517,1.788,8.603,12:56,1642,28.31,10.9%,1512,26.069,0.9,197,35,17.8%,204,34,83.3%
21,Cleveland Monsters,Regular Season,,11601,25.972,25.5,60,176,290,466,698,2.933,4.833,1.648,7.767,11:38,1769,29.483,10.0%,1366,22.767,0.891,202,37,18.3%,193,33,82.9%
16,Coachella Valley Firebirds,Regular Season,,6806,23.832,23.49,58,188,306,494,826,3.241,5.276,1.628,8.517,14:14,1730,29.828,10.9%,1606,27.69,0.904,165,26,15.8%,192,40,79.2%
3,Colorado Eagles,Regular Season,,5089,26.064,26.766,60,196,332,528,728,3.267,5.533,1.694,8.8,12:08,1922,32.033,10.2%,1434,23.9,0.908,188,38,20.2%,230,42,81.7%
9,Grand Rapids Griffins,Regular Season,,7862,26.376,26.381,58,195,316,511,658,3.362,5.448,1.621,8.81,11:21,1638,28.241,11.9%,1487,25.638,0.929,172,34,19.8%,165,22,86.7%
28,Hartford Wolf Pack,Regular Season,,5484,25.293,25.477,60,161,259,420,967,2.683,4.317,1.609,7.0,16:07,1664,27.733,9.7%,1476,24.6,0.887,189,28,14.8%,206,37,82.0%
1,Henderson Silver Knights,Regular Season,,3120,24.499,24.811,58,202,337,539,685,3.483,5.81,1.668,9.293,11:49,1776,30.621,11.4%,1448,24.966,0.896,205,49,23.9%,170,36,78.8%
18,Hershey Bears,Regular Season,,9576,25.606,25.566,60,172,302,474,859,2.867,5.033,1.756,7.9,14:19,1587,26.45,10.8%,1630,27.167,0.903,172,32,18.6%,212,40,81.1%
32,Iowa Wild,Regular Season,,6107,25.026,25.173,56,131,226,357,688,2.339,4.036,1.725,6.375,12:17,1505,26.875,8.7%,1367,24.411,0.893,213,32,15.0%,183,36,80.3%
7,Laval Rocket,Regular Season,,9887,25.705,25.515,62,198,319,517,964,3.194,5.145,1.611,8.339,15:33,1771,28.565,11.2%,1497,24.145,0.906,217,43,19.8%,244,51,79.1%
17,Lehigh Valley Phantoms,Regular Season,,6575,24.473,24.74,60,177,306,483,777,2.95,5.1,1.729,8.05,12:57,1657,27.617,10.7%,1484,24.733,0.891,199,40,20.1%,213,50,76.5%
30,Manitoba Moose,Regular Season,,3922,24.98,25.249,56,140,242,382,670,2.5,4.321,1.729,6.821,11:58,1712,30.571,8.2%,1428,25.5,0.905,169,21,12.4%,188,30,84.0%
25,Milwaukee Admirals,Regular Season,,6184,24.838,25.712,57,163,279,442,927,2.86,4.895,1.712,7.754,16:16,1570,27.544,10.4%,1492,26.175,0.907,210,50,23.8%,200,32,84.0%
13,Ontario Reign,Regular Season,,7364,25.12,24.951,60,197,310,507,651,3.283,5.167,1.574,8.45,10:51,1534,25.567,12.8%,1395,23.25,0.9,208,42,20.2%,177,26,85.3%
5,Providence Bruins,Regular Season,,6399,25.221,25.466,59,195,329,524,661,3.305,5.576,1.687,8.881,11:12,1749,29.644,11.2%,1535,26.017,0.926,185,39,21.1%,173,28,83.8%
22,Rochester Americans,Regular Season,,5728,24.758,24.596,57,171,291,462,642,3.0,5.105,1.702,8.105,11:16,1678,29.439,10.2%,1474,25.86,0.899,208,47,22.6%,190,34,82.1%
27,Rockford IceHogs,Regular Season,,4517,24.713,24.782,59,160,274,434,1052,2.712,4.644,1.713,7.356,17:50,1617,27.407,9.8%,1587,26.898,0.897,217,29,13.4%,229,46,79.9%
19,San Diego Gulls,Regular Season,,7382,25.049,25.219,60,175,292,467,640,2.917,4.867,1.669,7.783,10:40,1931,32.183,9.1%,1472,24.533,0.896,208,40,19.2%,175,27,84.6%
2,San Jose Barracuda,Regular Season,,3165,24.766,24.398,58,202,334,536,811,3.483,5.759,1.653,9.241,13:59,1898,32.724,10.6%,1449,24.983,0.898,218,54,24.8%,192,35,81.8%
26,Springfield Thunderbirds,Regular Season,,6317,25.563,25.277,59,162,277,439,641,2.746,4.695,1.71,7.441,10:52,1501,25.441,10.8%,1665,28.22,0.896,206,43,20.9%,183,32,82.5%
10,Syracuse Crunch,Regular Season,,5516,25.837,25.573,59,188,322,510,790,3.186,5.458,1.713,8.644,13:23,1660,28.136,11.3%,1327,22.492,0.908,211,47,22.3%,179,31,82.7%
20,Texas Stars,Regular Season,,6216,24.805,25.303,58,172,294,466,574,2.966,5.069,1.709,8.034,9:54,1523,26.259,11.3%,1512,26.069,0.902,174,25,14.4%,169,36,78.7%
12,Toronto Marlies,Regular Season,,5717,25.933,25.986,60,188,320,508,800,3.133,5.333,1.702,8.467,13:20,1592,26.533,11.8%,1552,25.867,0.898,179,30,16.8%,204,34,83.3%
8,Tucson Roadrunners,Regular Season,,3744,25.526,25.741,59,187,328,515,645,3.169,5.559,1.754,8.729,10:56,1673,28.356,11.2%,1525,25.847,0.89,190,38,20.0%,198,51,74.2%
29,Utica Comets,Regular Season,,2420,25.434,25.459,59,154,255,409,688,2.61,4.322,1.656,6.932,11:40,1652,28.0,9.3%,1365,23.136,0.889,198,37,18.7%,192,34,82.3%
4,Wilkes-Barre/Scranton Penguins,Regular Season,,4420,24.626,24.796,61,196,332,528,777,3.213,5.443,1.694,8.656,12:44,1728,28.328,11.3%,1531,25.098,0.909,199,31,15.6%,207,41,80.2%
