Rk,Team,Season Leaders_Regular Season,Season Leaders_Playoffs,Unnamed: 4_level_0_ATT.,Age_AA,Age_WAA,Player Stats_GP,Player Stats_G,Player Stats_A,Player Stats_P,Player Stats_PIM,per Game_G/GP,per Game_A/GP,per Game_A/G,per Game_P/GP,per Game_PIM/GP,Shots_SOG,Shots_S/GP,Shots_SH%,Saves_SV,Saves_SV/GP,Saves_SV%,Power-Play_PPO,Power-Play_PPG,Power-Play_PP%,Penalty-Kill_PKO,Penalty-Kill_PPG-A,Penalty-Kill_PK%
20,Abbotsford Heat,Regular Season,Playoffs,3897,24.087,24.157,80,210,358,568,1760,2.625,4.475,1.705,7.1,22:00,2538,31.725,8.3%,2158,26.975,0.908,391,60,15.3%,418,83,80.1%
27,Adirondack Phantoms,Regular Season,,4018,24.735,24.258,80,195,328,523,1286,2.438,4.1,1.682,6.538,16:04,2318,28.975,8.4%,2147,26.838,0.9,367,53,14.4%,354,60,83.1%
10,Albany River Rats,Regular Season,Playoffs,3750,24.166,23.498,80,240,394,634,1497,3.0,4.925,1.642,7.925,18:43,2465,30.813,9.7%,2313,28.913,0.914,363,61,16.8%,331,59,82.2%
6,Binghamton Senators,Regular Season,,3629,24.526,24.847,80,248,407,655,1382,3.1,5.088,1.641,8.188,17:16,2795,34.938,8.8%,2254,28.175,0.902,391,76,19.4%,368,58,84.2%
26,Bridgeport Sound Tigers,Regular Season,Playoffs,4091,25.19,25.114,80,194,332,526,1697,2.425,4.15,1.711,6.575,21:13,2409,30.113,8.1%,2367,29.588,0.919,320,48,15.0%,364,63,82.7%
4,Chicago Wolves,Regular Season,Playoffs,7962,26.277,26.733,80,259,439,698,1088,3.238,5.488,1.695,8.725,13:36,2389,29.863,10.8%,2212,27.65,0.916,324,56,17.3%,309,46,85.1%
11,Grand Rapids Griffins,Regular Season,,7015,25.153,24.823,80,240,392,632,1264,3.0,4.9,1.633,7.9,15:48,2419,30.238,9.9%,2114,26.425,0.894,328,56,17.1%,342,68,80.1%
3,Hamilton Bulldogs,Regular Season,Playoffs,4373,24.366,24.469,80,265,444,709,1243,3.313,5.55,1.675,8.863,15:32,2602,32.525,10.2%,1864,23.3,0.918,397,70,17.6%,355,52,85.4%
14,Hartford Wolf Pack,Regular Season,,4187,25.587,24.627,80,229,389,618,1591,2.863,4.863,1.699,7.725,19:53,2379,29.738,9.6%,2162,27.025,0.9,350,61,17.4%,382,78,79.6%
1,Hershey Bears,Regular Season,Playoffs,9519,25.235,25.728,80,338,587,925,1415,4.225,7.338,1.737,11.563,17:41,2505,31.313,13.5%,2052,25.65,0.917,391,81,20.7%,358,45,87.4%
25,Houston Aeros,Regular Season,,5770,25.304,25.033,80,203,332,535,1278,2.538,4.15,1.635,6.688,15:59,2179,27.238,9.3%,1873,23.413,0.901,340,52,15.3%,322,45,86.0%
15,Lake Erie Monsters,Regular Season,,6483,24.83,25.321,80,229,389,618,995,2.863,4.863,1.699,7.725,12:26,2248,28.1,10.2%,2128,26.6,0.901,358,66,18.4%,342,70,79.5%
7,Lowell Devils,Regular Season,Playoffs,2497,24.762,24.543,80,236,405,641,1417,2.95,5.063,1.716,8.013,17:43,2506,31.325,9.4%,2323,29.038,0.915,361,73,20.2%,342,63,81.6%
22,Manchester Monarchs,Regular Season,Playoffs,5292,24.093,23.38,80,210,351,561,1176,2.625,4.388,1.671,7.013,14:42,2379,29.738,8.8%,2426,30.325,0.929,299,59,19.7%,329,47,85.7%
28,Manitoba Moose,Regular Season,Playoffs,8085,25.617,26.553,80,196,315,511,1491,2.45,3.938,1.607,6.388,18:38,2175,27.188,9.0%,2276,28.45,0.911,350,50,14.3%,361,62,82.8%
8,Milwaukee Admirals,Regular Season,Playoffs,6026,25.02,24.849,80,234,403,637,1164,2.925,5.038,1.722,7.963,14:33,2295,28.688,10.2%,1949,24.363,0.905,310,59,19.0%,323,63,80.5%
21,Norfolk Admirals,Regular Season,,3854,24.281,24.363,80,203,361,564,961,2.538,4.513,1.778,7.05,12:01,2577,32.213,7.9%,2093,26.163,0.913,318,40,12.6%,282,39,86.2%
17,Peoria Rivermen,Regular Season,,4559,24.702,24.838,80,226,389,615,1345,2.825,4.863,1.721,7.688,16:49,2421,30.263,9.3%,2088,26.1,0.901,362,74,20.4%,350,69,80.3%
9,Portland Pirates,Regular Season,Playoffs,4344,24.837,24.555,80,237,398,635,1379,2.963,4.975,1.679,7.938,17:14,2285,28.563,10.4%,2134,26.675,0.911,367,74,20.2%,321,54,83.2%
24,Providence Bruins,Regular Season,,6769,24.478,24.143,80,202,340,542,1180,2.525,4.25,1.683,6.775,14:45,2566,32.075,7.9%,2311,28.888,0.915,344,53,15.4%,323,62,80.8%
5,Rochester Americans,Regular Season,Playoffs,4236,25.282,25.729,80,249,432,681,1334,3.113,5.4,1.735,8.513,16:41,2331,29.138,10.7%,2330,29.125,0.908,354,68,19.2%,390,75,80.8%
19,Rockford IceHogs,Regular Season,Playoffs,3978,24.75,25.344,80,223,375,598,1377,2.788,4.688,1.682,7.475,17:13,2355,29.438,9.5%,2133,26.663,0.907,349,53,15.2%,330,55,83.3%
13,San Antonio Rampage,Regular Season,,5235,24.201,24.469,80,233,387,620,1345,2.913,4.838,1.661,7.75,16:49,2589,32.363,9.0%,2218,27.725,0.908,334,69,20.7%,352,57,83.8%
23,Springfield Falcons,Regular Season,,3644,24.815,25.393,80,203,354,557,1626,2.538,4.425,1.744,6.963,20:20,2194,27.425,9.3%,2482,31.025,0.896,362,63,17.4%,410,82,80.0%
18,Syracuse Crunch,Regular Season,,5294,24.579,24.809,80,222,388,610,1749,2.775,4.85,1.748,7.625,21:52,2342,29.275,9.5%,2389,29.863,0.902,336,57,17.0%,393,67,83.0%
16,Texas Stars,Regular Season,Playoffs,5355,25.378,25.322,80,233,385,618,1099,2.913,4.813,1.652,7.725,13:44,2143,26.788,10.9%,2336,29.2,0.926,340,65,19.1%,308,42,86.4%
29,Toronto Marlies,Regular Season,,4069,23.997,24.718,80,184,325,509,1695,2.3,4.063,1.766,6.363,21:11,2228,27.85,8.3%,2212,27.65,0.901,382,50,13.1%,398,73,81.7%
12,Wilkes-Barre / Scranton Penguins,Regular Season,Playoffs,6269,24.995,25.317,80,235,395,630,1505,2.938,4.938,1.681,7.875,18:49,2529,31.613,9.3%,1977,24.713,0.9,331,55,16.6%,377,69,81.7%
2,Worcester Sharks,Regular Season,Playoffs,3671,23.881,23.848,80,272,477,749,1256,3.4,5.963,1.754,9.363,15:42,2860,35.75,9.5%,2060,25.75,0.9,333,62,18.6%,318,58,81.8%
