Rk,Team,Season Leaders_Regular Season,Season Leaders_Playoffs,Unnamed: 4_level_0_ATT.,Age_AA,Age_WAA,Player Stats_GP,Player Stats_G,Player Stats_A,Player Stats_P,Player Stats_PIM,per Game_G/GP,per Game_A/GP,per Game_A/G,per Game_P/GP,per Game_PIM/GP,Shots_SOG,Shots_S/GP,Shots_SH%,Saves_SV,Saves_SV/GP,Saves_SV%,Power-Play_PPO,Power-Play_PPG,Power-Play_PP%,Penalty-Kill_PKO,Penalty-Kill_PPG-A,Penalty-Kill_PK%
23,Bakersfield Condors,Regular Season,,5305,24.887,24.538,56,159,283,442,719,2.839,5.054,1.78,7.893,12:50,1667,29.768,9.5%,1510,26.964,0.887,207,38,18.4%,239,48,79.9%
1,Belleville Senators,Regular Season,,2866,24.013,23.669,63,231,394,625,783,3.667,6.254,1.706,9.921,12:26,1817,28.841,12.7%,1719,27.286,0.901,267,50,18.7%,291,58,80.1%
13,Binghamton Devils,Regular Season,,3252,24.744,24.856,62,183,314,497,611,2.952,5.065,1.716,8.016,9:51,1917,30.919,9.6%,1627,26.242,0.905,249,44,17.7%,217,41,81.1%
30,Bridgeport Sound Tigers,Regular Season,,3537,26.244,25.946,63,149,253,402,833,2.365,4.016,1.698,6.381,13:13,1777,28.206,8.4%,1831,29.063,0.905,249,28,11.2%,241,43,82.2%
6,Charlotte Checkers,Regular Season,,6568,25.176,24.508,61,200,350,550,811,3.279,5.738,1.75,9.016,13:18,1945,31.885,10.3%,1567,25.689,0.904,228,52,22.8%,247,32,87.0%
29,Chicago Wolves,Regular Season,,7185,24.238,24.349,61,153,256,409,698,2.508,4.197,1.673,6.705,11:27,1632,26.754,9.4%,1592,26.098,0.909,226,44,19.5%,208,38,81.7%
28,Cleveland Monsters,Regular Season,,9042,25.668,25.073,62,157,271,428,845,2.532,4.371,1.726,6.903,13:38,1720,27.742,9.1%,1622,26.161,0.903,245,35,14.3%,269,46,82.9%
12,Colorado Eagles,Regular Season,,5179,24.723,25.123,56,185,315,500,677,3.304,5.625,1.703,8.929,12:05,1803,32.196,10.3%,1652,29.5,0.913,250,44,17.6%,208,37,82.2%
16,Grand Rapids Griffins,Regular Season,,7465,25.394,25.119,63,175,308,483,715,2.778,4.889,1.76,7.667,11:21,1945,30.873,9.0%,1648,26.159,0.904,254,53,20.9%,230,40,82.6%
20,Hartford Wolf Pack,Regular Season,,3967,24.144,24.625,62,170,286,456,601,2.742,4.613,1.682,7.355,9:42,1754,28.29,9.7%,1582,25.516,0.91,217,30,13.8%,197,28,85.8%
14,Hershey Bears,Regular Season,,8752,24.887,24.792,62,183,311,494,709,2.952,5.016,1.699,7.968,11:26,1824,29.419,10.0%,1510,24.355,0.912,206,33,16.0%,229,29,87.3%
9,Iowa Wild,Regular Season,,6351,25.844,25.821,63,191,323,514,869,3.032,5.127,1.691,8.159,13:48,2061,32.714,9.3%,1688,26.794,0.913,265,58,21.9%,243,38,84.4%
19,Laval Rocket,Regular Season,,6217,25.143,25.158,62,177,282,459,738,2.855,4.548,1.593,7.403,11:54,1911,30.823,9.3%,1481,23.887,0.898,269,53,19.7%,262,49,81.3%
26,Lehigh Valley Phantoms,Regular Season,,7146,25.372,25.734,62,161,273,434,640,2.597,4.403,1.696,7.0,10:19,1850,29.839,8.7%,1656,26.71,0.908,226,24,10.6%,223,40,82.1%
27,Manitoba Moose,Regular Season,,4960,24.262,24.434,61,157,272,429,844,2.574,4.459,1.732,7.033,13:50,1712,28.066,9.2%,1740,28.525,0.909,199,33,16.6%,239,47,80.3%
2,Milwaukee Admirals,Regular Season,,5032,24.805,24.595,63,206,362,568,919,3.27,5.746,1.757,9.016,14:35,1946,30.889,10.6%,1697,26.937,0.927,210,53,25.2%,255,37,85.5%
25,Ontario Reign,Regular Season,,8156,24.286,24.034,57,164,271,435,876,2.877,4.754,1.652,7.632,15:22,1754,30.772,9.4%,1817,31.877,0.904,222,33,14.9%,258,55,78.7%
11,Providence Bruins,Regular Season,,7645,24.611,24.241,62,192,315,507,838,3.097,5.081,1.641,8.177,13:31,1964,31.677,9.8%,1652,26.645,0.92,223,33,14.8%,256,36,85.9%
17,Rochester Americans,Regular Season,,4827,25.606,25.795,62,179,297,476,600,2.887,4.79,1.659,7.677,9:41,2021,32.597,8.9%,1554,25.065,0.907,234,40,17.1%,212,35,83.5%
31,Rockford IceHogs,Regular Season,,3759,24.461,23.932,63,152,248,400,801,2.413,3.937,1.632,6.349,12:43,1741,27.635,8.7%,1785,28.333,0.908,254,29,11.4%,239,57,76.2%
22,San Antonio Rampage,Regular Season,,6048,24.634,24.785,61,160,287,447,685,2.623,4.705,1.794,7.328,11:14,2008,32.918,8.0%,1502,24.623,0.899,249,49,19.7%,233,43,81.5%
18,San Diego Gulls,Regular Season,,7582,25.147,24.832,57,183,286,469,646,3.211,5.018,1.563,8.228,11:20,1797,31.526,10.2%,1756,30.807,0.918,230,35,15.2%,215,33,84.7%
15,San Jose Barracuda,Regular Season,,3512,23.871,23.351,55,179,309,488,658,3.255,5.618,1.726,8.873,11:58,1801,32.745,9.9%,1422,25.855,0.89,210,35,16.7%,214,43,79.9%
10,Springfield Thunderbirds,Regular Season,,5261,24.566,24.859,61,187,321,508,815,3.066,5.262,1.717,8.328,13:22,1863,30.541,10.0%,1978,32.426,0.918,252,42,16.7%,219,38,82.6%
8,Stockton Heat,Regular Season,,2781,24.685,24.693,55,192,332,524,726,3.491,6.036,1.729,9.527,13:12,1720,31.273,11.2%,1467,26.673,0.903,203,52,25.6%,234,29,87.6%
4,Syracuse Crunch,Regular Season,,5490,24.794,24.466,62,202,353,555,797,3.258,5.694,1.748,8.952,12:51,1815,29.274,11.1%,1586,25.581,0.891,262,53,20.2%,275,49,82.2%
21,Texas Stars,Regular Season,,5240,24.608,24.357,62,165,287,452,675,2.661,4.629,1.739,7.29,10:53,1810,29.194,9.1%,1764,28.452,0.907,211,38,18.0%,237,51,78.5%
3,Toronto Marlies,Regular Season,,5648,25.172,25.134,61,205,353,558,677,3.361,5.787,1.722,9.148,11:06,1710,28.033,12.0%,1688,27.672,0.896,252,49,19.4%,229,51,77.7%
7,Tucson Roadrunners,Regular Season,,4056,24.417,24.328,58,195,346,541,640,3.362,5.966,1.774,9.328,11:02,1820,31.379,10.7%,1594,27.483,0.913,287,50,17.4%,219,46,79.0%
5,Utica Comets,Regular Season,,3932,25.648,24.953,61,207,345,552,750,3.393,5.656,1.667,9.049,12:18,1686,27.639,12.3%,1668,27.344,0.903,243,54,22.2%,252,49,80.6%
24,Wilkes-Barre/Scranton Penguins,Regular Season,,5068,25.56,25.365,63,160,278,438,787,2.54,4.413,1.738,6.952,12:30,1807,28.683,8.9%,1691,26.841,0.906,239,44,18.4%,248,42,83.1%
