Rk,Team,Season Leaders_Regular Season,Season Leaders_Playoffs,Unnamed: 4_level_0_ATT.,Age_AA,Age_WAA,Player Stats_GP,Player Stats_G,Player Stats_A,Player Stats_P,Player Stats_PIM,per Game_G/GP,per Game_A/GP,per Game_A/G,per Game_P/GP,per Game_PIM/GP,Shots_SOG,Shots_S/GP,Shots_SH%,Saves_SV,Saves_SV/GP,Saves_SV%,Power-Play_PPO,Power-Play_PPG,Power-Play_PP%,Penalty-Kill_PKO,Penalty-Kill_PPG-A,Penalty-Kill_PK%
4,Bakersfield Condors,Regular Season,Playoffs,259,24.935,25.412,39,127,207,334,403,3.256,5.308,1.63,8.564,10:20,1230,31.538,10.3%,989,25.359,0.909,123,22,17.9%,117,17,85.5%
17,Belleville Senators,Regular Season,,0,23.248,23.828,35,101,162,263,435,2.886,4.629,1.604,7.514,12:26,928,26.514,10.9%,1023,29.229,0.905,122,25,20.5%,145,24,83.4%
20,Binghamton Devils,Regular Season,,0,24.064,23.561,35,87,157,244,434,2.486,4.486,1.805,6.971,12:24,935,26.714,9.3%,1003,28.657,0.895,146,24,16.4%,140,30,78.6%
28,Bridgeport Sound Tigers,Regular Season,,0,25.254,24.324,24,57,94,151,282,2.375,3.917,1.649,6.292,11:45,606,25.25,9.4%,613,25.542,0.888,93,13,14.0%,101,25,75.2%
3,Chicago Wolves,Regular Season,,0,24.121,23.489,33,132,229,361,523,4.0,6.939,1.735,10.939,15:51,1035,31.364,12.8%,951,28.818,0.913,137,34,24.8%,137,23,83.2%
16,Cleveland Monsters,Regular Season,,3824,24.611,24.61,29,100,166,266,398,3.448,5.724,1.66,9.172,13:43,917,31.621,10.9%,775,26.724,0.91,108,29,26.9%,103,19,81.6%
14,Colorado Eagles,Regular Season,Playoffs,0,24.22,24.241,34,101,168,269,314,2.971,4.941,1.663,7.912,9:14,1084,31.882,9.3%,917,26.971,0.904,117,25,21.4%,114,18,84.2%
18,Grand Rapids Griffins,Regular Season,,617,24.845,25.197,32,96,163,259,416,3.0,5.094,1.698,8.094,13:00,1035,32.344,9.3%,751,23.469,0.891,121,26,21.5%,115,29,74.8%
25,Hartford Wolf Pack,Regular Season,,0,24.434,24.667,24,82,134,216,313,3.417,5.583,1.634,9.0,13:02,716,29.833,11.5%,535,22.292,0.884,96,26,27.1%,94,17,81.9%
5,Henderson Silver Knights,Regular Season,Playoffs,1350,23.339,23.512,39,124,205,329,489,3.179,5.256,1.653,8.436,12:32,1092,28.0,11.4%,1173,30.077,0.927,138,26,18.8%,147,33,77.6%
8,Hershey Bears,Regular Season,,1005,25.554,25.507,33,109,190,299,557,3.303,5.758,1.743,9.061,16:53,1056,32.0,10.3%,799,24.212,0.913,128,24,18.8%,144,24,83.3%
11,Iowa Wild,Regular Season,,3273,24.546,24.713,34,107,178,285,632,3.147,5.235,1.664,8.382,18:35,1106,32.529,9.7%,912,26.824,0.893,137,19,13.9%,139,26,81.3%
