Rk,Team,Season Leaders_Regular Season,Season Leaders_Playoffs,Unnamed: 4_level_0_ATT.,Age_AA,Age_WAA,Player Stats_GP,Player Stats_G,Player Stats_A,Player Stats_P,Player Stats_PIM,per Game_G/GP,per Game_A/GP,per Game_A/G,per Game_P/GP,per Game_PIM/GP,Shots_SOG,Shots_S/GP,Shots_SH%,Saves_SV,Saves_SV/GP,Saves_SV%,Power-Play_PPO,Power-Play_PPG,Power-Play_PP%,Penalty-Kill_PKO,Penalty-Kill_PPG-A,Penalty-Kill_PK%
7,Bakersfield Condors,Regular Season,Playoffs,5033,25.07,24.566,68,240,423,663,827,3.529,6.221,1.763,9.75,12:10,2227,32.75,10.8%,1741,25.603,0.908,254,52,20.5%,272,52,80.9%
14,Belleville Senators,Regular Season,,3066,24.946,24.716,76,224,397,621,852,2.947,5.224,1.772,8.171,11:13,2060,27.105,10.9%,1970,25.921,0.902,317,58,18.3%,309,75,75.7%
26,Binghamton Devils,Regular Season,,3470,24.567,24.093,76,200,346,546,1004,2.632,4.553,1.73,7.184,13:13,2047,26.934,9.8%,1991,26.197,0.885,299,53,17.7%,331,71,78.5%
11,Bridgeport Sound Tigers,Regular Season,Playoffs,4106,26.2,25.994,76,227,405,632,1111,2.987,5.329,1.784,8.316,14:37,2140,28.158,10.6%,2035,26.776,0.902,343,59,17.2%,342,66,80.7%
2,Charlotte Checkers,Regular Season,Playoffs,6682,24.086,23.617,76,254,437,691,961,3.342,5.75,1.72,9.092,12:39,2293,30.171,11.1%,1866,24.553,0.91,310,61,19.7%,307,41,86.6%
4,Chicago Wolves,Regular Season,Playoffs,7928,24.394,24.25,76,250,428,678,870,3.289,5.632,1.712,8.921,11:27,2106,27.711,11.9%,1947,25.618,0.913,299,62,20.7%,275,49,82.2%
18,Cleveland Monsters,Regular Season,Playoffs,8900,24.834,25.095,76,227,367,594,845,2.987,4.829,1.617,7.816,11:07,2540,33.421,8.9%,1944,25.579,0.897,270,46,17.0%,290,47,83.8%
31,Colorado Eagles,Regular Season,Playoffs,5140,24.001,23.917,68,185,304,489,1090,2.721,4.471,1.643,7.191,16:02,2127,31.279,8.7%,2081,30.603,0.913,289,40,13.8%,308,49,84.1%
22,Grand Rapids Griffins,Regular Season,Playoffs,8205,25.012,25.58,76,211,349,560,920,2.776,4.592,1.654,7.368,12:06,2362,31.079,8.9%,1908,25.105,0.902,316,45,14.2%,289,62,78.5%
25,Hartford Wolf Pack,Regular Season,,3942,24.39,24.442,76,207,345,552,941,2.724,4.539,1.667,7.263,12:23,2170,28.553,9.5%,2105,27.697,0.897,302,54,17.9%,297,57,80.8%
23,Hershey Bears,Regular Season,Playoffs,8906,24.574,24.257,76,203,354,557,968,2.671,4.658,1.744,7.329,12:44,2087,27.461,9.7%,1908,25.105,0.904,325,60,18.5%,313,64,79.6%
8,Iowa Wild,Regular Season,Playoffs,6409,25.325,25.554,76,238,417,655,852,3.132,5.487,1.752,8.618,11:13,2242,29.5,10.6%,2110,27.763,0.908,290,69,23.8%,296,55,81.4%
29,Laval Rocket,Regular Season,,5577,24.261,24.029,76,192,314,506,849,2.526,4.132,1.635,6.658,11:10,2023,26.618,9.5%,1780,23.421,0.895,301,54,17.9%,308,65,78.9%
12,Lehigh Valley Phantoms,Regular Season,,7719,25.974,26.048,76,235,391,626,901,3.092,5.145,1.664,8.237,11:51,2228,29.316,10.6%,2280,30.0,0.908,276,52,18.8%,281,42,85.1%
28,Manitoba Moose,Regular Season,,4721,24.306,24.191,76,195,335,530,1028,2.566,4.408,1.718,6.974,13:32,2165,28.487,9.0%,2264,29.789,0.916,294,49,16.7%,313,55,82.4%
21,Milwaukee Admirals,Regular Season,Playoffs,5411,24.52,24.225,76,213,367,580,961,2.803,4.829,1.723,7.632,12:39,2130,28.026,10.0%,2000,26.316,0.911,274,48,17.5%,287,43,85.0%
20,Ontario Reign,Regular Season,,8351,24.672,25.088,68,211,369,580,1061,3.103,5.426,1.749,8.529,15:36,2163,31.809,9.8%,2206,32.441,0.894,259,51,19.7%,293,68,76.8%
