Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Andrew Borgatti,New York Riptide,D,13,1,7,8,11,0,0,0,27,7,6,6,2,0/0,-
Brent Noseworthy,New York Riptide,T,15,1,7,8,42,0,1,0,78,7,4,15,2,0/2,-
Brett Hickey,New York Riptide,F,6,4,10,14,4,2,4,0,16,16,0,0,33,0/0,-
Cameron Dunkerley,New York Riptide,G,9,0,0,0,0,0,0,0,8,2,1,0,0,0/0,-
Chad Cummings,New York Riptide,D,20,0,5,5,10,0,0,0,75,4,17,8,2,0/0,-
Connor Kearnan,New York Riptide,F,18,30,45,75,26,9,9,1,55,73,0,0,115,0/0,-
Curtis Conley,New York Riptide,D,9,1,3,4,14,0,0,0,19,1,3,2,3,1/23,4%
Damon Edwards,New York Riptide,D,17,0,6,6,48,0,1,0,61,4,15,16,11,0/0,-
Dan Lomas,New York Riptide,F,9,7,5,12,4,0,0,0,12,10,0,0,34,0/0,-
Dan MacRae,New York Riptide,D,2,0,1,1,0,0,0,0,6,0,1,0,0,0/0,-
Darryl Robertson,New York Riptide,D,3,0,0,0,0,0,0,0,8,3,0,0,1,0/0,-
Gowah Abrams,New York Riptide,G,8,0,1,1,0,0,0,0,4,0,0,0,1,0/0,-
Jack Kelly,New York Riptide,F,7,3,5,8,0,1,0,0,19,7,2,1,12,0/0,-
Jay Thorimbert,New York Riptide,D,16,2,4,6,6,0,0,0,113,20,13,7,9,187/456,41%
Jeff Teat,New York Riptide,F,18,56,80,136,2,8,21,1,105,97,9,0,248,0/0,-
Jordi Jones-Smith,New York Riptide,T,12,0,2,2,11,0,0,0,26,2,5,2,2,0/0,-
Kevin Brownell,New York Riptide,T,18,7,6,13,6,0,0,1,84,18,15,13,21,0/0,-
Kevin Orleman,New York Riptide,G,1,0,0,0,0,0,0,0,1,0,0,0,0,0/0,-
Larson Sundown,New York Riptide,F,18,20,16,36,24,6,3,1,14,21,0,0,57,0/0,-
Mackenzie Mitchell,New York Riptide,D,6,0,0,0,4,0,0,0,14,0,3,2,0,0/0,-
Matt Marinier,New York Riptide,D,18,3,10,13,16,0,0,0,75,8,12,21,9,1/1,100%
Max Wayne,New York Riptide,F,2,0,0,0,0,0,0,0,2,0,2,0,0,0/0,-
Mike Burke,New York Riptide,F,12,10,18,28,2,0,1,0,35,24,0,1,49,0/0,-
Reilly O'Connor,New York Riptide,F,17,20,45,65,2,6,14,0,70,40,1,0,114,0/0,-
Ron John,New York Riptide,T,17,2,10,12,17,0,0,0,83,7,20,5,17,0/0,-
Scott Dominey,New York Riptide,D,18,9,7,16,23,0,0,0,99,13,20,10,25,6/33,18%
Steve Orleman,New York Riptide,G,18,0,3,3,0,0,0,0,14,7,1,0,0,0/0,-
Tyler Davis,New York Riptide,F,1,0,0,0,0,0,0,0,0,1,0,0,0,0/0,-
Tyler Digby,New York Riptide,F,15,16,22,38,10,2,3,0,25,41,1,0,69,0/0,-
