Name,Team,P,G,A
Alan Pulido,Sporting Kansas City,22,8,3
Amadou Dia,Sporting Kansas City,4,0,0
Andreu Fontàs,Sporting Kansas City,35,0,1
Cameron Duke,Sporting Kansas City,16,2,0
Dániel Sallói,Sporting Kansas City,32,16,9
Felipe Hernàndez,Sporting Kansas City,6,1,2
Gadi Kinda,Sporting Kansas City,28,5,8
Gianluca Busio,Sporting Kansas City,13,2,3
Graham Zusi,Sporting Kansas City,28,1,6
Grayson Barber,Sporting Kansas City,9,0,0
Ilie Sánchez,Sporting Kansas City,32,1,0
Jake Davis,Sporting Kansas City,1,0,0
Jaylin Lindsey,Sporting Kansas City,14,2,1
John Pulskamp,Sporting Kansas City,6,0,0
Johnny Russell,Sporting Kansas City,32,16,8
José Mauri,Sporting Kansas City,9,1,1
Kaveh Rad,Sporting Kansas City,5,0,0
Khiry Shelton,Sporting Kansas City,33,4,6
Luís Martins,Sporting Kansas City,36,1,4
Nicolas Isimat-Mirin,Sporting Kansas City,15,1,0
Roberto Puncec,Sporting Kansas City,3,0,0
Roger Espinoza,Sporting Kansas City,34,0,2
Rémi Walter,Sporting Kansas City,30,1,1
Tim Melia,Sporting Kansas City,30,0,0
Wilson Harris,Sporting Kansas City,9,0,0
