Name,Team,P,G,A
Andre Shinyashiki,Colorado Rapids,32,4,2
Auston Trusty,Colorado Rapids,34,1,3
Brian Galván,Colorado Rapids,25,2,3
Clint Irwin,Colorado Rapids,1,0,0
Cole Bassett,Colorado Rapids,33,5,4
Collen Warner,Colorado Rapids,16,1,1
Danny Wilson,Colorado Rapids,30,2,2
Diego Rubio,Colorado Rapids,27,5,6
Dominique Badji,Colorado Rapids,18,5,1
Drew Moor,Colorado Rapids,12,0,0
Jack Price,Colorado Rapids,31,0,12
Jonathan Lewis,Colorado Rapids,28,7,2
Keegan Rosenberry,Colorado Rapids,31,2,3
Kellyn Acosta,Colorado Rapids,22,1,2
Lalas Abubakar,Colorado Rapids,25,2,0
Lucas Esteves,Colorado Rapids,14,1,0
Mark-Anthony Kaye,Colorado Rapids,26,1,3
Michael Barrios,Colorado Rapids,34,8,6
Nicolás Mezquida,Colorado Rapids,22,1,2
Oliver Larraz,Colorado Rapids,4,0,0
Sam Vines,Colorado Rapids,8,1,1
Steven Beitashour,Colorado Rapids,11,0,2
William Yarbrough,Colorado Rapids,34,0,1
Younes Namli,Colorado Rapids,12,1,1
