Name,Team,P,G,A
Abu Danladi,Nashville SC,8,1,0
Aké Arnaud Loba,Nashville SC,19,1,2
Alex Muyl,Nashville SC,34,3,1
Alistair Johnston,Nashville SC,28,1,1
Aníbal Godoy,Nashville SC,28,0,6
C.J. Sapong,Nashville SC,35,12,6
Daniel Lovitz,Nashville SC,29,0,7
Daniel Ríos,Nashville SC,12,1,1
Dave Romney,Nashville SC,33,0,2
Dax McCarty,Nashville SC,30,0,3
Dylan Nealis,Nashville SC,4,0,1
Eric Miller,Nashville SC,15,0,1
Handwalla Bwana,Nashville SC,0,0,0
Hany Mukhtar,Nashville SC,33,19,12
Jack Maher,Nashville SC,22,1,1
Jalil Anibaba,Nashville SC,11,1,0
Jhonder Cádiz,Nashville SC,25,3,2
Joe Willis,Nashville SC,36,0,1
Luke Haakenson,Nashville SC,19,2,0
Matt LaGrassa,Nashville SC,12,0,1
Randall Leal,Nashville SC,33,8,9
Robert Castellanos,Nashville SC,1,1,0
Tah Anunga,Nashville SC,27,1,0
Taylor Washington,Nashville SC,17,0,0
Walker Zimmerman,Nashville SC,27,3,2
