Name,Team,P,G,A
Alexander Alvarado,Orlando City SC,10,0,0
Alexandre Pato,Orlando City SC,5,0,0
Andrés Perea,Orlando City SC,27,2,1
Antônio Carlos,Orlando City SC,30,2,0
Benji Michel,Orlando City SC,35,4,3
Brandon Austin,Orlando City SC,5,0,0
Chris Mueller,Orlando City SC,30,3,6
Daryl Dike,Orlando City SC,19,11,3
Emmanuel Más,Orlando City SC,17,0,1
Jhegson Méndez,Orlando City SC,18,1,0
Joao Moutinho,Orlando City SC,20,0,1
Joseph Dezart,Orlando City SC,17,0,0
Júnior Urso,Orlando City SC,31,4,1
Kyle Smith,Orlando City SC,27,1,2
Mason Stajduhar,Orlando City SC,5,0,0
Mauricio Pereyra,Orlando City SC,30,1,11
Michael Halliday,Orlando City SC,6,0,0
Nani,Orlando City SC,29,10,8
Oriol Rosell,Orlando City SC,14,0,0
Pedro Gallese,Orlando City SC,23,0,0
Robin Jansson,Orlando City SC,29,3,1
Rodrigo Schlegel,Orlando City SC,23,0,0
Ruan,Orlando City SC,25,2,4
Silvester van der Water,Orlando City SC,28,3,3
Tesho Akindele,Orlando City SC,33,3,6
