Name,Team,P,G,A
Alan Franco,Atlanta United FC,26,0,4
Amar Sejdic,Atlanta United FC,17,0,0
Anton Walkes,Atlanta United FC,33,2,2
Brad Guzan,Atlanta United FC,30,0,0
Brooks Lennon,Atlanta United FC,33,0,6
Emerson Hyndman,Atlanta United FC,7,1,1
Erick Torres,Atlanta United FC,20,0,0
Erik López,Atlanta United FC,18,1,0
Ezequiel Barco,Atlanta United FC,26,7,8
Franco Ibarra,Atlanta United FC,16,0,0
George Bello,Atlanta United FC,30,1,3
George Campbell,Atlanta United FC,15,1,0
Jackson Conway,Atlanta United FC,8,1,0
Jake Mulraney,Atlanta United FC,23,1,3
Josef Martínez,Atlanta United FC,25,12,1
Jürgen Damm,Atlanta United FC,11,0,0
Luiz Araújo,Atlanta United FC,16,4,4
Machop Chol,Atlanta United FC,9,0,1
Marcelino Moreno,Atlanta United FC,33,9,5
Matheus Rossetto,Atlanta United FC,22,0,0
Miles Robinson,Atlanta United FC,27,1,1
Mohammed Adams,Atlanta United FC,6,0,0
Ronald Hernández,Atlanta United FC,13,1,0
Santiago Sosa,Atlanta United FC,26,0,0
Tyler Wolff,Atlanta United FC,7,0,0
