Name,Team,P,G,A
Andrés Ricaurte,FC Dallas,26,1,3
Brandon Servania,FC Dallas,14,0,1
Bressan,FC Dallas,22,1,0
Bryan Acosta,FC Dallas,23,0,2
Dante Sealy,FC Dallas,6,1,0
Edwin Cerrillo,FC Dallas,22,0,1
Edwin Munjoma,FC Dallas,12,0,1
Ema Twumasi,FC Dallas,23,0,1
Facundo Quignón,FC Dallas,18,0,0
Franco Jara,FC Dallas,29,7,2
Freddy Vargas,FC Dallas,13,0,1
Jesús Ferreira,FC Dallas,27,8,9
Jimmy Maurer,FC Dallas,24,0,0
John Nelson,FC Dallas,10,0,0
José Martínez,FC Dallas,19,0,0
Justin Che,FC Dallas,15,0,3
Jáder Obrian,FC Dallas,34,9,4
Kalil ElMedkhar,FC Dallas,0,0,0
Matt Hedges,FC Dallas,20,1,0
Nkosi Tafari,FC Dallas,22,1,2
Paxton Pomykal,FC Dallas,31,1,2
Phelipe,FC Dallas,11,0,1
Ricardo Pepi,FC Dallas,31,13,3
Ryan Hollingshead,FC Dallas,30,3,5
Szabolcs Schon,FC Dallas,24,0,6
Tanner Tessmann,FC Dallas,7,0,0
