Name,Team,P,G,A
Adrien Perez,D.C. United,17,0,2
Andy Nájar,D.C. United,26,1,3
Bill Hamid,D.C. United,21,0,0
Brendan Hines-Ike,D.C. United,13,1,0
Donovan Pines,D.C. United,18,0,0
Drew Skundrich,D.C. United,20,0,1
Edison Flores,D.C. United,16,2,5
Felipe,D.C. United,27,1,3
Frédéric Brillant,D.C. United,19,1,0
Griffin Yow,D.C. United,11,1,2
Jon Kempin,D.C. United,10,0,0
Joseph Mora,D.C. United,26,0,0
Julian Gressel,D.C. United,34,2,13
Júnior Moreno,D.C. United,28,1,3
Kevin Paredes,D.C. United,24,3,1
Moses Nyeman,D.C. United,19,0,2
Nigel Robertha,D.C. United,18,4,1
Ola Kamara,D.C. United,28,19,5
Paul Arriola,D.C. United,20,6,4
Ramón Ábila,D.C. United,22,5,0
Russell Canouse,D.C. United,21,1,2
Steve Birnbaum,D.C. United,21,2,1
Tony Alfaro,D.C. United,25,1,1
Yamil Asad,D.C. United,16,2,1
Yordy Reyna,D.C. United,18,4,1
