Name,Team,P,G,A
Alejandro Bedoya,Philadelphia Union,34,3,3
Alvas Powell,Philadelphia Union,7,0,0
Andre Blake,Philadelphia Union,28,0,0
Anthony Fontana,Philadelphia Union,13,0,1
Cory Burke,Philadelphia Union,21,4,2
Dániel Gazdag,Philadelphia Union,26,5,5
Ilsinho,Philadelphia Union,5,0,0
Jack Elliott,Philadelphia Union,35,2,2
Jack McGlynn,Philadelphia Union,22,0,1
Jakob Glesnes,Philadelphia Union,36,4,2
Jamiro Monteiro,Philadelphia Union,29,2,6
Jesús Bueno,Philadelphia Union,8,0,0
Joe Bendik,Philadelphia Union,3,0,0
José Andrés Martínez,Philadelphia Union,27,0,2
Kacper Przybylko,Philadelphia Union,37,12,4
Kai Wagner,Philadelphia Union,35,3,7
Leon Flach,Philadelphia Union,37,1,3
Matthew Freese,Philadelphia Union,7,0,0
Matthew Real,Philadelphia Union,8,0,0
Nathan Harriel,Philadelphia Union,7,0,1
Olivier Mbaizo,Philadelphia Union,31,0,4
Paxten Aaronson,Philadelphia Union,16,3,0
Quinn Sullivan,Philadelphia Union,21,2,1
Sergio Santos,Philadelphia Union,28,6,1
Stuart Findlay,Philadelphia Union,8,0,0
