Name,Team,P,G,A
Aaron Long,Red Bull New York,5,0,0
Amro Tarek,Red Bull New York,13,0,0
Andrew Gutman,Red Bull New York,23,2,2
Andrés Reyes,Red Bull New York,20,2,1
Caden Clark,Red Bull New York,25,4,5
Cameron Harper,Red Bull New York,7,0,0
Carlos Coronel,Red Bull New York,35,0,0
Cristian Cásseres Jr.,Red Bull New York,28,6,4
Daniel Royer,Red Bull New York,16,0,0
Dru Yearwood,Red Bull New York,30,1,2
Frankie Amaya,Red Bull New York,22,1,1
Fábio,Red Bull New York,31,7,7
John Tolkin,Red Bull New York,29,1,2
Kyle Duncan,Red Bull New York,33,1,3
Mandela Egbo,Red Bull New York,2,0,0
Omir Fernández,Red Bull New York,23,3,0
Patryk Klimala,Red Bull New York,30,8,7
Sean Davis,Red Bull New York,35,0,4
Sean Nealis,Red Bull New York,29,1,2
Thomas Edwards,Red Bull New York,28,0,2
Tom Barlow,Red Bull New York,23,1,0
Wikelman Carmona,Red Bull New York,25,1,1
Youba Diarra,Red Bull New York,8,0,0
