Name,Team,P,G,A
Aimé Mabika,Inter Miami CF,2,0,0
Blaise Matuidi,Inter Miami CF,32,1,1
Brek Shea,Inter Miami CF,30,2,0
Christian Makoun,Inter Miami CF,26,2,0
Edison Azcona,Inter Miami CF,4,0,0
Federico Higuaín,Inter Miami CF,25,3,4
Gonzalo Higuaín,Inter Miami CF,30,12,9
Gregore,Inter Miami CF,29,0,4
Indiana Vassilev,Inter Miami CF,21,3,0
Jay Chapman,Inter Miami CF,25,0,2
Joevin Jones,Inter Miami CF,10,0,0
John McCarthy,Inter Miami CF,13,0,0
Jorge Figal,Inter Miami CF,24,1,2
Joshua Penn,Inter Miami CF,2,0,0
Julián Carranza,Inter Miami CF,25,1,0
Kelvin Leerdam,Inter Miami CF,29,0,1
Kieran Gibbs,Inter Miami CF,12,1,0
Leandro González Pírez,Inter Miami CF,30,0,4
Lewis Morgan,Inter Miami CF,34,2,4
Nick Marsman,Inter Miami CF,22,0,0
Robbie Robinson,Inter Miami CF,24,4,0
Rodolfo Pizarro,Inter Miami CF,27,3,7
Ryan Shawcross,Inter Miami CF,12,0,0
Sami Guediri,Inter Miami CF,10,0,1
Victor Ulloa,Inter Miami CF,21,0,2
