Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position
Donovan Mitchell,24,24.0,34.4,31.3,0.9,3.9,4.8,5.4,1.4,0.3,3.4,2.3,1.6,10.9,21.5,50.5,4.2,10.6,39.4,5.3,6.3,84.2,6.7,11.0,61.2,1.451,0.6,False,G
Evan Mobley,25,25.0,34.2,19.1,2.6,6.7,9.3,4.1,1.0,1.6,2.2,2.4,1.8,7.0,14.1,49.6,1.5,4.3,35.2,3.6,5.6,64.0,5.5,9.8,55.9,1.351,0.55,False,C
De'Andre Hunter,22,22.0,28.7,15.9,0.7,3.6,4.3,2.4,0.7,0.1,1.6,2.8,1.5,5.4,12.4,43.6,2.0,6.5,31.0,3.1,3.7,84.0,3.4,6.0,57.3,1.282,0.52,False,F
Darius Garland,10,10.0,29.0,14.4,0.7,2.3,3.0,6.2,0.8,0.1,2.7,1.8,2.3,4.7,13.3,35.3,1.7,6.4,26.6,3.3,3.8,86.8,3.0,6.9,43.5,1.083,0.42,False,G
Jarrett Allen,15,15.0,26.1,14.3,2.4,5.2,7.6,1.8,1.0,0.9,1.6,1.5,1.1,5.5,9.5,57.3,0.0,0.3,0.0,3.4,4.4,77.3,5.5,9.3,59.0,1.503,0.57,False,C
Sam Merrill,12,8.0,25.9,13.9,0.8,1.3,2.1,2.3,0.5,0.3,0.8,2.9,2.7,4.5,9.7,46.6,3.7,8.3,44.4,1.3,1.3,93.8,0.8,1.4,58.8,1.44,0.66,False,G
Jaylon Tyson,21,16.0,27.8,13.0,2.0,3.4,5.4,2.0,1.0,0.7,0.9,3.4,2.2,4.9,9.2,53.1,2.1,4.5,46.3,1.1,1.4,76.7,2.8,4.7,59.6,1.407,0.64,False,G
Nae'Qwan Tomlin,17,2.0,16.6,6.8,1.7,1.7,3.4,0.6,0.9,0.8,0.4,2.4,1.6,2.6,5.5,47.9,0.4,1.9,18.2,1.1,1.5,73.1,2.3,3.6,63.9,1.223,0.51,False,F
Tyrese Proctor,18,0.0,12.4,5.6,0.2,1.1,1.3,1.4,0.3,0.0,0.4,1.3,3.6,1.8,5.2,34.4,1.1,3.4,31.1,1.0,1.2,85.7,0.7,1.8,40.6,1.086,0.45,False,G
Lonzo Ball,19,3.0,23.6,5.5,0.9,3.6,4.5,4.8,1.3,0.3,1.7,1.7,2.8,1.8,6.3,28.6,1.4,5.2,26.3,0.5,0.7,71.4,0.4,1.1,40.0,0.874,0.39,False,G
Craig Porter Jr.,23,0.0,16.9,5.3,1.5,1.8,3.3,2.4,1.0,0.6,0.7,1.3,3.2,2.2,4.2,52.1,0.6,1.4,42.4,0.3,0.7,53.3,1.6,2.7,57.1,1.271,0.59,False,G
Dean Wade,24,3.0,22.2,5.2,0.9,2.9,3.8,1.6,0.8,0.5,0.3,2.0,5.6,1.7,4.7,36.6,1.0,3.5,28.9,0.8,1.0,72.0,0.7,1.2,58.6,1.107,0.47,False,F
Larry Nance Jr.,16,2.0,15.0,3.6,0.8,2.0,2.8,1.3,0.6,0.3,0.6,2.4,2.2,1.4,4.1,35.4,0.6,2.1,30.3,0.1,0.2,33.3,0.8,2.0,40.6,0.877,0.43,False,F
Thomas Bryant,19,0.0,7.8,3.3,0.5,1.6,2.2,0.2,0.3,0.3,0.2,1.0,1.0,1.2,2.8,43.4,0.3,1.3,20.0,0.6,0.8,73.3,0.9,1.5,64.3,1.17,0.48,False,C
Chris Livingston,3,0.0,5.7,3.0,0.0,1.0,1.0,0.3,0.3,0.0,0.0,1.3,inf,1.3,2.3,57.1,0.0,1.0,0.0,0.3,0.3,100.0,1.3,1.3,100.0,1.286,0.57,False,F
Luke Travers,11,0.0,8.8,2.2,0.7,1.2,1.9,0.8,0.5,0.4,0.2,0.5,4.5,0.6,3.1,20.6,0.1,1.5,6.3,0.8,0.8,100.0,0.5,1.6,33.3,0.706,0.22,False,F
Total,26,,,119.0,12.8,32.2,44.9,26.8,9.0,5.5,13.0,21.6,2.1,42.3,92.4,45.8,15.1,44.3,34.0,19.3,25.0,77.1,27.2,48.1,56.6,1.288,0.54,False,Total
