Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Norman Powell G,20,20.0,30.7,24.6,0.4,3.4,3.8,2.4,1.2,0.3,1.9,2.6,1.3,8.2,16.3,50.0,3.1,7.0,43.6,5.3,6.1,86.1,5.1,9.3,54.8,1.509,0.59
Tyler Herro G,6,6.0,31.8,23.2,0.5,4.5,5.0,2.3,1.0,0.5,1.2,1.5,2.0,8.3,16.5,50.5,2.5,6.2,40.5,4.0,4.3,92.3,5.8,10.3,56.5,1.404,0.58
Bam Adebayo C,19,19.0,30.8,19.2,1.4,7.5,8.9,2.5,1.0,0.9,1.7,1.3,1.5,6.9,14.4,47.8,1.7,4.9,34.0,3.7,4.6,79.5,5.2,9.5,55.0,1.328,0.54
Andrew Wiggins F,22,22.0,32.9,16.9,1.5,3.4,4.9,2.9,1.0,1.1,1.8,2.5,1.6,6.6,13.6,48.7,1.8,4.7,37.9,1.8,2.6,70.2,4.9,9.0,54.3,1.237,0.55
Jaime Jaquez Jr. F,24,0.0,29.2,15.6,1.4,4.4,5.8,5.0,0.7,0.3,2.1,2.3,2.4,6.3,12.2,51.2,0.3,1.5,22.2,2.8,3.6,76.7,5.9,10.7,55.3,1.276,0.53
Kel'el Ware C,25,16.0,24.1,11.3,3.2,6.9,10.1,0.6,1.0,1.3,1.1,1.9,0.5,4.4,8.1,53.7,1.0,2.3,42.1,1.6,2.0,81.6,3.4,5.8,58.2,1.389,0.6
Simone Fontecchio F,24,0.0,18.6,9.8,0.5,2.5,2.9,1.6,0.5,0.2,1.0,1.7,1.7,3.2,7.8,41.0,2.1,5.6,37.0,1.3,1.6,82.1,1.1,2.2,50.9,1.255,0.54
Davion Mitchell G,24,24.0,30.4,9.8,0.4,2.3,2.7,7.8,1.3,0.0,1.4,2.9,5.5,3.9,7.7,51.1,1.0,2.5,39.3,1.0,1.5,63.9,2.9,5.1,56.9,1.277,0.58
Pelle Larsson G,24,16.0,21.9,8.7,0.5,2.0,2.5,3.2,0.5,0.2,1.0,1.9,3.0,3.0,6.7,44.4,1.0,3.1,33.8,1.8,2.3,77.8,1.9,3.6,53.5,1.306,0.52
Nikola Jovic F,18,1.0,19.3,7.6,0.6,3.1,3.7,2.8,0.6,0.4,1.9,2.2,1.4,2.6,6.6,39.0,0.9,3.3,28.3,1.6,2.2,71.8,1.6,3.2,50.0,1.161,0.46
Dru Smith G,25,1.0,16.8,6.1,0.9,1.7,2.6,2.8,1.4,0.3,1.0,1.6,2.9,2.2,4.9,43.9,0.8,2.1,35.8,1.0,1.3,78.8,1.4,2.8,50.0,1.244,0.52
Keshad Johnson F,9,0.0,11.7,3.9,1.0,2.1,3.1,0.1,0.3,0.4,0.3,1.1,0.3,1.3,3.9,34.3,0.4,1.7,26.7,0.8,1.2,63.6,0.9,2.2,40.0,1.0,0.4
Jahmir Young G,5,0.0,4.8,2.0,0.0,0.4,0.4,0.8,0.2,0.0,0.4,0.6,2.0,0.8,2.2,36.4,0.4,1.0,40.0,0.0,0.0,0.0,0.4,1.2,33.3,0.909,0.45
Myron Gardner F,4,0.0,2.3,1.5,0.0,0.5,0.5,0.3,0.0,0.0,0.0,1.0,inf,0.5,0.5,100.0,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5
Kasparas Jakucionis G,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Total,25,,,121.7,10.3,35.1,45.4,29.4,8.7,4.8,13.6,19.8,2.2,44.4,92.7,47.8,12.9,34.9,36.9,20.1,25.6,78.6,31.5,57.8,54.4,1.313,0.55
