Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position
Pascal Siakam,24,24.0,34.2,24.3,1.6,5.4,7.0,4.0,1.3,0.5,2.1,2.8,1.9,8.9,18.6,48.0,1.8,4.8,36.5,4.7,6.9,68.5,7.2,13.8,52.0,1.307,0.53,False,F
Bennedict Mathurin,14,14.0,32.6,20.4,0.9,4.7,5.6,2.3,0.7,0.2,2.8,3.0,0.8,6.3,13.9,45.1,2.7,6.4,42.2,5.1,6.1,83.7,3.6,7.5,47.6,1.467,0.55,False,G
Andrew Nembhard,17,17.0,31.3,17.9,0.3,2.0,2.3,6.6,0.9,0.2,2.4,2.4,2.8,5.9,13.6,43.3,1.8,4.9,36.1,4.4,5.1,85.1,4.1,8.7,47.3,1.316,0.5,False,G
Aaron Nesmith,11,11.0,30.5,15.5,1.5,2.9,4.5,1.5,0.8,0.3,0.7,2.5,2.1,4.9,13.4,36.7,2.8,7.5,37.3,2.8,3.5,79.5,2.1,5.8,35.9,1.156,0.47,False,G
Obi Toppin,3,0.0,27.3,14.0,1.0,5.7,6.7,1.7,1.0,0.0,2.0,2.3,0.8,5.0,12.0,41.7,1.0,5.7,17.6,3.0,3.0,100.0,4.0,6.3,63.2,1.167,0.46,False,F
Quenton Jackson,5,3.0,20.2,11.8,1.0,2.4,3.4,3.6,1.0,0.2,1.2,2.0,3.0,4.0,7.4,54.1,1.2,2.4,50.0,2.6,3.6,72.2,2.8,5.0,56.0,1.595,0.62,False,G
Jarace Walker,25,12.0,25.7,9.6,0.6,4.4,5.0,2.1,0.6,0.4,2.0,1.8,1.1,3.1,8.9,34.7,1.4,4.6,31.3,2.0,2.4,81.7,1.6,4.3,38.3,1.077,0.43,False,F
T.J. McConnell,15,0.0,16.7,9.5,0.2,2.2,2.4,4.3,1.2,0.2,0.7,1.3,5.9,4.5,8.7,51.9,0.4,1.1,35.3,0.1,0.1,100.0,4.1,7.6,54.4,1.092,0.54,False,G
Jay Huff,25,9.0,19.2,7.9,1.1,2.6,3.7,1.3,0.3,2.5,0.7,2.3,1.9,2.7,6.4,42.2,1.4,4.5,32.1,1.0,1.3,78.8,1.3,2.0,65.3,1.23,0.53,False,C
Isaiah Jackson,25,14.0,18.6,7.7,2.5,3.3,5.8,0.8,0.8,0.8,1.2,3.1,0.7,3.0,5.1,59.1,0.0,0.0,0.0,1.7,2.2,76.8,3.0,5.1,59.1,1.52,0.59,False,F
Ben Sheppard,22,11.0,25.0,6.5,0.8,3.3,4.1,2.0,0.6,0.1,0.7,2.0,2.9,2.4,6.7,35.4,1.1,4.0,27.3,0.7,0.9,78.9,1.3,2.7,47.5,0.973,0.44,False,G
Mac McClung,3,0.0,11.3,6.3,0.0,1.3,1.3,0.3,1.7,0.3,0.7,2.0,0.5,2.3,6.0,38.9,0.7,3.3,20.0,1.0,1.3,75.0,1.7,2.7,62.5,1.056,0.44,False,G
Ethan Thompson,5,2.0,21.0,6.2,0.8,1.0,1.8,1.4,0.6,0.4,0.0,2.6,inf,2.2,4.4,50.0,1.4,3.2,43.8,0.4,0.6,66.7,0.8,1.2,66.7,1.409,0.66,False,G
Garrison Mathews,10,1.0,14.7,5.1,0.2,1.0,1.2,0.7,0.3,0.2,0.3,1.3,2.3,1.3,3.7,35.1,1.1,3.4,32.4,1.4,1.7,82.4,0.2,0.3,66.7,1.378,0.5,False,G
RayJ Dennis,13,0.0,12.9,4.9,0.6,1.0,1.6,2.0,0.2,0.3,1.1,1.2,1.9,1.7,5.5,30.6,0.9,2.9,31.6,0.6,0.7,88.9,0.8,2.6,29.4,0.889,0.39,False,G
Tony Bradley,22,3.0,11.7,4.8,1.6,1.0,2.6,0.6,0.1,0.2,0.4,2.0,1.6,1.9,3.3,58.3,0.0,0.0,0.0,1.0,1.3,72.4,1.9,3.2,59.2,1.458,0.58,False,C
Jeremiah Robinson-Earl,17,3.0,17.6,4.6,1.9,3.3,5.2,0.7,0.4,0.1,0.6,1.4,1.2,1.7,4.9,34.9,0.5,1.9,24.2,0.8,0.8,92.9,1.2,2.9,42.0,0.952,0.4,False,F
James Wiseman,1,1.0,20.0,4.0,4.0,0.0,4.0,0.0,0.0,1.0,3.0,2.0,0.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,1.333,0.67,False,C
Monte Morris,6,0.0,10.8,3.0,0.2,1.0,1.2,1.5,0.2,0.2,0.3,0.5,4.5,1.2,3.3,35.0,0.3,1.3,25.0,0.3,0.7,50.0,0.8,2.0,41.7,0.9,0.4,False,PG
Johnny Furphy,7,0.0,11.6,1.9,0.3,1.4,1.7,0.1,0.6,0.0,0.7,1.3,0.2,0.7,2.0,35.7,0.4,1.1,37.5,0.0,0.0,0.0,0.3,0.9,33.3,0.929,0.46,False,G
Cody Martin,4,0.0,13.8,1.8,0.3,3.3,3.5,0.5,1.0,0.5,1.0,1.3,0.5,0.5,2.5,20.0,0.0,1.3,0.0,0.8,1.5,50.0,0.5,1.3,40.0,0.7,0.2,False,SF
Taelon Peter,15,0.0,7.1,1.6,0.3,0.8,1.1,0.9,0.1,0.1,0.6,0.4,1.6,0.5,1.9,24.1,0.4,1.8,22.2,0.3,0.3,80.0,0.1,0.1,50.0,0.828,0.34,False,G
Total,25,,,111.0,11.9,32.1,44.0,23.6,7.3,5.5,13.3,23.0,1.8,39.1,90.4,43.3,12.1,36.5,33.2,20.6,26.6,77.7,27.0,53.9,50.1,1.228,0.5,False,Total
