Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Luka Doncic G,18,18.0,37.2,35.0,0.8,8.2,9.0,9.0,1.5,0.6,4.3,2.6,2.1,10.8,23.0,47.1,3.6,10.6,33.7,9.8,12.2,80.4,7.3,12.4,58.5,1.522,0.55
Austin Reaves G,21,21.0,36.9,27.8,0.8,4.8,5.6,6.7,1.0,0.2,3.3,2.3,2.0,8.5,16.9,50.3,2.8,7.6,36.9,8.0,9.1,87.5,5.7,9.2,61.3,1.647,0.59
LeBron James F,8,8.0,33.5,16.5,0.8,5.3,6.0,7.6,0.6,0.6,2.0,1.5,3.8,6.5,13.9,46.8,1.4,4.5,30.6,2.1,3.5,60.7,5.1,9.4,54.7,1.189,0.52
Deandre Ayton C,22,22.0,29.3,15.1,2.8,6.0,8.8,0.9,0.7,1.0,1.9,2.6,0.5,7.0,10.0,70.0,0.0,0.0,0.0,1.1,1.6,66.7,7.0,10.0,70.0,1.509,0.7
Rui Hachimura F,23,23.0,33.0,13.7,0.8,3.0,3.7,0.8,0.5,0.2,1.0,1.7,0.9,5.3,9.8,54.0,2.0,4.2,46.9,1.2,1.6,75.0,3.3,5.7,59.2,1.398,0.64
Marcus Smart G,15,9.0,26.9,10.4,0.6,1.7,2.3,2.8,1.7,0.3,1.9,2.9,1.5,3.4,7.9,42.9,1.6,5.1,31.2,2.0,2.1,93.8,1.8,2.8,64.3,1.311,0.53
Jake LaRavia F,24,7.0,24.5,8.5,1.0,2.6,3.7,1.8,1.2,0.3,1.1,2.1,1.6,3.1,6.8,46.0,1.0,2.9,32.9,1.3,1.9,68.9,2.2,3.9,55.9,1.252,0.53
Nick Smith Jr. G,9,0.0,14.8,7.8,0.1,1.0,1.1,1.6,0.8,0.2,1.2,0.6,1.3,2.9,6.2,46.4,1.6,3.2,48.3,0.4,0.7,66.7,1.3,3.0,44.4,1.25,0.59
Dalton Knecht F,20,1.0,15.1,6.4,0.5,1.4,1.9,0.6,0.4,0.4,0.4,1.3,1.5,2.4,5.1,47.1,1.1,2.9,36.2,0.5,0.8,66.7,1.4,2.2,61.4,1.245,0.57
Jaxson Hayes C,21,2.0,16.8,5.2,1.2,2.7,4.0,1.0,0.3,0.8,0.4,1.7,2.2,2.1,3.0,72.6,0.0,0.0,100.0,0.9,1.4,62.1,2.1,2.9,72.1,1.758,0.73
Gabe Vincent G,13,6.0,21.7,4.7,0.3,0.6,0.9,1.5,0.5,0.1,0.5,2.6,3.3,1.5,4.2,34.5,1.2,3.4,36.4,0.5,0.5,100.0,0.2,0.8,27.3,1.109,0.49
Jarred Vanderbilt F,15,2.0,17.3,4.3,1.3,3.9,5.2,1.5,0.9,0.3,1.5,1.9,1.0,1.5,3.4,43.1,0.3,1.0,26.7,1.1,1.3,84.2,1.2,2.4,50.0,1.255,0.47
Bronny James G,14,1.0,8.9,1.9,0.3,0.4,0.6,1.5,0.6,0.1,0.8,0.9,1.9,0.7,2.2,32.3,0.3,1.0,28.6,0.1,0.1,100.0,0.4,1.2,35.3,0.839,0.39
Maxi Kleber F,10,0.0,12.1,1.8,0.6,1.2,1.8,0.6,0.2,0.3,0.2,1.6,3.0,0.6,1.5,40.0,0.3,0.8,37.5,0.3,0.4,75.0,0.3,0.7,42.9,1.2,0.5
Adou Thiero F,9,0.0,5.8,1.1,0.4,0.2,0.7,0.1,0.3,0.0,0.3,1.0,0.3,0.3,0.6,60.0,0.0,0.0,0.0,0.4,0.6,80.0,0.3,0.6,60.0,2.0,0.6
Drew Timme F,2,0.0,4.0,1.0,0.5,0.5,1.0,1.5,0.5,0.0,0.0,0.0,inf,0.5,1.0,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,100.0,1.0,0.5
Christian Koloko C,2,0.0,3.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Manon G,2,0.0,3.5,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,24,,,118.3,9.3,31.8,41.1,25.3,8.0,4.0,14.7,19.4,1.7,42.0,82.8,50.7,12.0,33.3,36.1,22.4,28.1,79.6,29.9,49.5,60.5,1.429,0.58
