Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Zion Williamson F,10,10.0,30.9,22.1,2.3,3.3,5.6,4.0,1.6,0.5,3.1,2.3,1.3,7.4,14.5,51.0,0.0,0.3,0.0,7.3,10.1,72.3,7.4,14.2,52.1,1.524,0.51
Trey Murphy III F,24,24.0,35.5,21.2,1.4,5.0,6.4,3.6,1.8,0.2,2.1,2.2,1.7,7.4,15.3,48.6,2.7,7.5,36.1,3.6,4.0,90.6,4.7,7.8,60.8,1.388,0.58
Jordan Poole G,8,4.0,29.8,17.9,0.4,1.3,1.6,3.4,0.4,0.4,2.0,2.5,1.7,5.4,14.8,36.4,2.9,8.8,32.9,4.3,4.4,97.1,2.5,6.0,41.7,1.212,0.46
Jeremiah Fears G,26,24.0,27.6,15.5,0.7,2.8,3.5,3.1,1.4,0.2,2.3,2.0,1.4,5.8,13.2,44.4,1.2,3.3,36.5,2.6,3.3,80.0,4.7,9.9,47.1,1.178,0.49
Saddiq Bey G,25,17.0,29.4,14.3,1.9,4.1,6.0,2.3,0.9,0.1,0.6,1.0,3.6,5.1,11.4,45.1,1.8,5.2,34.6,2.3,3.0,76.0,3.3,6.2,53.9,1.261,0.53
Derik Queen C,26,14.0,25.3,13.0,1.7,4.7,6.3,4.0,1.0,0.8,2.2,3.3,1.8,4.9,9.7,50.4,0.1,0.7,11.1,3.2,4.0,79.8,4.8,9.0,53.4,1.345,0.51
Herbert Jones F,18,18.0,29.1,9.6,1.1,2.8,3.9,2.3,1.5,0.3,1.4,3.6,1.6,3.5,8.8,39.6,1.4,4.1,34.2,1.2,1.6,78.6,2.1,4.8,44.2,1.088,0.47
Jose Alvarado G,25,0.0,22.5,8.9,0.4,2.5,2.9,3.3,1.0,0.1,1.4,2.0,2.4,3.3,7.5,43.8,1.8,4.7,37.6,0.6,0.7,83.3,1.5,2.8,54.3,1.193,0.56
Bryce McGowens G,16,5.0,18.2,8.8,0.2,1.9,2.1,1.6,0.5,0.3,0.3,1.4,5.0,2.9,5.6,52.2,0.9,1.8,53.6,1.9,2.5,77.5,2.0,3.9,51.6,1.556,0.61
Yves Missi C,19,6.0,19.2,5.7,3.3,2.3,5.6,1.2,0.2,1.1,1.0,1.9,1.2,2.5,4.5,55.3,0.0,0.0,0.0,0.7,1.4,53.8,2.5,4.5,55.3,1.271,0.55
Jordan Hawkins G,22,0.0,14.4,5.1,0.4,1.3,1.6,0.9,0.1,0.1,0.5,0.6,1.9,1.9,5.5,34.2,1.0,3.1,33.3,0.4,0.5,66.7,0.8,2.3,35.3,0.942,0.44
Micah Peavy G,22,1.0,16.1,4.9,1.0,1.4,2.5,1.1,0.6,0.1,0.4,1.7,2.7,2.0,5.1,40.2,0.3,1.6,20.0,0.5,0.6,71.4,1.7,3.5,49.4,0.955,0.43
Karlo Matkovic F,16,0.0,10.9,4.8,0.6,2.1,2.7,0.9,0.1,0.6,0.4,1.3,2.0,2.1,3.0,70.8,0.3,0.6,50.0,0.2,0.5,37.5,1.8,2.4,76.3,1.583,0.76
Trey Alexander G,3,0.0,12.3,4.7,0.0,1.3,1.3,1.3,0.3,0.3,0.3,1.3,4.0,2.0,3.0,66.7,0.7,1.0,66.7,0.0,0.0,0.0,1.3,2.0,66.7,1.556,0.78
DeAndre Jordan C,2,1.0,11.5,4.5,2.0,3.0,5.0,0.0,0.0,0.0,0.5,0.5,0.0,2.0,2.5,80.0,0.0,0.0,0.0,0.5,1.0,50.0,2.0,2.5,80.0,1.8,0.8
Kevon Looney F,12,6.0,12.9,2.7,1.7,2.3,3.9,1.4,0.3,0.4,0.5,2.1,2.8,1.2,2.8,42.4,0.1,0.6,14.3,0.3,0.5,50.0,1.1,2.2,50.0,0.97,0.44
Hunter Dickinson C,1,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,0.5
Total,26,,,114.2,12.6,29.9,42.5,24.8,9.1,3.6,13.4,20.7,1.8,41.8,90.7,46.1,11.1,31.8,34.8,19.6,25.0,78.3,30.7,58.8,52.2,1.26,0.52
