Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Coby White G,8,6.0,29.3,21.9,0.3,2.8,3.0,5.0,0.5,0.0,2.9,2.0,1.7,6.6,15.5,42.7,2.1,7.1,29.8,6.5,8.1,80.0,4.5,8.4,53.7,1.411,0.5
Josh Giddey G,22,22.0,34.1,20.5,1.3,8.1,9.4,9.0,1.0,0.5,3.7,1.9,2.4,7.1,14.9,48.0,1.8,4.5,40.0,4.5,6.0,74.8,5.3,10.3,51.5,1.382,0.54
Nikola Vucevic C,23,23.0,30.0,15.7,2.2,7.0,9.2,3.4,0.7,0.3,1.7,2.3,2.0,6.3,13.0,48.7,1.8,4.8,38.2,1.3,1.7,76.9,4.5,8.2,54.8,1.215,0.56
Ayo Dosunmu G,20,7.0,27.8,15.2,0.4,2.3,2.7,3.2,0.6,0.3,1.4,1.8,2.3,5.5,10.5,51.9,1.9,4.0,47.5,2.4,2.8,85.7,3.6,6.5,54.6,1.448,0.61
Matas Buzelis F,24,24.0,28.4,13.8,1.2,4.3,5.5,1.6,0.9,1.4,2.0,2.8,0.8,5.0,10.8,46.9,1.5,4.5,32.4,2.3,2.8,81.8,3.6,6.3,57.3,1.283,0.54
Tre Jones G,18,11.0,28.4,12.8,0.6,2.6,3.2,4.9,1.6,0.2,1.6,1.6,3.0,4.3,8.3,51.7,0.4,1.5,29.6,3.8,4.5,85.2,3.8,6.8,56.6,1.55,0.54
Kevin Huerter G,19,8.0,24.1,11.9,0.5,2.8,3.3,2.4,0.8,0.7,1.3,2.2,1.9,4.5,9.6,47.3,1.4,4.7,30.0,1.5,1.7,84.8,3.1,4.8,64.1,1.247,0.55
Jalen Smith F,19,0.0,17.1,9.7,2.0,4.1,6.1,1.2,0.3,0.7,0.9,1.9,1.3,3.6,7.7,47.3,1.6,4.2,37.5,0.9,1.2,73.9,2.1,3.5,59.1,1.267,0.58
Zach Collins F,3,0.0,19.7,9.0,2.3,3.7,6.0,1.3,0.0,0.7,0.3,1.7,4.0,3.3,6.3,52.6,1.0,2.3,42.9,1.3,1.7,80.0,2.3,4.0,58.3,1.421,0.61
Isaac Okoro F,16,16.0,24.9,8.6,1.1,1.6,2.7,1.6,0.4,0.6,0.9,3.1,1.7,3.3,6.8,47.7,1.1,3.1,36.7,1.0,1.3,76.2,2.1,3.8,56.7,1.266,0.56
Patrick Williams F,23,1.0,21.1,7.6,0.8,2.5,3.3,1.3,1.0,0.3,1.0,1.7,1.2,2.6,6.7,38.7,1.5,3.7,41.7,0.8,1.3,65.5,1.1,3.1,35.2,1.123,0.5
Jevon Carter G,14,0.0,14.3,6.9,0.4,1.1,1.4,1.2,0.8,0.0,0.6,1.1,2.1,2.2,5.4,40.8,1.7,4.1,42.1,0.7,0.7,100.0,0.5,1.4,36.8,1.263,0.57
Emanuel Miller F,5,0.0,6.6,3.0,0.2,0.4,0.6,0.8,0.4,0.0,0.0,0.4,inf,1.2,2.6,46.2,0.4,1.2,33.3,0.2,0.4,50.0,0.8,1.4,57.1,1.154,0.54
Dalen Terry F,14,0.0,11.3,3.0,0.6,1.2,1.8,1.4,0.8,0.3,0.7,1.2,2.0,1.3,2.7,47.4,0.2,1.0,21.4,0.2,0.5,42.9,1.1,1.7,62.5,1.105,0.51
Julian Phillips F,22,2.0,10.1,2.8,0.7,0.6,1.4,0.3,0.5,0.2,0.1,1.0,3.5,1.1,2.5,43.6,0.4,1.4,30.0,0.2,0.3,83.3,0.7,1.1,60.0,1.127,0.52
Trentyn Flowers F,2,0.0,3.0,2.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,1.0,1.5,66.7,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.333,0.67
Lachlan Olbrich C,5,0.0,7.2,0.4,0.6,1.6,2.2,0.6,0.0,0.0,0.4,1.6,1.5,0.2,1.2,16.7,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.6,33.3,0.333,0.17
Noa Essengue F,2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Total,24,,,117.8,10.5,34.9,45.4,28.5,7.8,4.8,14.8,20.0,1.9,42.5,90.5,47.0,13.8,37.7,36.6,18.9,23.9,79.1,28.8,52.8,54.5,1.302,0.55
