Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Deni Avdija F,25,25.0,34.2,25.4,1.2,6.0,7.2,6.2,0.7,0.7,3.6,3.2,1.8,7.7,16.2,47.3,2.4,6.5,37.4,7.6,9.5,80.6,5.2,9.7,53.9,1.567,0.55
Shaedon Sharpe G,21,15.0,28.3,21.1,1.1,3.5,4.7,2.3,1.3,0.2,2.8,2.3,0.8,7.7,17.3,44.4,1.7,6.0,28.3,4.0,5.2,78.0,6.0,11.2,53.0,1.22,0.49
Jerami Grant F,24,12.0,29.8,19.3,1.2,2.7,3.9,2.6,0.8,0.6,2.1,3.0,1.2,5.7,13.3,43.1,2.3,6.0,38.2,5.6,6.5,86.0,3.4,7.3,47.1,1.459,0.52
Jrue Holiday G,12,12.0,33.4,16.7,1.3,3.9,5.3,8.3,1.6,0.3,2.9,2.0,2.8,6.2,13.8,44.6,2.6,7.1,36.5,1.8,2.1,84.0,3.6,6.8,53.1,1.205,0.54
Toumani Camara F,25,25.0,33.4,12.5,2.0,3.3,5.3,2.8,1.0,0.6,2.0,3.3,1.4,4.5,10.8,41.6,2.4,7.0,34.1,1.2,1.6,70.7,2.1,3.7,55.9,1.164,0.53
Donovan Clingan C,21,21.0,25.2,10.0,4.6,5.6,10.2,1.7,0.6,1.4,0.8,2.5,2.1,3.9,8.0,48.2,0.7,2.8,24.1,1.6,2.0,81.0,3.2,5.2,60.9,1.25,0.52
Caleb Love G,17,0.0,18.2,8.1,0.6,2.0,2.6,2.1,0.4,0.0,0.9,1.2,2.3,3.0,9.0,33.3,1.4,5.5,24.7,0.7,0.9,80.0,1.6,3.5,46.7,0.895,0.41
Blake Wesley G,6,0.0,16.3,6.0,0.3,2.0,2.3,3.2,1.7,0.2,1.2,2.3,2.7,2.3,5.7,41.2,0.3,1.7,20.0,1.0,1.7,60.0,2.0,4.0,50.0,1.059,0.44
Sidy Cissoko G,20,10.0,19.1,5.7,0.8,1.5,2.3,1.3,0.5,0.2,1.0,2.5,1.4,2.1,4.7,43.6,0.9,2.7,34.0,0.7,1.0,68.4,1.2,2.1,56.1,1.202,0.53
Robert Williams III C,15,1.0,15.3,5.6,2.1,3.3,5.5,0.7,0.6,1.7,0.4,1.3,1.8,2.7,4.0,66.7,0.1,0.5,12.5,0.2,0.5,42.9,2.6,3.5,75.0,1.4,0.68
Kris Murray F,23,3.0,24.9,5.5,1.9,2.1,4.0,1.1,1.2,0.3,1.0,2.0,1.1,2.2,4.9,44.2,0.5,2.0,25.5,0.7,1.0,68.2,1.7,2.9,57.6,1.124,0.5
Matisse Thybulle G,4,0.0,12.3,5.0,0.0,1.0,1.0,0.8,2.5,0.0,0.3,1.8,3.0,1.5,2.5,60.0,1.0,1.5,66.7,1.0,1.0,100.0,0.5,1.0,50.0,2.0,0.8
Duop Reath C,20,0.0,8.5,3.8,0.3,0.7,1.0,0.3,0.2,0.2,0.3,0.9,1.0,1.4,2.6,51.9,1.0,1.9,50.0,0.1,0.2,66.7,0.4,0.7,57.1,1.442,0.7
Yang Hansen C,13,1.0,7.7,2.6,0.5,1.3,1.8,0.8,0.0,0.4,0.7,1.0,1.1,0.9,3.1,30.0,0.1,1.2,6.3,0.7,0.8,90.0,0.8,1.8,45.8,0.85,0.31
Rayan Rupert G,18,0.0,8.6,2.1,0.3,1.4,1.8,0.4,0.4,0.1,0.5,1.1,0.8,0.8,2.3,36.6,0.3,1.1,30.0,0.1,0.2,50.0,0.5,1.2,42.9,0.927,0.44
Javonte Cooke G,5,0.0,6.2,1.4,0.2,0.4,0.6,1.0,0.2,0.0,0.8,0.2,1.3,0.6,2.4,25.0,0.2,1.0,20.0,0.0,0.0,0.0,0.4,1.4,28.6,0.583,0.29
Total,25,,,117.5,14.7,30.9,45.6,24.7,8.2,5.2,16.0,22.6,1.5,40.6,92.0,44.2,13.8,42.0,32.8,22.4,28.2,79.6,26.9,50.0,53.8,1.278,0.52
