Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Stephen Curry G,17,17.0,31.1,28.5,0.4,3.4,3.8,4.1,1.2,0.5,3.1,2.2,1.3,9.4,19.9,47.3,4.8,12.2,39.1,4.9,5.5,90.3,4.6,7.7,60.3,1.435,0.59
Jimmy Butler III F,22,22.0,31.0,19.3,2.2,3.6,5.8,5.0,1.5,0.2,1.4,1.2,3.7,6.0,11.5,52.0,0.9,2.0,44.4,6.5,7.6,84.5,5.0,9.4,53.6,1.683,0.56
Jonathan Kuminga F,17,13.0,25.6,12.4,1.6,4.7,6.3,2.6,0.3,0.4,2.5,1.8,1.0,4.5,10.4,43.8,0.9,2.9,32.0,2.4,3.2,74.1,3.6,7.4,48.4,1.193,0.48
Brandin Podziemski G,26,11.0,27.5,12.1,0.7,3.9,4.6,3.1,1.2,0.2,1.5,2.1,2.1,4.2,9.7,43.8,1.9,4.8,39.2,1.8,2.3,76.7,2.3,4.8,48.4,1.255,0.54
De'Anthony Melton G,3,0.0,19.7,12.0,0.3,1.0,1.3,1.7,1.7,0.3,1.7,2.7,1.0,3.7,8.7,42.3,1.0,3.7,27.3,3.7,4.7,78.6,2.7,5.0,53.3,1.385,0.48
Moses Moody G,24,13.0,24.8,11.6,0.9,2.4,3.3,1.5,1.0,0.7,1.2,2.0,1.3,3.7,9.0,41.0,2.4,6.1,38.8,1.8,2.2,83.0,1.3,2.9,45.7,1.286,0.54
Draymond Green F,20,20.0,28.2,8.0,0.8,5.3,6.1,5.5,0.8,0.9,3.0,3.6,1.8,2.9,7.6,38.2,1.6,4.7,33.3,0.7,1.1,61.9,1.4,3.0,45.8,1.053,0.48
Buddy Hield G,26,3.0,18.8,8.0,0.7,1.9,2.6,1.7,0.9,0.1,1.1,1.4,1.5,2.9,7.2,40.6,1.5,4.7,31.1,0.7,0.7,94.4,1.5,2.5,58.5,1.107,0.51
Will Richard G,23,12.0,19.1,8.0,1.0,1.7,2.7,1.1,1.0,0.0,0.7,2.0,1.7,2.8,5.3,53.3,1.3,3.2,39.7,1.0,1.3,77.4,1.6,2.1,73.5,1.5,0.65
Quinten Post C,26,12.0,18.1,7.7,0.9,3.2,4.1,1.4,0.6,0.6,0.8,1.8,1.7,2.8,6.5,44.0,1.5,4.3,35.1,0.5,0.6,81.3,1.3,2.2,61.4,1.19,0.56
Pat Spencer G,18,3.0,16.4,7.7,0.8,1.8,2.6,3.3,0.8,0.1,0.9,1.4,3.5,2.9,6.4,45.7,0.8,1.8,42.4,1.0,1.1,90.0,2.2,4.6,47.0,1.19,0.52
Seth Curry SG,2,0.0,16.0,7.0,0.5,1.5,2.0,1.5,1.0,0.0,0.0,1.5,inf,3.0,4.5,66.7,1.0,2.0,50.0,0.0,0.0,0.0,2.0,2.5,80.0,1.556,0.78
Al Horford C,13,1.0,21.5,5.6,0.8,3.5,4.4,2.0,1.0,1.0,1.2,1.5,1.6,1.9,6.0,32.1,1.3,4.4,29.8,0.5,0.5,100.0,0.6,1.6,38.1,0.936,0.43
Trayce Jackson-Davis F,16,1.0,12.8,4.6,1.6,1.8,3.4,1.1,0.3,0.7,0.5,1.4,2.1,1.8,3.2,54.9,0.0,0.0,0.0,1.1,1.6,65.4,1.8,3.2,54.9,1.431,0.55
Gary Payton II G,25,1.0,12.0,3.9,0.8,2.1,2.9,1.6,0.6,0.2,0.7,1.5,2.2,1.7,3.6,47.8,0.3,1.2,27.6,0.1,0.1,100.0,1.4,2.4,57.4,1.078,0.52
Gui Santos F,19,1.0,9.2,3.3,0.8,1.0,1.8,0.6,0.3,0.1,0.8,1.3,0.7,1.2,2.9,40.0,0.5,1.7,27.3,0.5,0.7,71.4,0.7,1.2,59.1,1.145,0.48
Total,26,,,113.7,11.3,32.1,43.4,27.4,9.6,4.3,15.2,20.8,1.8,39.5,88.0,44.9,15.9,43.8,36.2,18.8,23.0,81.7,23.7,44.2,53.6,1.292,0.54
