Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
James Harden G,24,24.0,35.5,26.6,0.5,4.8,5.3,8.2,1.3,0.4,4.0,2.2,2.1,7.7,17.5,44.0,3.5,9.6,36.8,7.6,8.5,89.7,4.2,7.9,52.9,1.519,0.54
Kawhi Leonard F,15,15.0,32.3,25.3,0.7,5.0,5.7,3.1,2.1,0.4,1.8,1.6,1.7,9.1,18.7,48.6,2.3,6.1,38.0,4.8,4.9,97.3,6.7,12.5,53.7,1.354,0.55
Ivica Zubac C,25,25.0,32.8,16.6,3.6,7.9,11.4,2.6,0.5,1.0,1.9,2.6,1.3,7.3,11.8,61.5,0.0,0.0,0.0,2.0,2.9,69.9,7.3,11.8,61.5,1.402,0.61
John Collins F,25,16.0,26.9,12.1,1.3,3.4,4.6,0.7,0.8,0.6,1.5,2.3,0.5,4.7,9.4,49.6,0.9,3.0,29.7,1.8,2.3,80.7,3.8,6.5,58.6,1.28,0.54
Derrick Jones Jr. F,13,13.0,24.9,10.5,0.8,1.5,2.4,1.1,0.8,1.2,0.8,2.0,1.4,3.8,7.1,53.3,1.2,3.5,34.8,1.7,2.2,78.6,2.5,3.5,71.7,1.478,0.62
Bogdan Bogdanovic G,11,2.0,25.3,9.3,0.3,3.1,3.4,3.1,0.7,0.1,1.2,2.6,2.6,3.1,7.8,39.5,1.7,4.9,35.2,1.4,1.5,88.2,1.4,2.9,46.9,1.186,0.51
Jordan Miller G,4,0.0,13.5,8.5,0.8,1.5,2.3,0.8,0.5,0.0,0.8,0.8,1.0,2.3,4.8,47.4,1.3,2.5,50.0,2.8,3.0,91.7,1.0,2.3,44.4,1.789,0.61
Bradley Beal G,6,6.0,20.2,8.2,0.3,0.5,0.8,1.7,0.5,0.0,1.5,2.3,1.1,3.0,8.0,37.5,1.2,3.2,36.8,1.0,1.3,75.0,1.8,4.8,37.9,1.021,0.45
Kris Dunn G,25,19.0,26.3,7.7,0.8,1.9,2.7,2.8,1.7,0.2,1.3,2.3,2.2,3.0,6.2,48.1,0.9,2.6,35.4,0.8,1.1,74.1,2.1,3.6,57.1,1.237,0.55
Kobe Sanders G,17,3.0,19.4,6.5,0.5,1.4,1.9,1.3,0.6,0.1,1.4,2.5,1.0,2.1,5.1,41.4,0.9,2.7,34.8,1.3,1.4,91.7,1.2,2.4,48.8,1.264,0.51
Brook Lopez C,19,0.0,14.1,5.8,0.2,1.5,1.7,0.5,0.3,0.8,0.7,1.7,0.6,2.1,5.3,39.0,1.3,3.6,35.3,0.4,0.6,72.7,0.8,1.7,46.9,1.1,0.51
Nicolas Batum F,25,2.0,19.7,4.5,0.5,2.2,2.8,0.8,0.8,0.4,0.7,2.0,1.1,1.4,3.8,37.9,1.4,3.6,37.8,0.2,0.3,85.7,0.1,0.2,40.0,1.179,0.56
Cam Christie G,16,0.0,11.5,4.4,0.5,1.8,2.3,0.6,0.4,0.1,0.4,0.7,1.5,1.3,3.8,34.4,0.6,1.8,31.0,1.3,1.8,71.4,0.8,2.0,37.5,1.164,0.42
Kobe Brown G,16,0.0,12.0,3.8,0.6,1.6,2.2,1.1,0.4,0.1,0.6,0.6,1.7,1.3,3.2,41.2,0.6,2.1,27.3,0.6,0.8,83.3,0.8,1.1,66.7,1.196,0.5
Chris Paul G,16,0.0,14.3,2.9,0.4,1.4,1.8,3.3,0.7,0.0,1.0,1.4,3.3,1.1,3.5,32.1,0.6,1.9,33.3,0.1,0.1,50.0,0.5,1.6,30.8,0.839,0.41
Yanic Konan Niederhauser C,11,0.0,5.2,2.8,0.6,0.7,1.4,0.3,0.0,0.3,0.3,0.4,1.0,1.2,1.6,72.2,0.0,0.0,0.0,0.5,0.9,50.0,1.2,1.6,72.2,1.722,0.72
Jahmyl Telfort F,8,0.0,4.0,0.1,0.0,0.4,0.4,0.1,0.1,0.0,0.1,0.6,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.1,0.5,25.0,0.0,0.0,0.0,0.25,0.0
Total,25,,,111.6,9.6,31.0,40.7,23.6,8.9,4.4,14.6,20.2,1.6,39.6,84.2,47.0,12.6,35.6,35.2,20.0,23.9,83.4,27.0,48.6,55.6,1.326,0.54
