Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position
Jaylen Brown,24,24.0,33.5,29.1,1.2,4.9,6.1,4.8,1.1,0.4,3.6,3.1,1.3,10.7,21.4,49.9,2.1,5.8,36.7,5.7,7.2,79.1,8.5,15.6,54.8,1.363,0.55,False,G
Derrick White,24,24.0,33.0,17.2,0.8,3.2,4.0,5.2,1.4,1.3,1.8,2.0,2.8,6.0,15.3,38.9,3.0,9.1,33.3,2.3,2.7,84.4,2.9,6.2,47.0,1.122,0.49,False,G
Payton Pritchard,25,25.0,32.3,16.8,1.1,3.2,4.3,5.0,0.7,0.1,1.2,1.7,4.2,6.2,14.0,44.3,2.7,8.1,33.7,1.7,2.0,86.0,3.5,5.9,58.8,1.203,0.54,False,G
Anfernee Simons,25,0.0,23.7,13.1,0.4,1.8,2.2,2.5,0.5,0.2,1.0,2.0,2.4,4.6,10.7,43.3,2.4,6.1,39.2,1.4,1.6,87.8,2.2,4.6,48.7,1.224,0.54,False,G
Neemias Queta,23,23.0,24.3,10.1,3.3,5.0,8.3,1.6,0.7,1.3,0.8,3.1,1.9,4.4,6.7,65.2,0.0,0.1,0.0,1.3,2.1,61.2,4.4,6.6,66.4,1.497,0.65,False,C
Jordan Walsh,21,13.0,21.5,7.7,1.8,3.2,5.0,1.0,1.2,0.6,0.6,2.9,1.8,3.0,4.9,60.2,0.9,1.9,48.7,0.9,1.0,81.8,2.0,3.0,67.2,1.563,0.69,False,G
Josh Minott,24,9.0,19.2,7.3,1.5,3.0,4.5,1.3,0.8,0.5,0.7,1.7,2.0,2.6,5.1,51.2,1.3,2.8,45.6,0.8,1.0,75.0,1.3,2.3,58.2,1.423,0.64,False,F
Sam Hauser,25,4.0,22.3,6.9,0.7,2.8,3.5,1.4,0.6,0.3,0.5,1.3,2.7,2.4,6.8,34.5,2.0,6.0,34.2,0.1,0.2,75.0,0.3,0.9,36.4,1.006,0.49,False,F
Luka Garza,19,1.0,13.1,6.1,2.0,1.5,3.5,0.8,0.3,0.4,0.4,2.6,1.9,2.1,3.7,57.1,0.6,1.3,44.0,1.3,1.6,77.4,1.5,2.4,64.4,1.643,0.65,False,C
Hugo Gonzalez,20,1.0,11.6,3.6,0.7,1.4,2.1,0.6,0.7,0.2,0.6,1.7,1.0,1.5,2.9,50.9,0.5,1.1,47.6,0.2,0.4,42.9,1.0,1.8,52.8,1.246,0.6,False,G
Baylor Scheierman,21,0.0,12.0,3.2,0.4,1.5,1.9,0.7,0.5,0.1,0.4,1.3,1.9,1.2,2.2,54.3,0.8,1.7,47.2,0.0,0.0,100.0,0.4,0.5,80.0,1.478,0.73,False,G
Xavier Tillman,11,1.0,9.4,2.8,0.9,1.3,2.2,0.5,0.5,0.2,0.4,0.8,1.3,1.3,2.5,50.0,0.3,1.2,23.1,0.0,0.0,0.0,1.0,1.4,73.3,1.107,0.55,False,F
Chris Boucher,8,0.0,11.4,2.3,0.3,2.0,2.3,0.4,0.6,0.9,0.1,2.0,3.0,0.9,2.8,31.8,0.1,1.5,8.3,0.4,0.5,75.0,0.8,1.3,60.0,0.818,0.34,False,F
Ron Harper Jr.,4,0.0,5.0,2.0,0.3,0.5,0.8,1.0,0.3,0.5,0.0,0.5,inf,0.8,2.5,30.0,0.5,2.0,25.0,0.0,0.0,0.0,0.3,0.5,50.0,0.8,0.4,False,G
Amari Williams,6,0.0,5.2,0.5,0.3,0.8,1.2,0.2,0.2,0.3,0.0,0.7,inf,0.2,0.3,50.0,0.0,0.0,0.0,0.2,0.3,50.0,0.2,0.3,50.0,1.5,0.5,False,F
Total,25,,,116.6,13.0,30.6,43.6,24.4,8.4,5.3,11.1,22.4,2.2,43.0,91.4,47.0,15.9,43.5,36.5,14.8,18.8,78.6,27.1,48.0,56.5,1.275,0.56,False,Total
