Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position
Giannis Antetokounmpo,17,17.0,29.1,28.9,3.3,6.8,10.1,6.1,0.9,0.9,3.3,2.8,1.9,11.1,17.3,63.9,0.6,1.4,43.5,6.2,9.8,63.5,10.5,15.9,65.7,1.673,0.66,False,F
Kevin Porter Jr.,7,7.0,29.3,21.3,0.7,3.7,4.4,6.9,2.0,0.3,2.4,2.0,2.8,7.0,12.4,56.3,3.1,5.3,59.5,4.1,4.6,90.6,3.9,7.1,54.0,1.713,0.69,False,G
Ryan Rollins,26,25.0,32.1,17.2,0.8,3.3,4.1,6.0,1.7,0.3,2.7,2.8,2.3,6.7,14.0,47.4,2.3,5.8,39.3,1.7,2.1,78.2,4.4,8.3,53.0,1.227,0.55,False,G
Kyle Kuzma,25,11.0,26.1,13.5,0.8,3.7,4.5,2.1,0.8,0.5,1.6,2.5,1.4,5.2,10.0,51.4,0.9,2.7,33.8,2.2,3.0,73.7,4.2,7.3,57.9,1.343,0.56,False,F
Myles Turner,26,26.0,28.7,12.3,1.0,4.5,5.6,1.7,0.9,1.7,1.1,2.8,1.5,4.1,9.5,43.1,2.2,5.8,38.2,1.9,2.7,71.4,1.8,3.6,51.1,1.301,0.55,False,C
Bobby Portis,26,2.0,21.9,12.0,1.1,4.7,5.8,1.3,0.5,0.1,1.1,1.6,1.3,4.8,9.9,48.6,1.8,3.8,47.0,0.5,0.9,60.9,3.0,6.0,49.7,1.21,0.58,False,F
AJ Green,24,24.0,29.0,11.3,0.0,2.8,2.8,2.1,0.5,0.1,0.8,2.8,2.6,3.6,7.3,48.9,3.3,6.8,48.5,0.8,1.0,79.2,0.3,0.5,53.8,1.534,0.71,False,G
Gary Trent Jr.,26,15.0,27.7,9.8,0.2,1.2,1.3,1.8,0.8,0.1,0.8,1.6,2.3,3.3,8.4,39.9,2.2,5.9,37.0,0.9,1.1,79.3,1.2,2.5,46.9,1.165,0.53,False,G
Cole Anthony,24,0.0,15.8,7.1,0.4,2.3,2.7,4.1,0.7,0.3,1.9,2.2,2.1,3.0,7.0,43.5,0.6,2.0,28.6,0.5,0.8,55.0,2.5,5.0,49.6,1.018,0.48,False,G
Taurean Prince,8,0.0,21.1,6.1,0.0,1.6,1.6,1.0,0.8,0.3,0.6,2.5,1.6,2.1,4.8,44.7,1.5,3.5,42.9,0.4,0.4,100.0,0.6,1.3,50.0,1.289,0.61,False,F
Mark Sears,7,0.0,3.7,3.1,0.1,0.1,0.3,0.3,0.0,0.0,0.6,0.6,0.5,0.9,1.9,46.2,0.6,1.1,50.0,0.9,1.1,75.0,0.3,0.7,40.0,1.692,0.62,False,G
Pete Nance,6,0.0,2.8,3.0,0.0,0.7,0.7,0.2,0.0,0.0,0.0,0.0,inf,1.2,1.8,63.6,0.7,1.3,50.0,0.0,0.0,0.0,0.5,0.5,100.0,1.636,0.82,False,F
Jericho Sims,20,3.0,14.1,2.7,1.3,2.3,3.6,0.7,0.2,0.3,0.8,1.6,0.8,1.2,1.5,82.8,0.0,0.0,0.0,0.3,0.4,71.4,1.2,1.5,82.8,1.828,0.83,False,C
Gary Harris,17,0.0,14.5,2.1,0.2,1.2,1.4,1.2,0.7,0.2,0.5,1.2,2.3,0.8,1.9,39.4,0.4,1.1,33.3,0.2,0.2,100.0,0.4,0.9,46.7,1.091,0.48,False,G
Thanasis Antetokounmpo,10,0.0,2.5,1.8,0.2,0.2,0.4,0.0,0.3,0.3,0.1,0.7,0.0,0.6,0.9,66.7,0.0,0.0,0.0,0.6,0.9,66.7,0.6,0.9,66.7,2.0,0.67,False,F
Amir Coffey,19,0.0,7.8,1.6,0.2,0.6,0.8,0.4,0.0,0.1,0.1,0.3,8.0,0.5,1.2,43.5,0.2,0.5,30.0,0.4,0.4,100.0,0.4,0.7,53.8,1.304,0.5,False,G
Andre Jackson Jr.,12,0.0,6.4,1.3,0.4,0.4,0.8,1.3,0.4,0.2,0.4,0.9,3.2,0.4,1.3,31.3,0.2,0.7,25.0,0.3,0.3,75.0,0.3,0.7,37.5,0.938,0.38,False,G
Total,26,,,115.1,8.2,31.3,39.5,27.0,8.0,4.4,14.0,22.0,1.9,42.5,85.9,49.4,15.4,37.5,41.0,14.8,20.7,71.6,27.1,48.4,56.0,1.34,0.58,False,Total
