Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Ja Morant G,13,13.0,28.5,18.2,0.5,3.1,3.5,7.8,0.9,0.2,3.8,2.2,2.1,5.9,16.5,35.8,0.9,5.0,18.5,5.4,5.8,92.1,5.0,11.5,43.3,1.098,0.39
Jaren Jackson Jr. F,23,23.0,29.2,16.8,0.9,4.1,5.0,1.9,0.8,1.0,2.0,4.0,1.0,6.2,13.4,46.4,1.5,4.6,32.4,2.9,3.7,76.7,4.7,8.8,53.7,1.253,0.52
Zach Edey C,11,11.0,25.8,13.6,3.9,7.2,11.1,1.1,0.6,1.9,2.4,3.4,0.5,5.6,8.9,63.3,0.1,0.5,20.0,2.3,2.9,78.1,5.5,8.5,65.6,1.531,0.64
Santi Aldama F,25,3.0,26.4,13.5,1.4,5.1,6.5,3.0,1.0,0.7,1.0,1.4,2.9,5.1,10.8,47.2,1.5,4.4,34.2,1.7,2.6,67.2,3.6,6.4,56.3,1.244,0.54
Cedric Coward F,25,12.0,27.2,13.5,1.4,5.0,6.4,2.8,0.6,0.3,1.5,2.0,1.9,4.8,10.6,45.8,1.5,4.6,32.5,2.3,2.8,84.1,3.4,6.0,56.0,1.277,0.53
Jaylen Wells F,25,25.0,26.7,12.4,1.0,2.5,3.5,1.7,0.7,0.0,0.8,2.1,2.2,4.2,9.6,44.4,1.8,5.0,37.1,2.1,2.7,77.9,2.4,4.6,52.2,1.301,0.54
Cam Spencer G,25,1.0,21.4,11.4,0.2,1.9,2.1,3.9,0.8,0.1,1.2,1.6,3.1,3.7,7.4,50.3,2.4,4.8,49.2,1.6,1.8,91.1,1.4,2.6,52.3,1.546,0.66
Jock Landale C,25,13.0,21.6,10.8,2.4,3.2,5.5,1.5,0.5,0.4,1.1,2.6,1.4,4.2,8.0,52.8,1.1,2.5,43.5,1.3,2.0,67.3,3.1,5.5,56.9,1.357,0.6
Kentavious Caldwell-Pope G,25,13.0,21.9,7.6,0.4,1.9,2.3,3.2,0.8,0.2,1.3,0.9,2.5,2.5,6.7,37.7,1.2,3.4,33.7,1.4,1.5,92.1,1.4,3.2,42.0,1.138,0.46
Vince Williams Jr. G,20,11.0,21.9,7.5,0.8,3.6,4.4,5.1,0.9,0.6,2.3,2.1,2.2,2.6,7.7,34.0,1.2,4.3,27.1,1.1,1.4,78.6,1.5,3.4,42.6,0.974,0.42
Javon Small G,8,0.0,12.4,4.3,0.1,0.9,1.0,2.8,0.0,0.1,1.0,0.9,2.8,1.3,3.5,35.7,0.8,2.4,31.6,1.0,1.3,80.0,0.5,1.1,44.4,1.214,0.46
Olivier-Maxence Prosper F,13,0.0,9.4,4.1,0.8,1.6,2.4,0.5,0.2,0.1,0.4,0.6,1.2,1.2,2.8,40.5,0.1,0.7,11.1,1.7,1.8,91.7,1.1,2.2,50.0,1.432,0.42
Charles Bassey C,2,0.0,15.5,3.5,3.5,4.0,7.5,1.0,0.5,0.5,0.5,2.5,2.0,1.5,4.0,37.5,0.0,0.0,0.0,0.5,1.5,33.3,1.5,4.0,37.5,0.875,0.38
John Konchar G,22,0.0,13.0,3.0,0.5,2.1,2.7,1.2,0.9,0.3,0.3,0.9,3.9,1.2,2.3,51.0,0.4,1.3,32.1,0.3,0.4,66.7,0.8,1.0,73.9,1.314,0.6
Jahmai Mashack G,2,0.0,4.5,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,40.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.5,0.0,1.2,0.6
GG Jackson F,8,0.0,6.8,2.5,0.4,1.4,1.8,0.3,0.5,0.1,0.3,0.5,1.0,0.9,3.5,25.0,0.0,1.5,0.0,0.8,1.1,66.7,0.9,2.0,43.8,0.714,0.25
PJ Hall C,7,0.0,3.9,1.9,0.4,0.9,1.3,0.3,0.0,0.3,0.1,0.4,2.0,0.7,1.3,55.6,0.1,0.4,33.3,0.3,0.4,66.7,0.6,0.9,66.7,1.444,0.61
Total,25,,,114.1,11.6,35.0,46.6,28.8,7.5,4.6,14.5,20.4,2.0,40.7,90.6,44.9,13.0,38.1,34.1,19.6,24.5,80.1,27.7,52.5,52.8,1.259,0.52
