Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position
Jalen Johnson,23,23.0,35.1,23.2,1.4,9.0,10.5,8.0,1.6,0.3,3.4,2.1,2.4,8.4,16.0,52.6,1.6,4.1,38.9,4.8,6.0,81.0,6.8,11.8,57.4,1.455,0.58,False,F
Nickeil Alexander-Walker,24,21.0,32.6,20.7,0.8,2.7,3.5,3.3,1.0,0.7,2.2,2.2,1.5,7.0,15.1,46.7,2.9,7.5,39.1,3.7,4.3,86.4,4.1,7.6,54.1,1.373,0.56,False,G
Kristaps Porzingis,13,12.0,25.9,19.2,1.5,4.2,5.6,3.1,0.5,1.6,0.9,3.4,3.3,6.4,12.8,49.7,1.8,5.1,36.4,4.5,5.3,85.5,4.5,7.8,58.4,1.491,0.57,False,C
Trae Young,5,5.0,27.8,17.8,0.0,2.0,2.0,7.8,0.8,0.2,2.0,1.8,3.9,5.2,14.0,37.1,1.0,5.2,19.2,6.4,7.8,82.1,4.2,8.8,47.7,1.271,0.41,False,G
Onyeka Okongwu,25,14.0,30.6,16.0,1.7,5.5,7.2,3.0,0.9,1.2,2.0,3.4,1.5,6.0,12.0,50.3,1.8,5.1,34.6,2.1,2.8,75.7,4.3,6.9,61.8,1.33,0.58,False,F
Zaccharie Risacher,23,23.0,24.8,11.0,0.7,2.1,2.8,1.6,1.1,0.6,0.8,2.0,1.9,4.4,9.7,45.9,1.3,4.3,29.0,0.9,1.3,67.7,3.2,5.3,59.8,1.144,0.52,False,F
Dyson Daniels,26,26.0,33.9,11.0,2.2,4.2,6.3,5.7,2.1,0.3,2.3,2.5,2.4,4.8,10.1,47.7,0.2,1.6,14.3,1.2,1.8,65.2,4.6,8.5,54.1,1.092,0.49,False,G
Vit Krejci,22,1.0,23.8,10.0,0.4,1.9,2.3,1.8,0.8,0.3,0.9,2.2,2.0,3.5,7.0,50.0,2.5,5.6,45.5,0.5,0.7,68.8,1.0,1.4,67.7,1.435,0.68,False,G
Luke Kennard,23,0.0,20.5,7.3,0.5,1.4,1.9,2.3,0.8,0.0,1.0,1.2,2.3,2.5,5.3,47.2,1.4,3.3,42.7,0.9,0.9,95.2,1.1,2.1,54.2,1.366,0.6,False,G
Mouhamed Gueye,26,3.0,17.2,5.9,1.2,2.5,3.7,1.0,0.6,0.7,0.7,1.8,1.5,2.4,4.9,49.2,0.6,2.1,27.8,0.5,0.8,57.1,1.8,2.8,64.9,1.195,0.55,False,F
Asa Newell,16,0.0,9.0,4.9,0.9,0.7,1.6,0.4,0.4,0.3,0.4,1.1,1.2,1.8,3.2,56.9,0.8,1.5,50.0,0.6,0.8,75.0,1.1,1.7,63.0,1.549,0.69,False,F
Keaton Wallace,24,2.0,14.4,4.4,0.0,1.5,1.5,2.7,0.7,0.2,0.7,1.3,3.8,1.6,4.0,40.0,1.0,2.5,41.7,0.2,0.4,50.0,0.5,1.5,37.1,1.116,0.53,False,G
Caleb Houstan,8,0.0,5.4,2.5,0.5,0.1,0.6,0.3,0.1,0.1,0.5,0.6,0.5,0.8,1.6,46.2,0.6,1.3,50.0,0.4,0.4,100.0,0.1,0.4,33.3,1.538,0.65,False,G
Jacob Toppin,5,0.0,3.4,1.6,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.2,inf,0.8,1.2,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2,66.7,1.333,0.67,False,F
N'Faly Dante,4,0.0,3.8,0.8,0.8,1.0,1.8,0.0,0.5,0.0,0.3,0.3,0.0,0.3,1.0,25.0,0.0,0.0,0.0,0.3,0.3,100.0,0.3,1.0,25.0,0.75,0.25,False,C
Total,26,,,117.9,10.0,31.5,41.6,30.7,9.6,5.2,14.3,20.5,2.2,43.3,89.4,48.4,13.8,37.7,36.7,17.5,22.3,78.8,29.4,51.7,57.0,1.319,0.56,False,Total
