Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Nikola Jokic C,24,24.0,34.7,29.5,3.0,9.3,12.3,10.9,1.4,0.8,3.4,2.8,3.2,10.6,17.1,62.2,2.1,4.9,42.4,6.1,7.2,85.0,8.5,12.2,70.2,1.724,0.68
Jamal Murray G,23,23.0,34.7,24.4,0.4,4.0,4.4,6.9,1.1,0.3,2.3,1.6,3.0,8.9,17.7,50.0,3.2,7.2,44.2,3.5,4.0,89.0,5.7,10.6,53.9,1.377,0.59
Aaron Gordon F,13,13.0,28.3,18.8,1.5,4.5,5.9,1.3,0.8,0.2,1.4,1.8,0.9,6.3,11.8,53.2,2.2,4.8,44.4,4.0,4.6,86.7,4.2,7.0,59.3,1.584,0.62
Tim Hardaway Jr. G,24,1.0,24.9,12.2,0.3,1.8,2.1,1.5,0.5,0.1,0.3,1.1,5.1,4.1,9.0,46.0,2.4,5.8,41.4,1.5,1.7,87.8,1.7,3.1,54.7,1.358,0.6
Christian Braun G,11,11.0,29.5,11.4,1.6,2.7,4.4,3.0,0.8,0.3,1.3,2.2,2.4,4.4,8.8,49.5,0.5,2.5,21.4,2.1,2.6,79.3,3.8,6.3,60.9,1.289,0.53
Cameron Johnson F,23,23.0,30.1,11.3,0.8,2.6,3.4,2.2,0.7,0.3,1.1,2.3,2.0,4.0,8.7,45.3,1.7,4.5,38.5,1.7,2.1,79.6,2.2,4.2,52.6,1.299,0.55
Peyton Watson G,24,14.0,27.0,10.8,1.2,3.8,5.0,1.7,0.9,1.2,1.3,2.2,1.3,4.0,8.0,50.3,1.1,2.8,38.8,1.7,2.3,71.4,2.9,5.2,56.5,1.351,0.57
Jonas Valanciunas C,24,0.0,12.8,8.5,1.3,3.3,4.7,1.3,0.2,0.5,1.0,1.8,1.3,3.5,5.9,58.9,0.1,0.4,30.0,1.4,1.9,73.9,3.3,5.5,61.1,1.44,0.6
Bruce Brown G,24,0.0,23.6,6.8,1.0,2.7,3.7,2.0,0.8,0.3,1.0,2.3,2.1,2.5,5.9,42.3,0.5,1.7,32.5,1.2,1.5,80.6,2.0,4.3,46.1,1.141,0.47
Spencer Jones F,20,9.0,16.3,4.5,1.2,0.9,2.1,0.7,0.6,0.2,0.6,2.3,1.2,1.7,2.9,57.9,0.7,1.6,45.2,0.5,0.7,64.3,1.0,1.3,73.1,1.561,0.7
Julian Strawther G,9,0.0,7.9,3.7,0.0,1.6,1.6,0.4,0.0,0.1,0.3,0.7,1.3,1.2,3.3,36.7,0.2,1.8,12.5,1.0,1.4,69.2,1.0,1.6,64.3,1.1,0.4
Jalen Pickett G,11,1.0,8.8,2.6,0.3,1.2,1.5,1.3,0.3,0.0,0.5,0.5,2.3,1.0,2.3,44.0,0.5,1.4,40.0,0.1,0.1,100.0,0.5,0.9,50.0,1.16,0.56
Zeke Nnaji F,14,1.0,8.3,2.3,0.3,1.2,1.5,0.2,0.3,0.2,0.5,1.2,0.4,0.9,1.6,54.5,0.2,0.8,27.3,0.4,0.5,71.4,0.6,0.8,81.8,1.455,0.61
DaRon Holmes II F,2,0.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,100.0,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5
Hunter Tyson F,9,0.0,3.9,1.1,0.1,1.2,1.3,0.3,0.1,0.0,0.0,0.3,inf,0.3,1.4,23.1,0.2,0.8,28.6,0.2,0.2,100.0,0.1,0.7,16.7,0.769,0.31
Curtis Jones G,2,0.0,1.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,33.3,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,50.0,0.667,0.33
Total,24,,,125.5,10.9,34.0,44.8,29.7,7.1,3.9,12.7,19.2,2.3,45.4,87.9,51.7,13.5,34.0,39.8,21.1,25.8,82.0,31.9,53.9,59.2,1.427,0.59
