Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position
Anthony Davis,11,11.0,29.5,20.0,3.2,7.4,10.5,3.2,1.4,1.6,1.8,2.2,1.8,8.2,15.8,51.7,0.6,2.0,31.8,3.0,4.3,70.2,7.5,13.8,54.6,1.264,0.54,False,F
Cooper Flagg,25,25.0,33.7,17.5,1.2,5.1,6.3,3.4,1.3,0.7,2.1,2.2,1.7,6.8,14.1,48.2,0.8,3.4,25.0,3.0,3.7,81.7,6.0,10.8,55.4,1.238,0.51,False,F
P.J. Washington,21,21.0,31.6,15.8,1.3,6.3,7.6,2.2,1.1,1.2,2.6,2.3,0.9,5.8,13.1,43.8,1.6,4.8,32.7,2.7,3.9,68.3,4.2,8.3,50.3,1.199,0.5,False,F
Naji Marshall,26,7.0,27.7,12.7,0.9,3.9,4.8,2.6,1.2,0.1,1.1,2.1,2.3,4.3,8.2,52.3,1.0,3.1,31.3,3.2,3.9,80.4,3.3,5.2,64.9,1.547,0.58,False,F
Max Christie,26,21.0,29.1,12.0,0.1,3.2,3.3,1.9,0.5,0.5,1.2,1.7,1.7,4.1,8.5,48.2,2.5,5.5,46.5,1.3,1.5,82.5,1.5,3.0,51.3,1.414,0.63,False,G
D'Angelo Russell,21,3.0,20.3,11.2,0.4,2.2,2.6,4.3,0.4,0.1,2.1,1.4,2.0,4.0,9.8,40.3,1.4,4.8,28.7,2.0,2.8,70.7,2.6,5.0,51.4,1.146,0.47,False,G
Klay Thompson,24,8.0,21.8,11.0,0.3,2.3,2.6,1.4,0.3,0.3,0.8,1.1,1.7,3.9,10.5,36.9,2.8,7.7,35.7,0.5,0.7,81.3,1.1,2.8,40.3,1.052,0.5,False,G
Brandon Williams,24,9.0,21.8,10.8,0.6,1.9,2.5,4.2,1.4,0.2,1.8,1.6,2.3,3.8,9.5,39.6,0.6,2.9,20.3,2.7,3.3,80.0,3.2,6.6,48.1,1.137,0.43,False,G
Daniel Gafford,15,12.0,22.9,8.9,2.3,4.1,6.4,1.3,0.9,1.4,1.4,2.7,0.9,3.3,5.5,61.0,0.0,0.0,0.0,2.3,2.9,79.1,3.3,5.5,61.0,1.634,0.61,False,F
Ryan Nembhard,13,7.0,18.7,8.2,0.3,1.3,1.6,4.8,0.2,0.0,1.3,1.5,3.6,3.5,6.5,53.6,1.2,2.4,48.4,0.2,0.2,66.7,2.3,4.1,56.6,1.274,0.63,False,G
Jaden Hardy,20,0.0,10.5,6.0,0.2,1.0,1.2,0.5,0.2,0.1,0.8,1.1,0.6,1.9,4.8,40.0,1.3,3.0,41.7,0.9,1.1,81.8,0.7,1.8,37.1,1.253,0.53,False,G
Dereck Lively II,7,4.0,16.4,4.3,2.0,3.3,5.3,1.9,0.6,1.6,1.4,3.0,1.3,1.6,2.6,61.1,0.0,0.0,0.0,1.1,1.4,80.0,1.6,2.6,61.1,1.667,0.61,False,C
Moussa Cisse,18,1.0,10.1,2.9,1.3,2.1,3.3,0.2,0.2,1.1,0.7,1.6,0.2,1.2,1.9,61.8,0.0,0.0,0.0,0.6,1.5,40.7,1.2,1.9,61.8,1.559,0.62,False,C
Dwight Powell,21,1.0,11.1,2.6,0.9,1.2,2.1,0.9,0.5,0.2,0.4,2.0,2.1,0.8,1.2,64.0,0.0,0.0,0.0,1.0,1.4,73.3,0.8,1.2,64.0,2.16,0.64,False,F
Caleb Martin,22,0.0,9.1,1.2,0.5,1.0,1.5,0.9,0.5,0.1,0.4,1.6,2.4,0.4,1.7,24.3,0.1,0.6,15.4,0.3,0.4,87.5,0.3,1.1,29.2,0.73,0.27,False,F
Miles Kelly,2,0.0,5.5,1.0,0.5,1.5,2.0,0.0,0.0,0.0,0.5,1.0,0.0,0.5,1.0,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,100.0,1.0,0.5,False,G
Total,26,,,112.1,10.0,33.8,43.8,25.1,8.2,5.8,14.9,20.5,1.7,40.6,88.4,45.9,11.7,34.2,34.1,19.2,25.4,75.6,29.0,54.2,53.4,1.268,0.53,False,Total
