Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position
Devin Booker,22,22.0,34.7,25.0,1.0,3.3,4.3,6.7,0.9,0.4,3.7,2.9,1.8,8.1,17.8,45.7,1.8,5.6,31.5,7.0,8.0,87.4,6.4,12.2,52.2,1.403,0.51,False,G
Dillon Brooks,19,19.0,31.1,21.7,0.8,2.3,3.1,1.8,1.4,0.1,2.2,3.5,0.8,8.0,18.1,44.3,2.3,7.3,30.9,3.5,4.2,82.5,5.7,10.7,53.4,1.204,0.51,False,F
Grayson Allen,17,17.0,30.8,16.5,0.5,2.2,2.8,3.9,1.6,0.2,1.7,2.5,2.3,5.6,13.0,43.4,3.4,8.4,39.9,1.9,2.4,78.0,2.3,4.6,50.0,1.271,0.56,False,G
Jalen Green,2,2.0,15.0,15.5,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,5.5,11.5,47.8,3.0,7.0,42.9,1.5,2.5,60.0,2.5,4.5,55.6,1.348,0.61,False,G
Collin Gillespie,25,6.0,27.0,13.1,1.0,2.8,3.8,4.8,1.2,0.3,1.8,1.3,2.6,4.6,10.6,43.6,2.9,6.8,42.6,1.0,1.2,86.7,1.7,3.8,45.3,1.242,0.57,False,G
Mark Williams,21,18.0,24.9,13.0,3.1,5.3,8.4,1.1,1.4,0.8,1.0,2.6,1.0,5.0,7.8,65.0,0.0,0.0,100.0,2.9,3.8,75.9,5.0,7.7,64.8,1.675,0.65,False,C
Royce O'Neale,25,21.0,29.8,10.5,0.8,4.5,5.3,2.9,1.3,0.2,1.5,2.4,1.9,3.7,8.7,42.2,2.9,7.1,40.7,0.3,0.4,70.0,0.8,1.6,48.8,1.206,0.59,False,F
Jordan Goodwin,22,2.0,20.5,8.8,1.8,2.4,4.2,2.0,1.5,0.1,1.2,1.6,1.7,3.5,8.0,43.8,1.4,3.7,37.0,0.4,0.5,75.0,2.1,4.3,49.5,1.097,0.52,False,G
Jamaree Bouyea,9,0.0,15.0,8.1,0.3,0.9,1.2,1.9,0.7,0.3,0.3,0.9,5.7,3.2,5.0,64.4,1.3,2.1,63.2,0.3,0.4,75.0,1.9,2.9,65.4,1.622,0.78,False,G
Ryan Dunn,20,11.0,23.2,7.5,1.9,3.1,5.0,1.9,1.4,0.6,1.0,2.5,1.9,3.1,6.7,45.9,0.8,2.7,30.2,0.6,0.9,66.7,2.3,4.0,56.3,1.128,0.52,False,F
Oso Ighodaro,25,5.0,17.5,5.0,0.8,2.8,3.6,1.7,0.7,0.6,1.2,2.4,1.5,2.3,3.8,59.4,0.0,0.0,0.0,0.4,1.0,38.5,2.3,3.8,60.0,1.292,0.59,False,F
Nick Richards,23,2.0,9.7,3.5,1.3,2.1,3.3,0.3,0.1,0.5,1.0,1.4,0.4,1.3,2.6,51.7,0.0,0.0,0.0,0.8,1.2,67.9,1.3,2.6,51.7,1.35,0.52,False,C
Isaiah Livers,13,0.0,12.2,2.5,0.6,1.5,2.2,0.4,0.5,0.4,0.4,1.1,1.0,0.8,2.2,34.5,0.5,1.8,29.2,0.4,0.5,83.3,0.2,0.4,60.0,1.103,0.47,False,F
Rasheer Fleming,13,0.0,5.9,2.4,0.5,0.6,1.2,0.2,0.3,0.2,0.2,0.7,0.7,0.8,2.5,34.4,0.3,1.4,22.2,0.4,0.4,100.0,0.5,1.1,50.0,0.969,0.41,False,F
Koby Brea,2,0.0,4.0,2.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,inf,0.5,1.5,33.3,0.0,1.0,0.0,1.0,1.0,100.0,0.5,0.5,100.0,1.333,0.33,False,G
Nigel Hayes-Davis,18,0.0,9.1,1.4,0.5,0.8,1.3,0.3,0.4,0.1,0.3,0.7,1.0,0.7,2.1,31.6,0.1,0.8,7.1,0.1,0.1,50.0,0.6,1.3,45.8,0.684,0.33,False,F
Khaman Maluach,12,0.0,4.9,1.4,0.2,0.8,1.0,0.2,0.0,0.3,0.4,0.8,0.4,0.4,1.1,38.5,0.0,0.3,0.0,0.6,0.7,87.5,0.4,0.8,55.6,1.308,0.38,False,C
Total,25,,,114.8,12.6,29.7,42.3,25.4,10.8,4.0,15.1,22.2,1.7,41.8,90.0,46.5,14.4,39.3,36.6,16.8,21.2,79.1,27.4,50.6,54.1,1.276,0.54,False,Total
