Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Cade Cunningham G,22,22.0,35.8,26.9,1.4,4.7,6.1,9.1,1.5,0.9,3.8,3.2,2.4,9.3,20.5,45.4,1.9,6.2,30.7,6.4,7.7,82.8,7.4,14.3,51.7,1.31,0.5
Jalen Duren C,22,22.0,29.0,18.6,4.1,7.2,11.3,1.8,0.8,1.0,2.5,3.3,0.7,6.8,10.5,65.2,0.0,0.0,0.0,5.0,6.6,74.7,6.8,10.5,65.2,1.778,0.65
Tobias Harris F,15,15.0,29.1,14.3,0.9,4.1,4.9,2.3,0.6,0.3,1.1,2.4,2.1,5.1,11.3,45.3,1.7,4.5,38.2,2.3,2.8,83.3,3.4,6.8,50.0,1.265,0.53
Duncan Robinson F,23,23.0,31.3,12.5,0.4,2.7,3.0,2.0,1.0,0.3,0.7,2.4,2.7,4.1,9.4,44.0,3.0,7.5,40.5,1.2,1.6,77.8,1.1,1.9,58.1,1.333,0.6
Ausar Thompson G,21,20.0,27.7,11.8,2.0,4.0,6.0,3.0,1.5,0.7,1.5,2.7,2.0,4.9,9.4,52.0,0.2,0.8,31.3,1.8,3.1,56.1,4.7,8.7,53.8,1.253,0.53
Isaiah Stewart F,22,7.0,22.5,10.4,1.7,4.2,5.9,1.3,0.2,1.9,1.1,3.2,1.1,3.9,7.1,54.8,1.0,2.5,40.7,1.5,2.1,73.9,2.9,4.7,62.1,1.452,0.62
Caris LeVert G,19,0.0,20.5,9.4,0.3,1.4,1.6,3.1,0.7,0.5,1.4,1.3,2.2,3.2,6.9,46.6,1.4,3.4,42.2,1.5,2.4,63.0,1.8,3.5,50.7,1.359,0.57
Tolu Smith F,2,0.0,11.0,8.5,2.0,3.5,5.5,1.0,0.5,0.5,0.5,1.0,2.0,3.0,4.0,75.0,0.0,0.0,0.0,2.5,3.5,71.4,3.0,4.0,75.0,2.125,0.75
Daniss Jenkins G,20,6.0,17.7,8.3,0.7,1.3,1.9,3.4,1.0,0.1,1.4,1.4,2.4,3.1,7.0,44.6,0.9,2.5,34.7,1.3,1.7,75.8,2.3,4.5,50.0,1.194,0.51
Ronald Holland II F,25,5.0,21.2,8.2,0.8,2.5,3.4,1.6,1.6,0.2,1.4,2.3,1.1,3.0,7.2,41.1,0.7,2.7,26.5,1.5,1.9,80.9,2.2,4.5,50.0,1.133,0.46
Jaden Ivey G,10,0.0,14.4,7.8,0.7,1.9,2.6,1.4,0.4,0.1,1.1,1.5,1.3,2.7,5.9,45.8,1.0,2.6,38.5,1.4,1.6,87.5,1.7,3.3,51.5,1.322,0.54
Javonte Green G,25,3.0,18.6,6.7,0.6,2.0,2.6,0.8,1.0,0.4,0.8,1.5,1.1,2.2,5.2,42.7,0.9,2.7,32.8,1.3,1.7,78.6,1.4,2.6,53.1,1.275,0.51
Paul Reed F,19,2.0,11.6,6.5,2.0,2.5,4.5,1.2,0.8,0.7,1.1,1.6,1.1,2.8,4.3,64.6,0.3,0.7,46.2,0.6,1.1,60.0,2.5,3.6,68.1,1.512,0.68
Marcus Sasser G,2,0.0,4.0,3.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,inf,1.5,2.0,75.0,0.5,1.0,50.0,0.0,0.0,0.0,1.0,1.0,100.0,1.75,0.88
Chaz Lanier G,13,0.0,10.2,3.3,0.5,0.6,1.1,0.8,0.3,0.0,0.1,0.2,10.0,1.1,3.2,33.3,0.9,2.8,32.4,0.2,0.2,100.0,0.2,0.4,40.0,1.024,0.48
Bobi Klintman F,6,0.0,8.8,2.8,0.8,1.8,2.7,0.7,0.3,0.0,0.8,1.5,0.8,1.2,3.5,33.3,0.5,1.8,27.3,0.0,0.5,0.0,0.7,1.7,40.0,0.81,0.4
Colby Jones G,1,0.0,7.0,2.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,inf,1.0,3.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.667,0.33
Wendell Moore Jr. F,3,0.0,14.3,2.0,0.3,1.0,1.3,1.0,0.7,0.3,0.3,0.3,3.0,1.0,2.0,50.0,0.0,0.3,0.0,0.0,0.0,0.0,1.0,1.7,60.0,1.0,0.5
Isaac Jones C *,1,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,0.5
Total,25,,,119.6,13.5,33.0,46.5,26.4,9.8,6.0,15.1,23.0,1.8,43.4,89.2,48.6,11.2,31.6,35.6,21.7,28.9,75.1,32.1,57.7,55.7,1.341,0.55
