Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Brandon Ingram F,26,26.0,34.1,21.5,0.7,5.1,5.8,3.8,0.9,0.5,3.1,2.0,1.2,8.0,17.0,47.2,1.5,4.5,33.1,4.0,4.9,80.5,6.5,12.5,52.3,1.264,0.52
Scottie Barnes F,26,26.0,33.9,19.7,2.0,5.8,7.8,5.3,1.4,1.6,2.4,3.1,2.2,7.6,15.1,50.1,1.4,3.6,38.3,3.2,3.8,84.7,6.2,11.5,53.8,1.305,0.55
RJ Barrett F,17,17.0,30.9,19.4,0.7,4.1,4.8,3.8,0.8,0.2,1.5,2.6,2.5,7.1,13.9,50.6,1.8,5.1,35.6,3.4,4.7,72.5,5.2,8.8,59.3,1.388,0.57
Immanuel Quickley G,25,25.0,32.2,16.5,0.4,3.8,4.2,6.2,1.2,0.0,1.8,2.2,3.5,6.0,12.8,47.0,2.5,6.6,38.2,1.9,2.6,75.0,3.5,6.2,56.4,1.287,0.57
Jakob Poeltl C,19,19.0,26.1,10.2,2.9,5.1,8.0,2.3,0.8,0.5,1.5,3.4,1.5,4.4,6.3,69.2,0.0,0.0,0.0,1.5,2.5,59.6,4.4,6.3,69.2,1.617,0.69
Sandro Mamukelashvili F,25,2.0,19.5,9.7,1.4,3.0,4.3,1.7,0.5,0.6,0.8,1.6,2.0,3.6,7.0,51.4,1.0,2.7,36.8,1.5,2.0,77.6,2.6,4.3,60.7,1.389,0.59
Collin Murray-Boyles F,21,4.0,17.6,7.0,1.8,1.5,3.3,1.3,0.6,0.3,1.2,2.3,1.1,2.7,4.9,55.3,0.6,1.2,48.0,1.0,1.5,62.5,2.1,3.7,57.7,1.417,0.61
Jamal Shead G,26,1.0,19.8,6.3,0.5,1.4,1.8,5.2,1.2,0.1,1.2,2.0,4.5,2.0,5.5,36.6,1.0,3.0,33.8,1.3,1.7,79.1,1.0,2.5,40.0,1.155,0.46
Gradey Dick G,26,0.0,15.8,6.3,0.3,1.6,1.9,0.7,0.6,0.1,0.5,1.2,1.3,2.1,5.2,40.3,0.9,2.8,31.5,1.2,1.5,84.2,1.2,2.3,50.8,1.216,0.49
A.J. Lawson G,2,0.0,8.0,6.0,0.5,2.0,2.5,0.0,0.0,1.0,0.0,2.5,0.0,2.0,5.0,40.0,1.0,2.0,50.0,1.0,1.0,100.0,1.0,3.0,33.3,1.2,0.5
Ja'Kobe Walter G,23,7.0,16.6,5.5,0.8,1.3,2.0,0.8,1.0,0.1,0.7,2.0,1.1,1.9,4.6,41.9,1.2,3.0,39.7,0.5,0.7,75.0,0.7,1.6,45.9,1.21,0.55
Jamison Battle F,17,1.0,8.1,3.9,0.2,1.2,1.4,0.2,0.1,0.1,0.4,0.6,0.7,1.5,2.2,67.6,0.8,1.3,59.1,0.2,0.3,80.0,0.7,0.9,80.0,1.811,0.85
Ochai Agbaji G,18,2.0,14.7,3.4,0.5,1.6,2.1,0.7,0.4,0.3,0.3,1.9,2.6,1.4,3.6,38.5,0.1,1.2,9.5,0.6,0.7,76.9,1.3,2.4,52.3,0.954,0.4
Jonathan Mogbo F,11,0.0,4.5,1.2,0.5,0.8,1.4,0.5,0.1,0.3,0.1,0.5,6.0,0.5,1.1,50.0,0.0,0.0,0.0,0.1,0.1,100.0,0.5,1.1,50.0,1.083,0.5
Garrett Temple G,5,0.0,3.8,0.8,0.0,0.4,0.4,0.2,0.4,0.2,0.2,0.4,1.0,0.2,0.8,25.0,0.2,0.6,33.3,0.2,0.4,50.0,0.0,0.2,0.0,1.0,0.38
Chucky Hepburn G,2,0.0,6.5,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,1.0,2.0,0.0,3.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Alijah Martin G,2,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Total,26,,,115.8,10.7,31.7,42.3,29.4,8.9,4.2,13.9,22.0,2.1,43.0,88.8,48.4,11.5,31.9,36.1,18.2,23.8,76.7,31.5,56.8,55.3,1.304,0.55
