Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Miles Bridges F,25,25.0,34.7,21.4,1.0,5.2,6.2,3.7,0.6,0.5,1.5,1.9,2.4,7.5,17.2,43.6,2.4,7.7,31.8,4.0,4.7,84.7,5.0,9.5,53.2,1.247,0.51
LaMelo Ball G,16,16.0,28.9,19.4,1.1,4.9,6.0,8.5,1.1,0.2,3.3,3.1,2.6,6.7,17.3,38.6,2.4,8.6,28.5,3.6,4.1,87.7,4.3,8.8,48.6,1.119,0.46
Kon Knueppel G,25,24.0,33.6,18.6,1.0,4.4,5.4,3.5,0.7,0.2,2.4,2.3,1.5,6.5,14.0,46.6,3.4,8.5,40.4,2.2,2.4,91.5,3.1,5.5,56.2,1.331,0.59
Brandon Miller F,9,9.0,27.0,16.6,0.7,2.1,2.8,3.2,0.8,1.2,2.3,2.4,1.4,5.8,15.8,36.6,2.2,7.9,28.2,2.8,3.3,83.3,3.6,7.9,45.1,1.049,0.44
Collin Sexton G,21,10.0,25.2,15.5,0.4,1.8,2.2,4.2,0.7,0.2,2.5,1.9,1.7,5.2,10.7,48.9,1.2,3.4,36.6,3.8,4.3,87.9,4.0,7.3,54.5,1.449,0.55
Tre Mann G,18,1.0,20.6,9.2,0.7,2.1,2.8,2.7,0.6,0.1,1.9,2.1,1.4,3.5,9.7,36.2,1.5,4.9,30.3,0.7,0.7,92.3,2.0,4.7,42.4,0.948,0.44
Ryan Kalkbrenner C,23,22.0,25.8,9.0,2.7,4.0,6.7,0.5,0.7,1.8,1.2,1.9,0.4,3.8,4.8,80.0,0.0,0.0,0.0,1.3,1.8,75.6,3.8,4.7,80.7,1.882,0.8
Moussa Diabate F,24,2.0,22.0,8.4,3.6,4.0,7.6,1.2,0.6,1.0,0.8,2.5,1.6,3.2,5.0,63.3,0.0,0.0,0.0,2.1,3.0,70.4,3.2,5.0,63.3,1.683,0.63
Sion James G,25,13.0,26.1,6.9,0.4,2.7,3.1,1.5,0.7,0.4,1.0,1.6,1.5,2.2,5.1,42.2,1.2,3.2,37.5,1.4,1.6,85.0,1.0,1.9,50.0,1.344,0.54
Tidjane Salaun F,12,0.0,14.9,6.3,0.6,3.1,3.7,0.8,0.6,0.2,0.6,1.4,1.4,2.1,4.1,51.0,1.3,2.5,50.0,0.9,1.3,73.3,0.8,1.6,52.6,1.551,0.66
KJ Simpson G,12,2.0,15.9,6.2,0.4,1.9,2.3,2.4,1.1,0.0,1.6,1.1,1.5,2.3,6.1,37.0,0.9,2.5,36.7,0.8,1.2,64.3,1.3,3.6,37.2,1.014,0.45
Liam McNeeley G,18,0.0,14.1,4.9,0.4,2.0,2.4,0.9,0.2,0.1,0.6,1.6,1.6,1.4,3.7,39.4,1.0,2.4,40.9,1.1,1.3,82.6,0.4,1.2,36.4,1.348,0.53
Pat Connaughton G,12,0.0,9.7,4.3,0.3,1.6,1.9,0.6,0.4,0.1,0.3,0.4,2.3,1.5,3.1,48.6,0.8,2.0,37.5,0.5,0.8,66.7,0.8,1.1,69.2,1.378,0.61
Antonio Reeves G,6,0.0,8.8,3.5,0.2,0.7,0.8,0.3,0.2,0.0,0.0,0.5,inf,1.3,2.7,50.0,0.8,1.7,50.0,0.0,0.0,0.0,0.5,1.0,50.0,1.313,0.66
Josh Green G,1,0.0,17.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,inf,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,0.5
Mason Plumlee C,10,1.0,9.4,1.7,0.7,2.2,2.9,1.1,0.4,0.0,0.6,0.6,1.8,0.5,0.6,83.3,0.0,0.0,0.0,0.7,1.1,63.6,0.5,0.6,83.3,2.833,0.83
Drew Peterson F,5,0.0,11.8,1.0,0.4,1.0,1.4,0.4,0.6,0.2,0.0,0.6,inf,0.4,3.0,13.3,0.0,2.2,0.0,0.2,0.4,50.0,0.4,0.8,50.0,0.333,0.13
Total,25,,,114.7,11.5,32.6,44.1,25.5,6.8,4.9,14.8,19.0,1.7,40.5,88.8,45.6,13.9,40.2,34.6,19.8,24.1,82.4,26.6,48.6,54.7,1.292,0.53
