Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Kevin Durant F,20,20.0,35.4,24.8,0.3,4.3,4.6,3.9,1.0,0.6,3.0,2.4,1.3,8.6,17.3,49.9,1.8,4.6,39.6,5.8,6.5,89.2,6.8,12.7,53.5,1.438,0.55
Alperen Sengun C,20,20.0,35.9,23.0,3.0,6.4,9.4,7.0,1.5,1.0,3.4,3.5,2.1,8.5,17.1,49.9,1.0,2.8,36.4,5.0,6.8,73.5,7.5,14.3,52.4,1.349,0.53
Amen Thompson G,22,22.0,36.2,17.5,2.6,4.5,7.1,5.2,1.4,0.5,2.6,2.5,2.0,6.8,14.1,48.4,0.4,2.1,19.1,3.5,4.3,80.9,6.4,12.0,53.6,1.242,0.5
Jabari Smith Jr. F,21,21.0,33.5,15.4,1.4,5.1,6.6,2.0,0.8,0.8,1.3,3.0,1.5,5.5,12.0,45.5,2.0,5.6,35.6,2.4,3.0,79.7,3.5,6.4,54.1,1.277,0.54
Reed Sheppard G,22,4.0,24.9,12.9,0.4,2.8,3.1,3.2,1.5,0.5,1.3,2.0,2.4,4.8,10.1,47.5,2.5,5.7,44.4,0.7,1.0,71.4,2.3,4.4,51.5,1.269,0.6
Tari Eason F,11,1.0,23.2,11.5,1.5,3.7,5.2,1.6,0.8,0.5,1.7,1.6,0.9,4.3,8.6,49.5,2.5,4.8,50.9,0.5,0.6,71.4,1.8,3.8,47.6,1.326,0.64
Aaron Holiday G,17,0.0,17.1,9.3,0.1,0.9,1.0,1.1,0.5,0.2,0.9,1.4,1.2,2.9,6.5,45.5,1.9,4.4,44.6,1.5,1.7,86.2,1.0,2.1,47.2,1.436,0.6
Josh Okogie G,22,16.0,20.9,6.6,1.4,1.5,2.9,1.0,1.4,0.2,0.8,1.9,1.2,2.2,5.0,45.0,1.0,2.6,39.7,1.1,1.5,72.7,1.2,2.3,51.0,1.33,0.56
Steven Adams C,18,5.0,21.6,6.4,4.7,4.3,9.1,1.6,0.8,0.7,1.1,1.9,1.4,2.3,4.4,53.2,0.0,0.0,0.0,1.8,2.3,76.2,2.3,4.4,53.2,1.468,0.53
Clint Capela C,21,1.0,11.7,3.8,2.6,2.1,4.8,0.4,0.4,0.8,0.5,1.0,0.9,1.7,3.0,56.5,0.0,0.0,0.0,0.5,0.7,66.7,1.7,3.0,56.5,1.29,0.56
Jae'Sean Tate F,14,0.0,8.3,2.9,0.6,1.0,1.6,0.5,0.3,0.0,0.3,1.4,1.8,1.2,2.3,53.1,0.4,0.9,41.7,0.1,0.1,100.0,0.9,1.4,60.0,1.281,0.61
Jeff Green F,10,0.0,4.8,2.1,0.1,0.3,0.4,0.1,0.0,0.1,0.0,0.4,inf,0.8,1.6,50.0,0.5,1.2,41.7,0.0,0.0,0.0,0.3,0.4,75.0,1.313,0.66
JD Davison G,11,0.0,6.7,1.8,0.1,0.3,0.4,0.9,0.3,0.1,0.1,0.4,10.0,0.7,1.5,47.1,0.4,0.8,44.4,0.0,0.2,0.0,0.4,0.7,50.0,1.176,0.59
Isaiah Crawford F,2,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,22,,,120.6,16.4,32.5,48.9,25.4,9.3,5.2,14.9,20.3,1.7,44.0,90.6,48.6,11.8,29.8,39.6,20.7,26.1,79.3,32.2,60.8,53.0,1.332,0.55
