Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position
Anthony Edwards,20,20.0,34.4,28.7,0.8,4.2,4.9,3.8,1.2,0.8,3.0,2.1,1.3,9.7,19.3,50.0,3.4,8.1,41.6,6.0,7.2,83.3,6.3,11.3,56.0,1.484,0.59,False,G
Julius Randle,25,25.0,33.8,23.0,1.5,5.7,7.2,6.0,0.9,0.2,2.7,2.6,2.2,7.7,15.4,49.9,1.8,5.0,35.5,5.9,7.1,83.6,5.9,10.4,56.7,1.496,0.56,False,F
Jaden McDaniels,24,24.0,32.6,15.6,1.3,3.5,4.8,2.6,1.2,1.0,1.9,3.5,1.4,6.1,11.6,52.5,1.5,3.5,44.0,1.9,2.3,83.3,4.5,8.1,56.2,1.345,0.59,False,F
Naz Reid,25,0.0,26.0,13.6,1.2,4.8,5.9,2.5,1.0,0.8,1.4,2.5,1.8,5.2,11.3,45.6,2.4,6.2,38.3,1.0,1.3,75.0,2.8,5.2,54.3,1.205,0.56,False,C
Donte DiVincenzo,25,25.0,31.3,13.5,0.8,3.2,4.0,3.7,1.0,0.4,1.3,2.4,2.8,4.3,10.4,41.7,3.0,8.0,38.2,1.8,2.2,83.3,1.3,2.4,53.3,1.301,0.56,False,G
Rudy Gobert,25,25.0,31.5,11.6,3.6,6.7,10.2,1.8,0.5,1.4,1.4,3.0,1.3,4.8,6.4,74.5,0.0,0.0,0.0,2.0,3.8,54.3,4.8,6.4,74.5,1.807,0.75,False,C
Mike Conley,24,5.0,19.1,5.3,0.4,1.5,1.8,3.2,0.6,0.1,0.7,1.8,4.5,1.5,4.3,36.3,1.1,3.0,36.6,1.1,1.2,93.1,0.5,1.3,35.5,1.245,0.49,False,G
Terrence Shannon Jr.,16,0.0,14.1,4.9,0.4,1.3,1.7,0.9,0.4,0.1,0.9,1.7,1.0,1.6,3.8,41.0,0.6,1.6,40.0,1.2,1.6,76.0,0.9,2.3,41.7,1.295,0.49,False,G
Jaylen Clark,23,0.0,14.9,4.7,1.1,1.1,2.2,0.5,0.8,0.1,0.3,1.7,2.0,1.6,3.7,43.0,0.7,1.9,34.1,0.8,1.3,60.0,1.0,1.8,52.4,1.244,0.52,False,G
Bones Hyland,16,1.0,8.8,4.3,0.1,0.9,1.0,1.4,0.4,0.0,0.8,1.1,1.9,1.6,3.1,52.0,0.8,2.0,40.6,0.2,0.3,75.0,0.8,1.1,72.2,1.36,0.65,False,G
Rob Dillingham,22,0.0,10.5,3.8,0.2,0.9,1.1,1.9,0.7,0.1,1.0,1.0,1.9,1.5,4.4,35.4,0.3,1.0,27.3,0.4,0.6,69.2,1.3,3.4,37.8,0.865,0.39,False,G
Joan Beringer,9,0.0,4.1,2.0,0.2,1.1,1.3,0.0,0.1,0.2,0.2,1.0,0.0,0.9,1.2,72.7,0.0,0.0,0.0,0.2,0.3,66.7,0.9,1.2,72.7,1.636,0.73,False,F
Leonard Miller,9,0.0,4.2,1.7,0.1,1.1,1.2,0.4,0.2,0.0,0.4,0.8,1.0,0.7,1.3,50.0,0.0,0.6,0.0,0.3,0.6,60.0,0.7,0.8,85.7,1.25,0.5,False,F
Johnny Juzang,8,0.0,2.8,1.1,0.1,0.3,0.4,0.1,0.0,0.0,0.1,0.4,1.0,0.4,1.1,33.3,0.3,0.9,28.6,0.1,0.3,50.0,0.1,0.3,50.0,1.0,0.44,False,G
Joe Ingles,8,0.0,2.9,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.3,inf,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,F
Total,25,,,119.9,10.9,32.5,43.4,26.6,8.1,4.9,14.2,22.4,1.9,42.6,87.2,48.8,14.2,37.2,38.2,20.6,26.6,77.3,28.4,50.0,56.7,1.375,0.57,False,Total
