Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Tyrese Maxey G,23,23.0,39.9,31.5,0.3,4.4,4.7,7.2,1.7,0.9,2.7,2.3,2.7,10.7,22.9,46.7,3.7,9.3,39.1,6.4,7.3,88.1,7.0,13.6,51.9,1.374,0.55
Joel Embiid C,10,10.0,25.7,20.3,1.4,4.5,5.9,3.0,0.8,1.2,2.4,2.0,1.3,6.7,15.8,42.4,1.1,5.0,22.0,5.8,7.1,81.7,5.6,10.8,51.9,1.285,0.46
Kelly Oubre Jr. G,12,12.0,34.8,16.8,1.2,3.9,5.1,1.3,1.1,0.8,1.5,2.7,0.9,6.2,12.4,49.7,1.9,5.6,34.3,2.5,3.2,78.9,4.3,6.8,62.2,1.349,0.57
Quentin Grimes G,23,5.0,33.2,16.3,0.8,3.5,4.3,4.3,0.9,0.4,2.6,2.1,1.7,5.2,11.7,44.8,2.3,6.4,36.7,3.5,4.0,86.0,2.9,5.3,54.5,1.396,0.55
Paul George F,9,9.0,25.3,15.1,0.4,4.7,5.1,3.3,1.6,0.3,1.7,1.6,2.0,5.1,12.0,42.6,2.1,5.6,38.0,2.8,3.3,83.3,3.0,6.4,46.6,1.259,0.51
VJ Edgecombe G,21,21.0,34.8,14.7,1.8,3.8,5.6,4.0,1.3,0.4,1.7,3.2,2.4,5.4,12.9,42.1,2.0,5.0,38.7,1.9,2.5,75.5,3.5,7.9,44.2,1.14,0.5
Trendon Watford F,14,4.0,20.4,8.9,1.1,3.6,4.6,3.6,0.4,0.2,1.5,2.7,2.4,3.4,6.3,53.4,0.5,1.3,38.9,1.7,2.1,80.0,2.9,5.0,57.1,1.42,0.57
Dominick Barlow F,15,12.0,26.8,8.0,2.0,3.7,5.7,1.9,0.7,1.1,1.1,2.3,1.7,3.1,6.2,49.5,0.4,1.7,23.1,1.5,1.7,84.6,2.7,4.5,59.7,1.29,0.53
Andre Drummond C,23,11.0,21.5,7.3,3.3,6.0,9.3,0.8,0.7,1.0,0.9,2.2,0.9,3.0,5.5,54.0,0.5,1.3,37.9,1.0,1.5,62.9,2.5,4.2,58.8,1.341,0.58
Jared McCain G,15,0.0,17.7,7.3,0.1,1.7,1.9,1.6,0.8,0.0,0.9,1.5,1.8,2.8,7.4,37.8,1.4,4.0,35.0,0.3,0.4,83.3,1.4,3.4,41.2,0.991,0.47
Justin Edwards F,21,5.0,17.3,5.9,0.6,1.3,1.9,1.5,0.6,0.2,0.9,1.9,1.7,2.1,5.4,38.9,1.2,3.5,34.2,0.5,0.5,90.9,0.9,1.9,47.5,1.088,0.5
Jabari Walker F,23,5.0,13.7,4.7,1.2,2.3,3.5,0.6,0.1,0.3,0.6,1.8,1.0,1.7,3.6,46.3,0.5,1.5,34.3,0.8,1.1,76.0,1.1,2.0,55.3,1.305,0.54
Eric Gordon G,5,0.0,11.4,4.2,0.2,0.2,0.4,0.6,0.6,0.0,0.6,0.4,1.0,1.6,2.6,61.5,1.0,1.6,62.5,0.0,0.0,0.0,0.6,1.0,60.0,1.615,0.81
Adem Bona C,17,3.0,16.1,3.5,1.5,2.2,3.7,0.2,0.4,1.5,0.7,1.9,0.3,1.3,2.4,55.0,0.1,0.2,33.3,0.8,1.4,58.3,1.2,2.2,56.8,1.475,0.56
Kyle Lowry G,3,0.0,8.0,2.0,0.0,0.3,0.3,1.3,0.3,0.0,0.0,0.3,inf,0.7,1.3,50.0,0.7,1.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.75
Johni Broome F,6,0.0,6.5,1.7,1.0,1.2,2.2,0.7,0.3,0.0,0.3,0.8,2.0,0.7,3.3,20.0,0.0,0.5,0.0,0.3,0.7,50.0,0.7,2.8,23.5,0.5,0.2
Hunter Sallis G,6,0.0,4.2,1.2,0.0,0.2,0.2,0.7,0.0,0.2,0.8,0.3,0.8,0.5,0.8,60.0,0.0,0.0,0.0,0.2,0.3,50.0,0.5,0.8,60.0,1.4,0.6
Total,24,,,116.8,12.1,33.0,45.1,25.4,8.1,6.0,14.1,21.0,1.8,41.3,90.7,45.5,13.4,37.3,36.0,20.8,25.7,81.2,27.9,53.4,52.2,1.289,0.53
