Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Position,Traded
Isaiah Thomas,76,76.0,33.8,28.9,0.6,2.1,2.7,5.9,0.9,0.2,2.8,2.2,2.1,9.0,19.4,46.3,3.2,8.5,37.9,7.8,8.5,90.9,5.8,10.9,52.8,1.493,0.55,G,False
Avery Bradley,55,55.0,33.4,16.3,1.2,4.9,6.1,2.2,1.2,0.2,1.6,2.6,1.4,6.5,14.1,46.3,2.0,5.0,39.0,1.2,1.7,73.1,4.6,9.1,50.4,1.154,0.53,PG,False
Al Horford,68,68.0,32.3,14.0,1.4,5.4,6.8,5.0,0.8,1.3,1.7,2.0,2.9,5.6,11.8,47.3,1.3,3.6,35.5,1.6,2.0,80.0,4.3,8.2,52.4,1.189,0.53,C,False
Jae Crowder,72,72.0,32.4,13.9,0.7,5.1,5.8,2.2,1.0,0.3,1.1,2.2,1.9,4.6,10.0,46.3,2.2,5.5,39.8,2.4,3.0,81.1,2.4,4.5,54.0,1.388,0.57,PF,False
Marcus Smart,79,24.0,30.4,10.6,1.0,2.9,3.9,4.6,1.6,0.4,2.0,2.4,2.3,3.4,9.5,35.9,1.2,4.2,28.3,2.6,3.2,81.2,2.2,5.3,42.0,1.115,0.42,G,False
Kelly Olynyk,75,6.0,20.5,9.0,1.0,3.8,4.8,2.0,0.6,0.4,1.3,2.8,1.5,3.5,6.8,51.2,0.9,2.6,35.4,1.2,1.6,73.2,2.6,4.2,60.8,1.335,0.58,F,False
Jaylen Brown,78,20.0,17.2,6.6,0.6,2.2,2.8,0.8,0.4,0.2,0.9,1.8,0.9,2.5,5.4,45.4,0.6,1.7,34.1,1.1,1.6,68.5,1.9,3.7,50.7,1.217,0.51,G,False
Amir Johnson,80,77.0,20.1,6.5,1.5,3.1,4.6,1.8,0.6,0.8,1.0,2.6,1.8,2.7,4.6,57.6,0.3,0.8,40.9,0.8,1.3,67.0,2.3,3.8,61.2,1.405,0.61,F,False
Gerald Green,47,0.0,11.4,5.6,0.3,1.4,1.8,0.7,0.2,0.1,0.5,1.0,1.3,2.0,4.9,40.9,0.8,2.4,35.1,0.7,0.9,80.5,1.2,2.6,46.3,1.129,0.49,G,False
Terry Rozier,74,0.0,17.1,5.5,0.5,2.5,3.1,1.8,0.6,0.1,0.6,0.9,2.8,2.0,5.6,36.7,0.8,2.4,31.8,0.7,0.9,77.3,1.3,3.1,40.5,0.998,0.44,G,False
Jonas Jerebko,78,6.0,15.8,3.8,0.8,2.7,3.5,0.9,0.3,0.2,0.5,1.6,1.8,1.5,3.4,43.5,0.6,1.7,34.6,0.3,0.5,70.3,0.9,1.7,52.3,1.141,0.52,F,False
Tyler Zeller,51,5.0,10.3,3.5,0.8,1.6,2.4,0.8,0.1,0.4,0.4,1.2,2.1,1.5,3.1,49.4,0.0,0.0,0.0,0.4,0.8,56.4,1.5,3.1,49.7,1.127,0.49,C,False
James Young,29,0.0,7.6,2.3,0.2,0.7,0.9,0.1,0.3,0.1,0.1,0.5,1.0,0.9,2.0,43.1,0.4,1.2,34.3,0.2,0.3,66.7,0.4,0.8,56.5,1.172,0.53,G,False
Demetrius Jackson,5,0.0,3.4,2.0,0.4,0.4,0.8,0.6,0.0,0.0,0.0,0.0,inf,0.6,0.8,75.0,0.2,0.2,100.0,0.6,1.2,50.0,0.4,0.6,66.7,2.5,0.88,G,False
Jordan Mickey,25,1.0,5.6,1.5,0.5,0.8,1.4,0.3,0.1,0.2,0.4,0.5,0.8,0.6,1.4,44.1,0.0,0.0,0.0,0.3,0.6,57.1,0.6,1.3,45.5,1.118,0.44,F,False
Total,82,,,108.0,9.1,32.9,42.0,25.2,7.5,4.1,12.6,20.6,2.0,38.6,85.1,45.4,12.0,33.4,35.9,18.7,23.2,80.7,26.6,51.7,51.5,1.269,0.52,Total,False
