Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Calle Johansson,WSH,D,46,10,23,33,3.0,50,0:00,4,9,80,12.5,,,,,,0,0,0.0
Craig Berube,WSH,LW,32,0,6,6,-6.0,96,0:00,0,1,34,0.0,,,,,,0,0,0.0
Dale Hunter,WSH,C,46,11,14,25,7.0,44,0:00,3,0,88,12.5,,,,,,0,0,0.0
Dave Poulin,WSH,C,42,3,9,12,-5.0,71,0:00,2,1,71,4.2,,,,,,0,0,0.0
Dmitri Khristich,WSH,RW,46,5,26,31,-6.0,35,0:00,4,20,112,4.5,,,,,,0,0,0.0
Igor Ulanov D *,WSH,,10,1,0,1,-2.0,2,0:00,0,0,4,25.0,,,,,,0,0,0.0
Jason Allison,WSH,C,8,2,1,3,3.0,2,0:00,0,0,11,18.2,,,,,,0,0,0.0
Jeff Nelson,WSH,C,27,1,1,2,-6.0,102,0:00,0,0,12,8.3,,,,,,0,0,0.0
Jim Erik Johnson,WSH,D,47,5,14,19,2.0,53,0:00,1,6,124,4.0,,,,,,0,0,0.0
Joe Juneau,WSH,C,47,34,9,43,9.0,24,0:00,12,6,177,19.2,,,,,,0,0,0.0
Joe Reekie,WSH,D,31,2,5,7,4.0,22,0:00,0,0,38,5.3,,,,,,0,0,0.0
John Slaney,WSH,D,18,0,4,4,-6.0,12,0:00,0,2,30,0.0,,,,,,0,0,0.0
Keith Jones,WSH,RW,48,10,13,23,5.0,6,0:00,2,3,70,14.3,,,,,,0,0,0.0
Kelly Miller,WSH,LW,45,8,15,23,-4.0,101,0:00,3,4,73,11.0,,,,,,0,0,0.0
Ken Klee,WSH,D,13,1,3,4,2.0,8,0:00,0,1,15,6.7,,,,,,0,0,0.0
Kevin Kaminski,WSH,C,12,2,1,3,-3.0,6,0:00,2,1,9,22.2,,,,,,0,0,0.0
Mark Tinordi,WSH,D,47,0,13,13,6.0,43,0:00,0,2,46,0.0,,,,,,0,0,0.0
Martin Gendron,WSH,RW,16,0,3,3,-3.0,6,0:00,0,3,21,0.0,,,,,,0,0,0.0
Michal Pivonka,WSH,C,44,5,38,43,-1.0,8,0:00,3,22,70,7.1,,,,,,0,0,0.0
Mike Eagles LW *,WSH,,43,2,4,6,-5.0,173,0:00,0,0,22,9.1,,,,,,0,0,0.0
Pat Peake,WSH,C,23,3,1,4,2.0,41,0:00,0,0,18,16.7,,,,,,0,0,0.0
Randy Burridge LW *,WSH,,3,0,1,1,3.0,2,0:00,0,0,0,0.0,,,,,,0,0,0.0
Rob Pearson,WSH,D,48,1,6,7,10.0,97,0:00,0,0,52,1.9,,,,,,0,0,0.0
Sergei Gonchar,WSH,D,29,4,5,9,2.0,10,0:00,0,0,30,13.3,,,,,,0,0,0.0
Steve Konowalchuk,WSH,LW,48,12,14,26,0.0,41,0:00,8,4,92,13.0,,,,,,0,0,0.0
Sylvain Cote,WSH,D,40,14,6,20,-2.0,65,0:00,1,2,85,16.5,,,,,,0,0,0.0
Total,WSH,,2,0,0,0,0.0,2,0:00,0,0,2,0.0,,,,,,0,0,0.0
