Rank,TeamCode,Team,W,L,PCT,GF,GA,DIFF
1,SAS,Saskatchewan Rush,11,3,0.786,169,133,36
2,VAN,Vancouver Warriors,10,4,0.714,160,130,30
3,COL,Colorado Mammoth,9,5,0.643,158,139,19
4,GA,Georgia Swarm,8,5,0.615,127,106,21
5,TOR,Toronto Rock,8,5,0.615,147,144,3
6,OTT,Ottawa Black Bears,8,6,0.571,158,159,-1
7,BUF,Buffalo Bandits,7,6,0.538,147,145,2
8,SD,San Diego Seals,6,7,0.462,133,138,-5
9,LV,Las Vegas Desert Dogs,5,7,0.417,149,153,-4
10,ROC,Rochester Knighthawks,5,7,0.417,140,154,-14
11,HFX,Halifax Thunderbirds,5,8,0.385,129,135,-6
12,CGY,Calgary Roughnecks,4,9,0.308,134,156,-22
13,OSH,Oshawa FireWolves,4,10,0.286,139,163,-24
14,PHI,Philadelphia Wings,3,11,0.214,126,161,-35
