Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Adam Perroni,Rochester Knighthawks,D,1,0,0,0,0,0,0,0,4,1,0,0,0,0/0,-
Angus Goodleaf,Rochester Knighthawks,G,18,0,1,1,0,0,0,0,1,0,0,0,0,0/0,-
Austin Shanks,Rochester Knighthawks,F,15,27,25,52,2,0,0,0,50,26,3,0,0,0/0,-
Billy Dee Smith,Rochester Knighthawks,D,14,0,0,0,35,0,0,0,22,1,5,0,0,0/0,-
Brad Gillies,Rochester Knighthawks,T,17,8,11,19,6,0,0,0,65,11,6,0,0,1/1,100%
Cody Jamieson,Rochester Knighthawks,F,18,26,63,89,8,0,0,0,75,33,6,0,0,0/0,-
Cory Vitarelli,Rochester Knighthawks,F,18,25,20,45,10,0,0,0,93,47,3,0,0,0/0,-
Dan Dawson,Rochester Knighthawks,F,13,11,26,37,2,0,0,0,24,22,2,0,0,0/0,-
Dan Lomas,Rochester Knighthawks,F,1,0,0,0,2,0,0,0,1,1,0,0,0,0/0,-
Eric Fannell,Rochester Knighthawks,F,14,16,21,37,17,0,0,0,52,32,4,0,0,0/0,-
Eric Shewell,Rochester Knighthawks,D,3,0,1,1,2,0,0,0,6,1,1,0,0,0/0,-
Frank Brown,Rochester Knighthawks,T,10,1,6,7,2,0,0,0,30,2,2,0,0,0/0,-
Graeme Hossack,Rochester Knighthawks,D,18,7,7,14,8,0,0,0,163,22,34,0,0,0/0,-
Ian Llord,Rochester Knighthawks,D,18,2,4,6,31,0,0,0,71,12,10,0,0,0/0,-
Jake Withers,Rochester Knighthawks,D,18,7,5,12,18,0,0,0,148,17,15,0,0,279/417,67%
Joe Resetarits,Rochester Knighthawks,F,18,37,63,100,0,0,0,0,92,31,1,0,0,0/0,-
Josh Currier,Rochester Knighthawks,F,16,17,14,31,9,0,0,0,42,22,0,0,0,0/0,-
Kyle Jackson,Rochester Knighthawks,F,18,37,36,73,10,0,0,0,74,42,4,0,0,0/0,-
Luc Magnan,Rochester Knighthawks,D,18,2,16,18,10,0,0,0,83,16,6,0,0,0/0,-
Matt Vinc,Rochester Knighthawks,G,18,0,9,9,7,0,0,0,21,0,0,0,0,0/0,-
Paul Dawson,Rochester Knighthawks,D,18,3,7,10,29,0,0,0,71,14,11,0,0,3/10,30%
Quinn Powless,Rochester Knighthawks,F,9,4,4,8,2,0,0,0,20,8,1,0,0,3/9,33%
Scott Campbell,Rochester Knighthawks,D,17,6,14,20,8,0,0,0,80,20,11,0,0,0/0,-
Sid Smith,Rochester Knighthawks,D,18,0,6,6,14,0,0,0,76,6,12,0,0,0/1,-
