Name,Team,P,G,A
Christian Eriksen,Tottenham Hotspur,35.0,8.0,12.0
Harry Kane,Tottenham Hotspur,28.0,17.0,0.0
Lucas Moura,Tottenham Hotspur,32.0,10.0,0.0
Son Heung-Min,Tottenham Hotspur,31.0,12.0,6.0
