Conference,Rank,Team,GP,W,D,L,F,A,GD,P
Eastern Conference,1,Red Bull New York,34,18,6,10,62,43,19,60
Eastern Conference,2,Columbus Crew,34,15,8,11,58,53,5,53
Eastern Conference,3,CF Montréal,34,15,6,13,48,44,4,51
Eastern Conference,4,D.C. United,34,15,6,13,43,45,-2,51
Eastern Conference,5,New England Revolution,34,14,8,12,48,47,1,50
Eastern Conference,6,Toronto FC,34,15,4,15,58,58,0,49
Eastern Conference,7,Orlando City SC,34,12,8,14,46,56,-10,44
Eastern Conference,8,New York City FC,34,10,7,17,49,58,-9,37
Eastern Conference,9,Philadelphia Union,34,10,7,17,42,55,-13,37
Eastern Conference,10,Chicago Fire FC,34,8,6,20,43,58,-15,30
Western Conference,1,FC Dallas,34,18,6,10,52,39,13,60
Western Conference,2,Vancouver Whitecaps,34,16,5,13,45,36,9,53
Western Conference,3,Portland Timbers,34,15,8,11,41,39,2,53
Western Conference,4,Seattle Sounders FC,34,15,6,13,44,36,8,51
Western Conference,5,LA Galaxy,34,14,9,11,56,46,10,51
Western Conference,6,Sporting Kansas City,34,14,9,11,48,45,3,51
Western Conference,7,San Jose Earthquakes,34,13,8,13,41,39,2,47
Western Conference,8,Houston Dynamo FC,34,11,9,14,42,49,-7,42
Western Conference,9,Real Salt Lake,34,11,8,15,38,48,-10,41
Western Conference,10,Colorado Rapids,34,9,10,15,33,43,-10,37
