Conference,Rank,Team,GP,W,D,L,F,A,GD,P
Eastern Conference,1,Sporting Kansas City,34,13,12,9,50,40,10,51
Eastern Conference,2,Houston Dynamo FC,34,12,13,9,45,41,4,49
Eastern Conference,3,Philadelphia Union,34,11,15,8,44,36,8,48
Eastern Conference,4,Columbus Crew,34,13,8,13,43,44,-1,47
Eastern Conference,5,Red Bull New York,34,10,16,8,50,44,6,46
Eastern Conference,6,Chicago Fire FC,34,9,16,9,46,45,1,43
Eastern Conference,7,D.C. United,34,9,12,13,49,52,-3,39
Eastern Conference,8,Toronto FC,34,6,15,13,36,59,-23,33
Eastern Conference,9,New England Revolution,34,5,13,16,38,58,-20,28
Western Conference,1,LA Galaxy,34,19,10,5,48,28,20,67
Western Conference,2,Seattle Sounders FC,34,18,9,7,56,37,19,63
Western Conference,3,Real Salt Lake,34,15,8,11,44,36,8,53
Western Conference,4,FC Dallas,34,15,7,12,42,39,3,52
Western Conference,5,Colorado Rapids,34,12,13,9,44,41,3,49
Western Conference,6,Portland Timbers,34,11,9,14,40,48,-8,42
Western Conference,7,San Jose Earthquakes,34,8,14,12,40,45,-5,38
Western Conference,8,Chivas USA,34,8,12,14,41,43,-2,36
Western Conference,9,Vancouver Whitecaps,34,6,10,18,35,55,-20,28
