Conference,Rank,Team,GP,W,D,L,F,A,GD,P
Eastern Conference,1,Philadelphia Union,34,19,10,5,72,26,46,67
Eastern Conference,2,CF Montréal,34,20,5,9,63,50,13,65
Eastern Conference,3,New York City FC,34,16,7,11,57,41,16,55
Eastern Conference,4,Red Bull New York,34,15,8,11,50,41,9,53
Eastern Conference,5,FC Cincinnati,34,12,13,9,64,56,8,49
Eastern Conference,6,Inter Miami CF,34,14,6,14,47,56,-9,48
Eastern Conference,7,Orlando City SC,34,14,6,14,44,53,-9,48
Eastern Conference,8,Columbus Crew,34,10,16,8,46,41,5,46
Eastern Conference,9,Charlotte FC,34,13,3,18,44,52,-8,42
Eastern Conference,10,New England Revolution,34,10,12,12,47,50,-3,42
Eastern Conference,11,Atlanta United FC,34,10,10,14,48,54,-6,40
Eastern Conference,12,Chicago Fire FC,34,10,9,15,39,48,-9,39
Eastern Conference,13,Toronto FC,34,9,7,18,49,66,-17,34
Eastern Conference,14,D.C. United,34,7,6,21,36,71,-35,27
Western Conference,1,LAFC,34,21,4,9,66,38,28,67
Western Conference,2,Austin FC,34,16,8,10,65,49,16,56
Western Conference,3,FC Dallas,34,14,11,9,48,37,11,53
Western Conference,4,LA Galaxy,34,14,8,12,58,51,7,50
Western Conference,5,Nashville SC,34,13,11,10,52,41,11,50
Western Conference,6,Minnesota United FC,34,14,6,14,48,51,-3,48
Western Conference,7,Real Salt Lake,34,12,11,11,43,45,-2,47
Western Conference,8,Portland Timbers,34,11,13,10,53,53,0,46
Western Conference,9,Vancouver Whitecaps,34,12,7,15,40,57,-17,43
Western Conference,10,Colorado Rapids,34,11,10,13,46,57,-11,43
Western Conference,11,Seattle Sounders FC,34,12,5,17,47,46,1,41
Western Conference,12,Sporting Kansas City,34,11,7,16,42,54,-12,40
Western Conference,13,Houston Dynamo FC,34,10,6,18,43,56,-13,36
Western Conference,14,San Jose Earthquakes,34,8,11,15,52,69,-17,35
